,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dwayne Bacon,Orlando Magic,33:10,9,19,.474,2,6,.333,6,6,1.000,1,7,8,1,0,0,1,2,26,+14,33:10,.601,.526,.316,.316,2.7,20.7,11.2,6.9,0.0,0.0,4.4,31.1,118,104
1,Chuma Okeke,Orlando Magic,29:57,5,11,.455,3,6,.500,1,1,1.000,2,4,6,3,0,1,2,0,14,+3,29:57,.612,.591,.545,.091,5.9,13.1,9.3,18.5,0.0,3.8,14.9,20.4,112,104
2,James Ennis III,Orlando Magic,26:52,4,12,.333,1,4,.250,0,0,0,2,2,4,0,0,0,1,1,9,-10,26:52,.375,.375,.333,.000,6.6,7.3,6.9,0.0,0.0,0.0,7.7,22.0,77,108
3,Khem Birch,Orlando Magic,25:52,1,5,.200,0,1,.000,0,0,0,1,4,5,3,1,0,0,0,2,-7,25:52,.200,.200,.200,.000,3.4,15.1,9.0,17.3,2.0,0.0,0.0,8.8,78,101
4,Michael Carter-Williams,Orlando Magic,13:08,0,6,.000,0,1,.000,0,0,0,0,3,3,3,1,0,2,0,0,-8,13:08,.000,.000,.167,.000,0.0,22.4,10.6,32.2,3.9,0.0,25.0,27.7,21,95
6,Chasson Randle,Orlando Magic,25:47,3,8,.375,2,4,.500,0,0,0,0,1,1,3,0,0,1,6,8,-5,25:47,.500,.500,.500,.000,0.0,3.8,1.8,19.7,0.0,0.0,11.1,15.9,98,108
7,Otto Porter Jr.,Orlando Magic,24:54,2,7,.286,1,5,.200,0,0,0,0,4,4,1,1,0,0,3,5,+4,24:54,.357,.357,.714,.000,0.0,15.7,7.5,6.4,2.0,0.0,0.0,12.8,79,101
8,Wendell Carter Jr.,Orlando Magic,20:15,2,3,.667,0,1,.000,4,7,.571,1,7,8,0,1,0,1,2,8,-1,20:15,.658,.667,.333,2.333,4.4,33.9,18.4,0.0,2.5,0.0,14.1,15.9,118,95
9,R.J. Hampton,Orlando Magic,17:09,4,8,.500,1,2,.500,1,1,1.000,2,1,3,1,1,0,2,1,10,-7,17:09,.592,.563,.250,.125,10.4,5.7,8.2,12.3,3.0,0.0,19.2,27.7,101,101
10,Mo Bamba,Orlando Magic,16:55,4,9,.444,1,3,.333,2,2,1.000,1,6,7,3,0,3,0,1,11,-2,16:55,.557,.500,.333,.222,5.3,34.7,19.3,37.6,0.0,20.3,0.0,26.6,127,87
11,Karim Mané,Orlando Magic,6:01,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,+4,6:01,0,0,0,0,0.0,32.6,15.5,23.5,0.0,0.0,0,0.0,232,100
12,Terrence Ross,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Orlando Magic,240,34,88,.386,11,33,.333,14,17,.824,10,41,51,19,5,4,10,18,93,0,240,.487,.449,.375,.193,18.5,83.7,49.5,55.9,5.3,9.5,9.5,100.0,98.5,101.6
