,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,39:31,4,7,.571,3,5,.600,0,0,0,3,6,9,0,2,0,1,3,11,+13,39:31,.786,.786,.714,.000,11.4,15.5,13.8,0.0,2.4,0.0,12.5,9.3,142,107
1,Josh Richardson,Dallas Mavericks,39:14,3,9,.333,2,3,.667,0,0,0,0,6,6,4,0,1,3,2,8,+5,39:14,.444,.444,.333,.000,0.0,15.6,9.3,14.3,0.0,2.6,25.0,14.1,83,110
2,Luka Dončić,Dallas Mavericks,34:40,11,15,.733,7,11,.636,7,11,.636,0,8,8,5,0,0,8,3,36,-2,34:40,.907,.967,.733,.733,0.0,23.6,14.0,30.4,0.0,0.0,28.7,37.1,125,110
3,Kristaps Porziņģis,Dallas Mavericks,32:05,6,15,.400,3,7,.429,4,6,.667,1,7,8,2,2,3,2,2,19,+15,32:05,.539,.500,.467,.400,4.7,22.3,15.2,10.3,3.0,9.5,10.2,28.3,104,98
4,Maxi Kleber,Dallas Mavericks,25:21,1,5,.200,0,3,.000,3,4,.750,0,3,3,2,1,0,1,3,5,-5,25:21,.370,.200,.600,.800,0.0,12.1,7.2,10.5,1.9,0.0,12.9,14.1,83,109
6,Jalen Brunson,Dallas Mavericks,32:58,8,10,.800,1,1,1.000,4,4,1.000,0,5,5,3,1,0,1,1,21,-1,32:58,.893,.850,.100,.400,0.0,15.5,9.2,16.6,1.5,0.0,7.8,17.9,169,109
7,Tim Hardaway Jr.,Dallas Mavericks,25:12,3,10,.300,1,6,.167,0,0,0,0,3,3,2,0,0,0,3,7,-9,25:12,.350,.350,.600,.000,0.0,12.2,7.2,11.8,0.0,0.0,0.0,18.3,83,113
8,Nicolò Melli,Dallas Mavericks,5:37,1,3,.333,1,1,1.000,0,0,0,0,1,1,1,0,0,0,1,3,+1,5:37,.500,.500,.333,.000,0.0,18.2,10.8,29.0,0.0,0.0,0.0,24.7,115,111
9,Trey Burke,Dallas Mavericks,2:41,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,3,+4,2:41,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,124,116
10,Josh Green,Dallas Mavericks,2:41,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,+4,2:41,.000,.000,.000,.000,0.0,0.0,0.0,47.1,0.0,0.0,0.0,17.2,65,116
11,Tyler Bey,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nate Hinton,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dwight Powell,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Boban Marjanović,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Dallas Mavericks,240,38,77,.494,19,39,.487,18,25,.720,4,39,43,20,6,4,16,18,113,0,240,.642,.617,.506,.325,12.5,83.0,54.4,52.6,6.0,8.5,15.4,100.0,113.0,108.0
0,Jayson Tatum,Boston Celtics,38:04,10,24,.417,1,8,.125,4,4,1.000,2,7,9,3,3,0,3,2,25,-19,38:04,.485,.438,.333,.167,5.4,27.6,14.4,14.3,3.8,0.0,10.4,32.1,95,110
1,Kemba Walker,Boston Celtics,37:14,7,19,.368,2,9,.222,6,6,1.000,0,5,5,6,1,0,1,3,22,+1,37:14,.508,.421,.474,.316,0.0,20.1,8.2,25.8,1.3,0.0,4.4,25.8,110,117
2,Jaylen Brown,Boston Celtics,36:38,9,17,.529,4,11,.364,2,4,.500,1,3,4,1,4,0,3,2,24,-8,36:38,.640,.647,.647,.235,2.8,12.3,6.6,4.8,5.2,0.0,13.8,25.2,108,108
3,Marcus Smart,Boston Celtics,35:57,5,12,.417,2,7,.286,5,6,.833,2,3,5,7,2,1,0,2,17,+1,35:57,.581,.500,.583,.500,5.7,12.5,8.5,28.9,2.7,3.5,0.0,17.3,138,112
4,Moritz Wagner,Boston Celtics,15:58,1,4,.250,0,1,.000,0,0,0,2,2,4,2,0,0,2,3,2,0,15:58,.250,.250,.250,.000,12.8,18.8,15.2,16.7,0.0,0.0,33.3,15.9,67,119
6,Evan Fournier,Boston Celtics,30:41,3,6,.500,0,2,.000,0,1,.000,0,3,3,1,1,0,0,2,6,+5,30:41,.466,.500,.333,.167,0.0,14.7,5.9,4.6,1.6,0.0,0.0,8.9,98,117
7,Luke Kornet,Boston Celtics,16:08,2,5,.400,0,2,.000,0,0,0,1,1,2,0,0,1,0,1,4,-2,16:08,.400,.400,.400,.000,6.3,9.3,7.5,0.0,0.0,7.8,0.0,13.2,92,115
8,Payton Pritchard,Boston Celtics,15:54,2,4,.500,2,4,.500,2,2,1.000,0,2,2,0,0,0,0,2,8,+4,15:54,.820,.750,1.000,.500,0.0,18.9,7.6,0.0,0.0,0.0,0.0,13.0,163,120
9,Grant Williams,Boston Celtics,9:27,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,2,0,-3,9:27,.000,.000,1.000,.000,0.0,15.9,6.4,0.0,0.0,0.0,0.0,9.0,0,120
10,Aaron Nesmith,Boston Celtics,3:59,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,-4,3:59,.000,.000,1.000,.000,0.0,37.7,15.3,0.0,0.0,0.0,0.0,10.7,0,118
11,Tremont Waters,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Robert Williams,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tacko Fall,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Boston Celtics,240,39,94,.415,11,47,.234,19,23,.826,8,28,36,20,11,2,9,19,108,0,240,.519,.473,.500,.245,17.0,87.5,45.6,51.3,11.0,5.3,8.0,100.0,108.0,113.0
