,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,James Ennis III,Orlando Magic,37:50,6,9,.667,1,1,1.000,0,0,0,1,3,4,3,4,0,0,4,13,0,37:50,.722,.722,.111,.000,2.5,8.8,5.4,11.5,5.1,0.0,0.0,10.0,153,98
1,Chasson Randle,Orlando Magic,35:14,5,16,.313,3,7,.429,2,2,1.000,1,5,6,2,3,0,2,3,15,-10,35:14,.444,.406,.438,.125,2.7,15.7,8.8,8.0,4.1,0.0,10.6,22.5,89,98
2,Chuma Okeke,Orlando Magic,33:55,3,9,.333,0,2,.000,2,2,1.000,3,7,10,4,1,2,0,1,8,-10,33:55,.405,.333,.222,.222,8.5,22.8,15.2,15.5,1.4,4.9,0.0,12.2,112,99
3,Dwayne Bacon,Orlando Magic,32:40,5,13,.385,0,2,.000,4,5,.800,0,2,2,2,2,0,0,1,14,+7,32:40,.461,.385,.154,.385,0.0,6.8,3.2,8.8,2.9,0.0,0.0,19.6,103,103
4,Khem Birch,Orlando Magic,5:03,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,5:03,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0,112
6,Terrence Ross,Orlando Magic,34:17,8,21,.381,1,5,.200,2,3,.667,0,2,2,5,2,1,3,2,19,+10,34:17,.426,.405,.238,.143,0.0,6.4,3.0,23.7,2.8,2.4,11.8,31.0,85,102
7,Wendell Carter Jr.,Orlando Magic,30:59,8,13,.615,0,1,.000,5,5,1.000,4,8,12,2,0,1,2,3,21,+12,30:59,.691,.615,.077,.385,12.4,28.5,19.9,10.9,0.0,2.7,11.6,23.3,133,102
8,Otto Porter Jr.,Orlando Magic,20:34,2,8,.250,0,4,.000,2,2,1.000,0,3,3,0,3,0,0,0,6,+10,20:34,.338,.250,.500,.250,0.0,16.1,7.5,0.0,7.0,0.0,0.0,18.1,75,91
9,R.J. Hampton,Orlando Magic,17:30,3,6,.500,0,1,.000,2,2,1.000,0,4,4,1,1,0,1,1,8,+13,17:30,.581,.500,.167,.333,0.0,25.2,11.8,8.4,2.7,0.0,12.7,18.9,108,98
10,Mo Bamba,Orlando Magic,16:58,5,9,.556,0,2,.000,1,2,.500,3,2,5,1,1,1,2,4,11,-4,16:58,.557,.556,.222,.222,17.0,13.0,15.2,10.6,2.8,4.9,16.8,29.4,103,98
11,Karim Mané,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Michael Carter-Williams,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Orlando Magic,265,45,106,.425,5,25,.200,20,23,.870,12,36,48,20,17,5,10,20,115,0,265,.495,.448,.236,.217,21.8,75.0,46.6,44.4,15.3,7.8,7.9,100.0,103.8,99.3
0,Josh Hart,New Orleans Pelicans,46:45,4,11,.364,1,6,.167,5,6,.833,1,16,17,5,0,0,4,4,14,+3,46:45,.513,.409,.545,.545,2.4,33.0,18.7,15.5,0.0,0.0,22.7,16.0,96,103
1,Eric Bledsoe,New Orleans Pelicans,45:50,5,12,.417,3,6,.500,1,2,.500,1,4,5,6,2,2,6,2,14,-5,45:50,.543,.542,.500,.167,2.4,8.4,5.6,19.7,2.1,2.9,31.8,17.4,86,104
2,Nickeil Alexander-Walker,New Orleans Pelicans,38:30,13,24,.542,4,7,.571,1,2,.500,0,8,8,3,1,1,5,3,31,+6,38:30,.623,.625,.292,.083,0.0,20.0,10.7,17.9,1.2,1.7,16.7,32.8,101,103
3,Steven Adams,New Orleans Pelicans,36:30,4,8,.500,0,0,0,0,0,0,3,7,10,3,0,0,2,4,8,+4,36:30,.500,.500,.000,.000,9.1,18.5,14.1,12.4,0.0,0.0,20.0,11.6,101,107
4,James Johnson,New Orleans Pelicans,28:19,5,11,.455,3,5,.600,4,4,1.000,0,3,3,2,0,2,1,3,17,-13,28:19,.666,.591,.455,.364,0.0,10.2,5.5,11.8,0.0,4.6,7.3,20.5,131,106
6,Kira Lewis Jr.,New Orleans Pelicans,32:39,4,13,.308,1,3,.333,0,0,0,3,2,5,4,1,1,2,4,9,-8,32:39,.346,.346,.231,.000,10.1,5.9,7.9,18.8,1.5,2.0,13.3,19.4,84,106
7,Wes Iwundu,New Orleans Pelicans,20:01,2,7,.286,0,2,.000,3,3,1.000,1,3,4,1,2,0,3,1,7,-5,20:01,.421,.286,.286,.429,5.5,14.4,10.3,7.4,4.8,0.0,26.5,23.9,74,99
8,Jaxson Hayes,New Orleans Pelicans,16:26,4,7,.571,0,0,0,2,2,1.000,3,0,3,2,1,1,1,2,10,-7,16:26,.635,.571,.000,.286,20.2,0.0,9.4,23.0,2.9,4.0,11.3,22.8,131,103
9,Willy Hernangómez,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Wenyen Gabriel,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Naji Marshall,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Will Magnay,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,New Orleans Pelicans,265,41,93,.441,12,29,.414,16,19,.842,12,43,55,26,7,7,24,23,110,0,265,.543,.505,.312,.204,25.0,78.2,53.4,63.4,6.3,8.6,19.1,100.0,99.3,103.8
