,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jrue Holiday,Milwaukee Bucks,33:06,9,14,.643,2,6,.333,2,2,1.000,0,4,4,10,2,0,3,1,22,+26,33:06,.739,.714,.429,.143,0.0,9.8,6.1,40.3,2.7,0.0,16.8,22.9,136,103
1,Giannis Antetokounmpo,Milwaukee Bucks,33:05,18,21,.857,0,3,.000,11,13,.846,1,11,12,2,1,3,4,2,47,+17,33:05,.879,.857,.143,.619,4.0,27.1,18.3,12.7,1.4,9.7,13.0,39.3,151,93
2,Khris Middleton,Milwaukee Bucks,32:10,8,13,.615,2,4,.500,2,2,1.000,1,6,7,8,3,0,5,3,20,+25,32:10,.720,.692,.308,.154,4.1,15.2,11.0,32.2,4.2,0.0,26.5,24.9,118,97
3,Donte DiVincenzo,Milwaukee Bucks,29:28,1,7,.143,1,5,.200,2,2,1.000,0,4,4,2,0,0,2,2,5,+10,29:28,.317,.214,.714,.286,0.0,11.0,6.9,6.9,0.0,0.0,20.2,14.2,63,109
4,Brook Lopez,Milwaukee Bucks,23:47,3,6,.500,3,6,.500,0,0,0,1,2,3,0,0,0,0,3,9,+13,23:47,.750,.750,1.000,.000,5.6,6.8,6.4,0.0,0.0,0.0,0.0,10.7,146,111
6,Pat Connaughton,Milwaukee Bucks,27:50,2,7,.286,0,5,.000,0,0,0,0,6,6,0,0,0,0,1,4,-7,27:50,.286,.286,.714,.000,0.0,17.5,10.9,0.0,0.0,0.0,0.0,10.6,58,106
7,Bryn Forbes,Milwaukee Bucks,19:07,3,10,.300,3,6,.500,0,0,0,0,3,3,0,0,0,0,4,9,+6,19:07,.450,.450,.600,.000,0.0,12.8,7.9,0.0,0.0,0.0,0.0,22.1,87,108
8,Bobby Portis,Milwaukee Bucks,17:09,3,9,.333,0,2,.000,0,0,0,0,7,7,1,1,0,0,0,6,+11,17:09,.333,.333,.222,.000,0.0,33.2,20.6,6.9,2.6,0.0,0.0,22.2,73,93
9,Jeff Teague,Milwaukee Bucks,13:16,1,1,1.000,0,0,0,0,0,0,0,1,1,2,0,2,1,0,2,-7,13:16,1.000,1.000,.000,.000,0.0,6.1,3.8,15.9,0.0,16.1,50.0,6.4,121,103
10,Thanasis Antetokounmpo,Milwaukee Bucks,7:38,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,-5,7:38,0,0,0,0,17.5,10.7,13.2,0.0,0.0,0.0,0,0.0,225,109
11,Jordan Nwora,Milwaukee Bucks,3:21,1,2,.500,1,2,.500,0,0,0,0,1,1,0,0,0,0,1,3,+1,3:21,.750,.750,1.000,.000,0.0,24.3,15.1,0.0,0.0,0.0,0.0,25.3,134,102
12,Mamadi Diakite,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rodions Kurucs,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Sam Merrill,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Milwaukee Bucks,240,49,90,.544,12,39,.308,17,19,.895,4,46,50,25,7,5,15,18,127,0,240,.646,.611,.433,.211,11.1,78.0,52.6,51.0,6.6,11.1,13.2,100.0,118.9,102.0
0,CJ McCollum,Portland Trail Blazers,36:11,7,16,.438,3,8,.375,1,4,.250,0,2,2,7,3,0,2,4,18,-5,36:11,.507,.531,.500,.250,0.0,7.4,2.8,34.8,3.7,0.0,10.1,21.5,107,117
1,Damian Lillard,Portland Trail Blazers,34:14,10,19,.526,5,10,.500,7,10,.700,1,3,4,5,3,1,3,1,32,-27,34:14,.818,.818,1.000,.000,0.0,27.3,10.3,0.0,0.0,0.0,0.0,12.7,156,124
2,Robert Covington,Portland Trail Blazers,34:14,6,11,.545,6,11,.545,0,0,0,0,7,7,0,0,0,0,3,18,-15,34:14,.684,.658,.526,.526,2.4,11.7,5.9,31.9,3.9,2.7,11.4,30.4,129,114
3,Norman Powell,Portland Trail Blazers,31:53,5,15,.333,2,7,.286,0,0,0,3,0,3,2,3,0,2,1,12,-21,31:53,.400,.400,.467,.000,7.7,0.0,4.8,10.6,4.2,0.0,11.8,21.0,86,116
4,Jusuf Nurkić,Portland Trail Blazers,21:28,2,7,.286,1,1,1.000,4,4,1.000,5,6,11,3,1,0,3,4,9,-10,21:28,.514,.357,.143,.571,18.9,37.3,25.9,21.3,2.1,0.0,25.5,21.6,107,118
6,Carmelo Anthony,Portland Trail Blazers,27:31,2,12,.167,2,7,.286,0,0,0,0,4,4,2,0,0,0,4,6,0,27:31,.250,.250,.583,.000,0.0,19.4,7.3,10.7,0.0,0.0,0.0,17.2,65,124
7,Anfernee Simons,Portland Trail Blazers,17:44,2,5,.400,2,5,.400,2,2,1.000,0,0,0,0,0,0,2,0,8,-8,17:44,.680,.600,1.000,.400,0.0,0.0,0.0,0.0,0.0,0.0,25.4,17.5,98,126
8,Enes Freedom,Portland Trail Blazers,14:26,1,3,.333,0,0,0,0,0,0,2,4,6,0,0,1,1,0,2,-4,14:26,.333,.333,.000,.000,11.3,37.0,21.0,0.0,0.0,6.5,25.0,10.9,75,118
9,Derrick Jones Jr.,Portland Trail Blazers,11:06,0,3,.000,0,2,.000,2,2,1.000,0,3,3,0,0,1,0,0,2,+3,11:06,.258,.000,.667,.667,0.0,36.0,13.7,0.0,0.0,8.5,0.0,13.8,61,116
10,CJ Elleby,Portland Trail Blazers,3:44,1,4,.250,0,1,.000,0,0,0,2,1,3,0,0,0,0,0,2,-1,3:44,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0,126
