,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kyrie Irving,Brooklyn Nets,38:46,12,27,.444,0,4,.000,0,0,0,0,2,2,15,2,0,1,3,24,-10,38:46,.444,.444,.148,.000,0.0,6.7,3.3,61.6,2.6,0.0,3.6,34.3,107,120
1,Joe Harris,Brooklyn Nets,34:34,5,11,.455,1,4,.250,0,0,0,2,4,6,2,0,0,0,1,11,-1,34:34,.500,.500,.364,.000,7.3,15.0,11.1,7.3,0.0,0.0,0.0,15.1,111,125
2,Bruce Brown,Brooklyn Nets,30:06,5,7,.714,0,0,0,0,0,0,1,5,6,1,1,0,0,1,10,+9,30:06,.714,.714,.000,.000,4.2,21.5,12.8,4.3,1.7,0.0,0.0,11.0,144,121
3,LaMarcus Aldridge,Brooklyn Nets,26:29,5,10,.500,1,1,1.000,0,0,0,0,3,3,1,0,3,1,2,11,-12,26:29,.550,.550,.100,.000,0.0,14.7,7.2,5.0,0.0,9.7,9.1,19.7,95,116
4,Blake Griffin,Brooklyn Nets,22:11,4,9,.444,1,4,.250,1,1,1.000,0,8,8,2,0,0,2,1,10,-10,22:11,.530,.500,.444,.111,0.0,46.8,23.1,11.9,0.0,0.0,17.5,24.5,89,121
6,Jeff Green,Brooklyn Nets,25:01,7,12,.583,4,6,.667,3,4,.750,0,1,1,2,0,0,0,1,21,0,25:01,.763,.750,.500,.333,0.0,5.2,2.6,12.2,0.0,0.0,0.0,26.1,146,126
7,Landry Shamet,Brooklyn Nets,21:52,4,10,.400,3,6,.500,2,2,1.000,1,1,2,1,0,0,0,1,13,-19,21:52,.597,.550,.600,.200,5.8,5.9,5.9,6.1,0.0,0.0,0.0,23.6,121,126
8,Tyler Johnson,Brooklyn Nets,14:05,1,2,.500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,-11,14:05,.500,.500,.000,.000,0.0,9.2,4.5,8.2,0.0,0.0,0.0,6.7,113,126
9,Timothé Luwawu-Cabarrot,Brooklyn Nets,13:40,1,3,.333,1,3,.333,0,0,0,0,2,2,1,0,0,0,2,3,+3,13:40,.500,.500,1.000,.000,0.0,19.0,9.4,8.5,0.0,0.0,0.0,10.4,106,124
10,Nic Claxton,Brooklyn Nets,8:18,0,1,.000,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,+2,8:18,.000,.000,.000,.000,0.0,46.9,23.1,0.0,0.0,0.0,50.0,11.4,0,120
