,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zach LaVine,Chicago Bulls,35:57,6,18,.333,4,12,.333,3,4,.750,1,7,8,6,0,1,3,0,19,+16,35:57,.481,.444,.667,.222,3.3,19.1,11.9,22.3,0.0,2.3,13.2,25.3,106,99
1,Nikola Vučević,Chicago Bulls,35:12,14,29,.483,4,7,.571,0,0,0,5,11,16,5,0,1,4,4,32,+6,35:12,.552,.552,.241,.000,16.6,30.6,24.2,27.4,0.0,2.4,12.1,37.5,113,96
2,Tomáš Satoranský,Chicago Bulls,34:25,3,7,.429,1,2,.500,0,0,0,1,5,6,3,2,0,3,1,7,+11,34:25,.500,.500,.286,.000,3.4,14.2,9.3,10.5,2.7,0.0,30.0,11.6,88,96
3,Patrick Williams,Chicago Bulls,30:41,4,8,.500,1,1,1.000,1,1,1.000,1,2,3,2,4,0,2,0,10,-4,30:41,.592,.563,.125,.125,3.8,6.4,5.2,8.3,6.2,0.0,19.2,13.6,109,89
4,Thaddeus Young,Chicago Bulls,27:54,6,10,.600,0,0,0,2,4,.500,2,5,7,5,1,1,3,2,14,+11,27:54,.595,.600,.000,.400,8.4,17.6,13.4,25.5,1.7,3.0,20.3,21.1,113,94
6,Coby White,Chicago Bulls,31:23,5,9,.556,1,4,.250,2,2,1.000,1,3,4,6,0,0,1,3,13,+14,31:23,.658,.611,.444,.222,3.7,9.4,6.8,25.2,0.0,0.0,9.2,13.8,146,102
7,Lauri Markkanen,Chicago Bulls,21:32,5,7,.714,3,4,.750,2,2,1.000,1,5,6,0,1,1,1,0,15,+12,21:32,.952,.929,.571,.286,5.4,22.7,14.9,0.0,2.2,3.8,11.3,16.5,162,92
8,Troy Brown Jr.,Chicago Bulls,15:04,1,4,.250,0,2,.000,1,1,1.000,1,2,3,1,1,1,1,2,3,+15,15:04,.338,.250,.500,.250,7.8,13.0,10.6,7.8,3.1,5.5,18.4,14.4,82,89
9,Denzel Valentine,Chicago Bulls,3:48,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,0,-1,3:48,0,0,0,0,30.8,51.6,42.1,0.0,0.0,0.0,100.0,21.0,24,96
10,Ryan Arcidiacono,Chicago Bulls,1:21,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,0,1:21,.000,.000,1.000,.000,0.0,72.6,39.5,0.0,0.0,0.0,0.0,29.6,0,92
11,Cristiano Felício,Chicago Bulls,1:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,104
12,Javonte Green,Chicago Bulls,1:21,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:21,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0,104
13,Al-Farouq Aminu,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Chicago Bulls,240,44,94,.468,14,33,.424,11,14,.786,14,43,57,28,9,5,20,12,113,0,240,.564,.543,.351,.149,34.1,87.8,63.3,63.6,8.9,8.6,16.6,100.0,111.2,95.5
0,Caris LeVert,Indiana Pacers,32:31,9,18,.500,2,4,.500,0,0,0,0,6,6,5,0,1,0,3,20,-11,32:31,.556,.556,.222,.000,0.0,21.6,9.8,29.9,0.0,2.4,0.0,24.4,116,117
