,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,DeMar DeRozan,San Antonio Spurs,30:13,5,13,.385,0,0,0,4,6,.667,1,3,4,4,2,0,4,1,14,-3,30:13,.448,.385,.000,.462,3.1,11.1,6.7,21.1,3.1,0.0,20.4,27.3,82,104
1,Derrick White,San Antonio Spurs,29:05,7,15,.467,1,7,.143,3,3,1.000,0,4,4,2,0,2,4,4,18,0,29:05,.551,.500,.467,.200,0.0,15.4,6.9,12.5,0.0,5.1,19.7,29.4,89,106
2,Dejounte Murray,San Antonio Spurs,28:43,8,18,.444,2,4,.500,0,0,0,0,5,5,6,2,0,0,1,18,-1,28:43,.500,.500,.222,.000,0.0,19.4,8.8,40.7,3.3,0.0,0.0,26.3,111,102
3,Jakob Poeltl,San Antonio Spurs,27:41,2,4,.500,0,0,0,0,0,0,4,1,5,5,2,0,2,3,4,+5,27:41,.500,.500,.000,.000,13.3,4.0,9.1,25.1,3.4,0.0,33.3,9.1,108,106
4,Keldon Johnson,San Antonio Spurs,26:21,3,5,.600,0,1,.000,2,4,.500,1,3,4,2,2,0,1,1,8,+3,26:21,.592,.600,.200,.800,3.5,12.7,7.7,11.2,3.6,0.0,12.9,12.4,112,103
6,Patty Mills,San Antonio Spurs,25:03,4,8,.500,2,6,.333,2,2,1.000,0,0,0,1,0,0,0,2,12,-29,25:03,.676,.625,.750,.250,0.0,0.0,0.0,6.3,0.0,0.0,0.0,14.9,138,114
7,Rudy Gay,San Antonio Spurs,21:32,2,10,.200,0,3,.000,0,0,0,1,7,8,1,1,0,2,4,4,-22,21:32,.200,.200,.300,.000,4.3,36.3,18.8,6.6,2.2,0.0,16.7,23.4,44,98
8,Devin Vassell,San Antonio Spurs,15:53,1,3,.333,1,1,1.000,0,0,0,0,1,1,0,1,0,0,1,3,-9,15:53,.500,.500,.333,.000,0.0,7.0,3.2,0.0,3.0,0.0,0.0,7.9,100,106
9,Drew Eubanks,San Antonio Spurs,10:41,1,2,.500,0,0,0,1,2,.500,1,3,4,0,0,1,0,0,3,-2,10:41,.521,.500,.000,1.000,8.6,31.3,18.9,0.0,0.0,6.9,0.0,11.3,119,101
10,Gorgui Dieng,San Antonio Spurs,9:38,1,4,.250,0,2,.000,1,2,.500,0,2,2,0,1,0,1,1,3,-13,9:38,.307,.250,.500,.500,0.0,23.2,10.5,0.0,4.9,0.0,17.0,25.6,53,97
11,Quinndary Weatherspoon,San Antonio Spurs,5:25,3,4,.750,0,0,0,1,2,.500,2,0,2,0,0,0,0,0,7,+7,5:25,.000,.000,.000,.000,0.0,20.6,9.3,23.3,0.0,0.0,0.0,23.3,18,108
12,Tre Jones,San Antonio Spurs,5:25,0,3,.000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,+7,5:25,.717,.750,.000,.500,34.1,0.0,18.7,0.0,0.0,0.0,0.0,37.9,147,115
13,Luka Šamanić,San Antonio Spurs,4:20,1,2,.500,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,+7,4:20,.500,.500,.000,.000,21.3,25.8,23.3,41.1,0.0,17.0,0.0,19.4,129,95
14,Team Totals,San Antonio Spurs,240,38,91,.418,6,24,.250,14,21,.667,11,31,42,23,11,4,14,19,96,0,240,.479,.451,.264,.231,21.2,72.1,44.2,60.5,10.8,6.2,12.3,100.0,94.2,104.0
0,Michael Porter Jr.,Denver Nuggets,31:03,7,14,.500,1,3,.333,3,3,1.000,3,7,10,1,1,1,1,3,18,+3,31:03,.587,.536,.214,.214,10.8,20.8,16.3,5.3,1.5,2.3,6.1,21.3,122,93
1,Will Barton,Denver Nuggets,30:31,3,13,.231,2,7,.286,6,6,1.000,1,3,4,5,2,0,1,1,14,+15,30:31,.448,.308,.538,.462,3.7,9.1,6.6,22.3,3.1,0.0,6.0,22.1,109,96
2,Nikola Jokić,Denver Nuggets,30:27,11,18,.611,0,2,.000,3,4,.750,1,8,9,10,1,0,6,0,25,+5,30:27,.633,.611,.111,.222,3.7,24.3,14.9,69.6,1.5,0.0,23.3,34.3,109,94
3,Facundo Campazzo,Denver Nuggets,27:42,2,7,.286,2,5,.400,0,0,0,1,4,5,2,0,0,2,3,6,-2,27:42,.429,.429,.714,.000,4.0,13.3,9.1,9.5,0.0,0.0,22.2,13.2,81,100
4,Aaron Gordon,Denver Nuggets,24:03,4,8,.500,0,2,.000,1,1,1.000,0,2,2,3,2,1,2,3,9,+2,24:03,.533,.500,.250,.125,0.0,7.7,4.2,18.7,3.9,3.0,19.2,17.6,97,91
6,PJ Dozier,Denver Nuggets,28:00,2,6,.333,1,2,.500,3,6,.500,2,5,7,1,2,0,0,0,8,+25,28:00,.463,.417,.333,1.000,8.0,16.5,12.6,4.7,3.4,0.0,0.0,12.5,114,93
7,JaMychal Green,Denver Nuggets,19:02,4,7,.571,1,2,.500,0,0,0,1,4,5,0,1,0,0,1,9,+15,19:02,.643,.643,.286,.000,5.9,19.4,13.3,0.0,2.5,0.0,0.0,14.9,132,94
8,Monte Morris,Denver Nuggets,18:53,3,7,.429,1,2,.500,0,0,0,0,1,1,4,1,1,3,2,7,+18,18:53,.500,.500,.286,.000,0.0,4.9,2.7,31.4,2.5,3.8,30.0,21.4,83,95
9,JaVale McGee,Denver Nuggets,13:46,3,6,.500,0,0,0,1,2,.500,3,5,8,0,0,1,1,3,7,+15,13:46,.509,.500,.000,.333,24.3,33.5,29.4,0.0,0.0,5.2,12.7,23.2,103,90
10,Markus Howard,Denver Nuggets,3:47,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,2,-10,3:47,.174,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,37.9,0.0,30.8,43,74
11,Bol Bol,Denver Nuggets,3:47,0,2,.000,0,0,0,1,2,.500,0,0,0,0,0,2,0,1,1,-10,3:47,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.4,0,105
12,Vlatko Čančar,Denver Nuggets,3:47,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10,3:47,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,101,104
13,Zeke Nnaji,Denver Nuggets,3:47,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-10,3:47,0,0,0,0,0.0,48.8,26.7,0.0,0.0,0.0,0,0.0,0,91
