,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dillon Brooks,Memphis Grizzlies,39:58,9,18,.500,3,9,.333,2,3,.667,0,3,3,5,1,0,1,5,23,-2,39:58,.595,.583,.500,.167,0.0,9.0,4.4,18.9,1.2,0.0,4.9,21.9,120,126
1,Ja Morant,Memphis Grizzlies,38:30,9,18,.500,4,5,.800,4,8,.500,0,4,4,6,0,1,4,2,26,-10,38:30,.604,.611,.278,.444,0.0,12.5,6.1,23.9,0.0,2.2,15.7,28.6,106,126
2,Jonas Valančiūnas,Memphis Grizzlies,35:45,8,11,.727,1,1,1.000,3,4,.750,3,11,14,2,1,3,2,2,20,+1,35:45,.784,.773,.091,.364,9.5,37.1,22.8,8.4,1.4,6.9,13.6,17.8,139,113
3,Kyle Anderson,Memphis Grizzlies,33:44,4,10,.400,2,5,.400,5,6,.833,0,6,6,5,2,1,2,6,15,-5,33:44,.593,.500,.500,.600,0.0,21.4,10.4,19.3,2.9,2.5,13.7,18.7,117,117
4,Grayson Allen,Memphis Grizzlies,32:28,3,9,.333,1,4,.250,3,3,1.000,0,0,0,4,1,0,2,6,10,+1,32:28,.484,.389,.444,.333,0.0,0.0,0.0,15.5,1.5,0.0,16.2,16.4,98,127
6,Desmond Bane,Memphis Grizzlies,22:58,6,9,.667,3,4,.750,1,3,.333,0,5,5,2,0,0,1,2,16,0,22:58,.775,.833,.444,.333,0.0,26.2,12.7,13.9,0.0,0.0,8.8,21.2,131,124
7,Brandon Clarke,Memphis Grizzlies,19:16,2,5,.400,0,0,0,1,2,.500,3,1,4,2,1,0,0,1,5,+1,19:16,.425,.400,.000,.400,17.6,6.3,12.1,13.3,2.5,0.0,0.0,13.2,124,123
8,Xavier Tillman Sr.,Memphis Grizzlies,17:15,3,6,.500,0,0,0,0,3,.000,4,1,5,4,0,1,1,2,6,-5,17:15,.410,.500,.000,.500,26.1,7.0,16.9,32.5,0.0,4.8,12.0,20.8,112,126
9,Tyus Jones,Memphis Grizzlies,14:30,3,5,.600,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,1,8,+6,14:30,.680,.600,.200,.400,0.0,8.3,4.0,10.1,0.0,0.0,14.5,20.5,119,129
10,John Konchar,Memphis Grizzlies,10:36,0,3,.000,0,1,.000,0,0,0,0,1,1,2,1,0,0,0,0,-7,10:36,.000,.000,.333,.000,0.0,11.4,5.5,21.3,4.6,0.0,0.0,12.2,44,117
11,Sean McDermott,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Killian Tillie,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Memphis Grizzlies,265,47,94,.500,14,30,.467,21,34,.618,10,33,43,33,7,6,14,27,129,0,265,.592,.574,.319,.362,21.3,75.0,47.3,70.2,6.4,9.4,11.4,100.0,118.1,121.8
0,Julius Randle,New York Knicks,38:11,4,12,.333,1,2,.500,6,9,.667,1,9,10,11,1,0,3,5,15,0,38:11,.470,.375,.167,.750,3.2,26.6,15.3,38.7,1.3,0.0,15.8,21.5,111,117
1,RJ Barrett,New York Knicks,33:33,7,13,.538,2,4,.500,4,5,.800,0,5,5,2,1,0,1,1,20,+5,33:33,.658,.615,.308,.385,0.0,16.8,8.7,9.3,1.4,0.0,6.2,20.9,131,119
2,Nerlens Noel,New York Knicks,24:54,2,4,.500,0,0,0,2,2,1.000,0,5,5,1,1,4,2,3,6,-5,24:54,.615,.500,.000,.500,0.0,22.6,11.7,5.2,1.9,13.3,29.1,12.0,93,106
3,Reggie Bullock,New York Knicks,20:27,3,5,.600,2,4,.500,0,0,0,0,1,1,1,0,0,0,1,8,-15,20:27,.800,.800,.800,.000,0.0,5.5,2.8,7.0,0.0,0.0,0.0,10.6,163,125
4,Elfrid Payton,New York Knicks,15:11,5,9,.556,2,2,1.000,0,0,0,0,0,0,0,1,0,1,3,12,-11,15:11,.667,.667,.222,.000,0.0,0.0,0.0,0.0,3.2,0.0,10.0,28.5,112,117
6,Alec Burks,New York Knicks,33:06,5,15,.333,3,8,.375,6,6,1.000,0,5,5,2,0,0,1,2,19,+16,33:06,.539,.433,.533,.400,0.0,17.0,8.8,8.7,0.0,0.0,5.4,24.4,115,122
