,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,De'Aaron Fox,Sacramento Kings,39:15,11,20,.550,4,7,.571,4,6,.667,0,2,2,8,2,0,1,3,30,-26,39:15,.663,.650,.350,.300,0.0,5.4,2.7,34.3,2.4,0.0,4.2,26.8,134,129
1,Harrison Barnes,Sacramento Kings,37:37,4,9,.444,1,6,.167,2,4,.500,0,6,6,2,0,0,1,3,11,-4,37:37,.511,.500,.667,.444,0.0,17.0,8.5,6.9,0.0,0.0,8.5,13.9,98,132
2,Buddy Hield,Sacramento Kings,33:56,7,17,.412,4,13,.308,1,2,.500,0,5,5,7,1,0,0,3,19,-2,33:56,.531,.529,.765,.118,0.0,15.7,7.9,30.8,1.4,0.0,0.0,23.5,117,129
3,Richaun Holmes,Sacramento Kings,33:39,10,13,.769,0,1,.000,5,7,.714,1,9,10,1,1,1,2,3,25,+18,33:39,.777,.769,.077,.538,3.2,28.5,15.8,5.1,1.4,3.8,11.1,24.0,136,123
4,Maurice Harkless,Sacramento Kings,31:12,4,8,.500,3,6,.500,0,0,0,0,8,8,0,2,2,2,4,11,-9,31:12,.688,.688,.750,.000,0.0,27.4,13.7,0.0,3.0,8.1,20.0,14.3,96,117
6,Tyrese Haliburton,Sacramento Kings,33:04,5,13,.385,2,4,.500,1,1,1.000,0,1,1,3,0,1,2,2,13,-19,33:04,.484,.462,.308,.077,0.0,3.2,1.6,12.5,0.0,3.8,13.0,20.8,89,134
7,Terence Davis,Sacramento Kings,13:53,0,4,.000,0,4,.000,0,0,0,0,1,1,1,2,0,0,2,0,-26,13:53,.000,.000,1.000,.000,0.0,7.7,3.8,8.2,6.9,0.0,0.0,12.8,17,118
8,Delon Wright,Sacramento Kings,8:52,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,+10,8:52,0,0,0,0,12.0,0.0,6.0,12.9,0.0,0.0,0,0.0,229,137
9,Chimezie Metu,Sacramento Kings,8:32,1,4,.250,0,1,.000,1,2,.500,2,2,4,0,0,0,2,3,3,-22,8:32,.307,.250,.250,.500,25.0,25.0,25.0,0.0,0.0,0.0,29.1,35.9,64,129
10,Jahmi'us Ramsey,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Chris Silva,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Damian Jones,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hassan Whiteside,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Justin James,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Robert Woodard II,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Sacramento Kings,240,42,88,.477,14,42,.333,14,22,.636,4,34,38,23,8,4,10,23,112,0,240,.573,.557,.477,.250,8.9,75.6,42.2,54.8,7.9,10.5,9.3,100.0,111.0,126.8
0,Royce O'Neale,Utah Jazz,35:12,2,6,.333,0,2,.000,1,2,.500,1,13,14,3,2,1,3,2,5,+12,35:12,.363,.333,.333,.333,3.0,39.4,21.2,11.0,2.7,3.0,30.4,11.9,75,106
1,Donovan Mitchell,Utah Jazz,35:02,12,31,.387,3,12,.250,15,17,.882,1,2,3,4,1,1,0,0,42,+9,35:02,.546,.435,.387,.548,3.0,6.1,4.6,23.3,1.4,3.0,0.0,46.5,125,112
2,Mike Conley,Utah Jazz,31:37,8,14,.571,5,10,.500,5,5,1.000,2,4,6,4,1,0,3,1,26,+7,31:37,.802,.750,.714,.357,6.7,13.5,10.1,21.8,1.5,0.0,15.6,25.7,143,113
3,Rudy Gobert,Utah Jazz,31:31,2,2,1.000,0,0,0,2,4,.500,3,8,11,1,1,2,2,3,6,+5,31:31,.798,1.000,.000,2.000,10.2,27.1,18.6,4.1,1.5,6.6,34.7,7.7,124,106
4,Bojan Bogdanović,Utah Jazz,26:56,2,8,.250,0,4,.000,4,4,1.000,0,6,6,3,1,0,2,1,8,-9,26:56,.410,.250,.500,.500,0.0,23.8,11.9,14.7,1.8,0.0,17.0,18.5,88,112
6,Joe Ingles,Utah Jazz,31:10,6,11,.545,5,10,.500,3,3,1.000,0,3,3,6,0,0,0,3,20,+27,31:10,.812,.773,.909,.273,0.0,10.3,5.1,30.0,0.0,0.0,0.0,16.7,178,117
7,Georges Niang,Utah Jazz,19:50,4,5,.800,4,5,.800,0,0,0,0,2,2,0,1,0,0,3,12,+13,19:50,1.200,1.200,1.000,.000,0.0,10.8,5.4,0.0,2.4,0.0,0.0,10.7,224,111
8,Derrick Favors,Utah Jazz,16:29,3,4,.750,0,0,0,0,0,0,4,3,7,0,1,1,0,4,6,+11,16:29,.750,.750,.000,.000,25.9,19.4,22.6,0.0,2.9,6.3,0.0,10.3,178,103
