,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Darius Garland,Cleveland Cavaliers,40:09,9,21,.429,4,8,.500,0,0,0,1,1,2,12,1,0,2,0,22,+4,40:09,.524,.524,.381,.000,2.7,3.2,2.9,50.8,1.3,0.0,8.7,27.2,117,120
1,Collin Sexton,Cleveland Cavaliers,34:43,8,20,.400,3,6,.500,3,4,.750,2,3,5,2,0,1,5,2,22,-7,34:43,.506,.475,.300,.200,6.1,11.2,8.4,9.9,0.0,3.3,18.7,36.6,87,120
2,Jarrett Allen,Cleveland Cavaliers,31:58,4,9,.444,0,0,0,2,2,1.000,4,7,11,2,0,0,0,1,10,-9,31:58,.506,.444,.000,.222,13.3,28.4,20.1,9.1,0.0,0.0,0.0,14.7,129,121
3,Isaac Okoro,Cleveland Cavaliers,31:23,5,7,.714,2,4,.500,1,1,1.000,0,1,1,1,1,0,0,1,13,-6,31:23,.874,.857,.571,.143,0.0,4.1,1.9,4.9,1.7,0.0,0.0,11.3,171,119
4,Kevin Love,Cleveland Cavaliers,30:06,6,15,.400,2,10,.200,0,0,0,0,11,11,0,1,0,1,0,14,+3,30:06,.467,.467,.667,.000,0.0,47.4,21.4,0.0,1.8,0.0,6.3,25.2,86,115
6,Larry Nance Jr.,Cleveland Cavaliers,27:03,3,4,.750,1,2,.500,0,0,0,1,3,4,6,1,0,1,2,7,-9,27:03,.875,.875,.500,.000,3.9,14.4,8.7,31.6,2.0,0.0,20.0,8.8,159,118
7,Taurean Prince,Cleveland Cavaliers,17:55,2,5,.400,0,0,0,0,0,0,0,2,2,1,0,0,1,1,4,-11,17:55,.400,.400,.000,.000,0.0,14.5,6.5,8.0,0.0,0.0,16.7,15.9,74,122
8,Isaiah Hartenstein,Cleveland Cavaliers,16:02,2,4,.500,0,0,0,0,0,0,3,3,6,1,2,0,0,3,4,-1,16:02,.500,.500,.000,.000,20.0,24.3,21.9,9.1,6.7,0.0,0.0,11.8,136,105
9,Matthew Dellavedova,Cleveland Cavaliers,10:41,0,3,.000,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-14,10:41,.000,.000,.000,.000,0.0,24.3,11.0,23.0,0.0,0.0,0.0,13.3,42,121
10,Lamar Stevens,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brodric Thomas,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cedi Osman,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Mfiondu Kabengele,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dean Wade,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Cleveland Cavaliers,240,39,88,.443,12,30,.400,6,7,.857,11,33,44,27,6,1,10,10,96,0,240,.527,.511,.341,.080,24.4,89.2,53.7,69.2,6.7,2.4,9.9,100.0,107.4,118.5
0,Nikola Vučević,Chicago Bulls,32:48,10,17,.588,3,5,.600,2,2,1.000,1,6,7,5,2,0,1,2,25,+16,32:48,.699,.676,.294,.118,4.0,19.5,12.5,27.8,3.3,0.0,5.3,28.8,135,103
1,Coby White,Chicago Bulls,32:48,2,10,.200,1,6,.167,3,4,.750,0,3,3,9,1,0,4,2,8,+8,32:48,.340,.250,.600,.400,0.0,9.8,5.4,34.6,1.6,0.0,25.4,24.0,82,110
2,Garrett Temple,Chicago Bulls,27:56,3,6,.500,2,5,.400,0,0,0,1,2,3,3,0,0,1,2,8,+14,27:56,.667,.667,.833,.000,4.6,7.6,6.3,14.4,0.0,0.0,14.3,12.5,124,114
3,Patrick Williams,Chicago Bulls,27:17,5,6,.833,1,1,1.000,1,1,1.000,0,4,4,3,1,1,0,1,12,+3,27:17,.932,.917,.167,.167,0.0,15.6,8.6,16.4,2.0,3.0,0.0,11.8,188,105
4,Daniel Theis,Chicago Bulls,22:53,3,8,.375,2,6,.333,0,0,0,1,2,3,1,1,0,1,1,8,-4,22:53,.500,.500,.750,.000,5.7,9.3,7.7,6.0,2.3,0.0,11.1,19.7,93,108
6,Lauri Markkanen,Chicago Bulls,25:58,6,12,.500,3,6,.500,1,1,1.000,0,6,6,0,1,0,0,1,16,+14,25:58,.643,.625,.500,.083,0.0,24.6,13.5,0.0,2.1,0.0,0.0,24.0,115,104
7,Denzel Valentine,Chicago Bulls,22:16,5,10,.500,2,7,.286,1,1,1.000,0,2,2,2,0,1,1,2,13,-11,22:16,.623,.600,.700,.100,0.0,9.6,5.3,14.3,0.0,3.7,8.7,25.7,110,111
8,Troy Brown Jr.,Chicago Bulls,17:50,2,3,.667,0,1,.000,0,0,0,0,5,5,0,0,0,0,0,4,+12,17:50,.667,.667,.333,.000,0.0,29.9,16.4,0.0,0.0,0.0,0.0,8.4,122,107
9,Thaddeus Young,Chicago Bulls,15:12,2,7,.286,1,2,.500,0,0,0,1,4,5,4,0,0,2,1,5,-6,15:12,.357,.357,.286,.000,8.5,28.1,19.3,36.4,0.0,0.0,22.2,29.6,84,107
10,Tomáš Satoranský,Chicago Bulls,15:02,3,3,1.000,1,1,1.000,0,0,0,0,0,0,3,0,0,0,3,7,+4,15:02,1.167,1.167,.333,.000,0.0,0.0,0.0,30.5,0.0,0.0,0.0,10.0,235,117
11,Devon Dotson,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cristiano Felício,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Javonte Green,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ryan Arcidiacono,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Al-Farouq Aminu,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Chicago Bulls,240,41,82,.500,16,40,.400,8,9,.889,4,34,38,30,6,2,10,15,106,0,240,.617,.598,.488,.110,10.8,75.6,46.3,73.2,6.7,3.4,10.4,100.0,118.5,107.4
