,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Andrew Wiggins,Golden State Warriors,41:35,6,11,.545,1,2,.500,3,5,.600,0,10,10,2,0,2,2,2,16,+3,41:35,.606,.591,.182,.455,0.0,23.6,13.3,8.5,0.0,4.1,13.2,16.5,110,96
1,Stephen Curry,Golden State Warriors,36:55,14,28,.500,10,17,.588,11,12,.917,0,3,3,5,0,0,6,2,49,+11,36:55,.736,.679,.607,.429,0.0,8.0,4.5,41.2,0.0,0.0,15.3,48.1,127,104
2,Kevon Looney,Golden State Warriors,33:41,2,4,.500,0,0,0,1,2,.500,4,11,15,1,0,0,3,5,5,+1,33:41,.512,.500,.000,.500,15.0,32.0,24.6,4.6,0.0,0.0,38.1,10.6,94,96
3,Draymond Green,Golden State Warriors,30:53,4,8,.500,0,3,.000,0,0,0,0,6,6,6,2,0,1,5,8,+15,30:53,.500,.500,.375,.000,0.0,19.0,10.7,33.6,3.2,0.0,11.1,13.2,116,93
4,Kent Bazemore,Golden State Warriors,14:11,0,5,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,-7,14:11,.170,.000,.400,.400,0.0,13.8,7.8,0.0,0.0,0.0,0.0,18.8,39,102
6,Damion Lee,Golden State Warriors,31:31,5,6,.833,2,2,1.000,0,0,0,1,5,6,1,0,1,2,1,12,+16,31:31,1.000,1.000,.333,.000,4.0,15.5,10.5,5.8,0.0,2.7,25.0,11.5,143,99
7,Kelly Oubre Jr.,Golden State Warriors,21:55,2,6,.333,0,1,.000,5,7,.714,1,1,2,0,0,0,2,2,9,+8,21:55,.496,.333,.167,1.167,5.8,4.5,5.0,0.0,0.0,0.0,18.1,22.9,90,105
8,Jordan Poole,Golden State Warriors,17:21,1,7,.143,1,4,.250,3,4,.750,0,1,1,0,0,2,0,1,6,+9,17:21,.342,.214,.571,.571,0.0,5.6,3.2,0.0,0.0,9.7,0.0,22.8,75,97
9,Mychal Mulder,Golden State Warriors,11:13,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,+1,11:13,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,106
10,Gary Payton II,Golden State Warriors,0:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0:18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,106
11,Alen Smailagić,Golden State Warriors,0:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0:18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,106
12,Nico Mannion,Golden State Warriors,0:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,106
13,Juan Toscano-Anderson,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Golden State Warriors,240,34,76,.447,14,32,.438,25,32,.781,6,39,45,15,2,5,16,19,107,0,240,.594,.539,.421,.421,15.8,79.6,51.7,44.1,2.1,8.8,15.1,100.0,109.7,98.4
0,Seth Curry,Philadelphia 76ers,35:10,6,15,.400,3,7,.429,0,0,0,0,0,0,5,1,0,1,3,15,-4,35:10,.500,.500,.467,.000,0.0,0.0,0.0,25.5,1.4,0.0,6.3,19.9,102,116
1,Danny Green,Philadelphia 76ers,32:41,4,8,.500,4,7,.571,0,0,0,2,5,7,2,3,0,1,4,12,-3,32:41,.750,.750,.875,.000,6.0,19.3,11.8,10.1,4.5,0.0,11.1,12.0,131,105
2,Joel Embiid,Philadelphia 76ers,32:28,8,21,.381,1,3,.333,11,14,.786,2,11,13,8,1,1,4,3,28,-6,32:28,.515,.405,.143,.667,6.0,42.8,22.1,51.0,1.5,3.4,12.8,41.9,105,106
3,Furkan Korkmaz,Philadelphia 76ers,25:11,4,11,.364,2,7,.286,0,0,0,0,0,0,2,1,0,1,2,10,+6,25:11,.455,.455,.636,.000,0.0,0.0,0.0,13.9,2.0,0.0,8.3,20.8,87,114
4,Mike Scott,Philadelphia 76ers,14:01,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+11,14:01,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,119
6,Matisse Thybulle,Philadelphia 76ers,31:13,6,11,.545,1,4,.250,0,0,0,1,6,7,1,3,1,0,1,13,-17,31:13,.591,.591,.364,.000,3.1,24.3,12.4,6.0,4.7,3.5,0.0,15.4,119,102
7,Shake Milton,Philadelphia 76ers,19:52,1,7,.143,1,2,.500,2,2,1.000,0,1,1,3,0,0,3,1,5,-15,19:52,.317,.214,.286,.286,0.0,6.4,2.8,22.2,0.0,0.0,27.6,23.9,61,118
8,George Hill,Philadelphia 76ers,17:30,1,5,.200,0,1,.000,0,0,0,1,1,2,2,0,2,2,0,2,-13,17:30,.200,.200,.200,.000,5.6,7.2,6.3,17.0,0.0,12.5,28.6,17.5,51,109
9,Tyrese Maxey,Philadelphia 76ers,16:11,5,9,.556,0,1,.000,0,0,0,0,2,2,0,0,0,0,2,10,-9,16:11,.556,.556,.111,.000,0.0,15.6,6.8,0.0,0.0,0.0,0.0,24.3,105,116
10,Dwight Howard,Philadelphia 76ers,14:45,0,1,.000,0,0,0,0,0,0,4,6,10,3,0,2,1,4,0,-5,14:45,.000,.000,.000,.000,26.6,51.4,37.4,27.9,0.0,14.8,50.0,5.9,114,99
11,Rayjon Tucker,Philadelphia 76ers,0:29,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,0,0,1,0,0:29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,119
12,Isaiah Joe,Philadelphia 76ers,0:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:29,.568,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,123,119
13,Paul Reed,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Anthony Tolliver,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mason Jones,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Philadelphia 76ers,240,35,89,.393,12,32,.375,14,18,.778,10,32,42,26,9,6,13,21,96,0,240,.495,.461,.360,.202,20.4,84.2,48.3,74.3,9.2,13.6,11.8,100.0,98.4,109.7
