,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Michael Porter Jr.,Denver Nuggets,36:39,8,18,.444,7,14,.500,3,5,.600,0,5,5,1,1,2,0,1,26,-5,36:39,.644,.639,.778,.278,0.0,17.7,7.4,5.6,1.3,5.8,0.0,25.0,117,120
1,Nikola Jokić,Denver Nuggets,33:24,7,16,.438,0,3,.000,5,5,1.000,0,6,6,6,0,0,1,2,19,-18,33:24,.522,.438,.188,.313,0.0,23.3,9.8,36.0,0.0,0.0,5.2,26.1,109,126
2,Facundo Campazzo,Denver Nuggets,31:43,1,8,.125,1,7,.143,4,4,1.000,0,1,1,4,1,0,0,5,7,-20,31:43,.359,.188,.875,.500,0.0,4.1,1.7,18.6,1.5,0.0,0.0,14.0,92,125
3,Aaron Gordon,Denver Nuggets,27:12,6,11,.545,2,5,.400,3,4,.750,2,4,6,2,0,1,2,0,17,-7,27:12,.666,.636,.455,.364,6.9,19.1,12.0,15.1,0.0,3.9,13.6,24.6,115,124
4,Will Barton,Denver Nuggets,0:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0:59,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,238,130
6,PJ Dozier,Denver Nuggets,29:41,4,11,.364,1,4,.250,0,0,0,0,2,2,5,3,0,1,2,9,-12,29:41,.409,.409,.364,.000,0.0,8.7,3.7,29.4,5.0,0.0,8.3,18.3,87,117
7,Austin Rivers,Denver Nuggets,22:59,3,7,.429,0,3,.000,0,0,0,0,4,4,2,0,1,1,2,6,-17,22:59,.429,.429,.429,.000,0.0,22.6,9.5,15.1,0.0,4.6,12.5,15.8,79,123
8,JaMychal Green,Denver Nuggets,18:15,1,6,.167,1,5,.200,0,0,0,2,1,3,0,0,1,0,0,3,-11,18:15,.250,.250,.833,.000,10.3,7.1,9.0,0.0,0.0,5.8,0.0,14.9,70,125
9,Shaquille Harrison,Denver Nuggets,18:08,2,4,.500,0,0,0,0,0,0,1,1,2,0,2,0,1,1,4,-3,18:08,.500,.500,.000,.000,5.2,7.2,6.0,0.0,5.4,0.0,20.0,12.5,82,116
10,Paul Millsap,Denver Nuggets,12:28,1,4,.250,0,2,.000,1,2,.500,1,6,7,4,1,2,2,1,3,0,12:28,.307,.250,.500,.500,7.5,62.4,30.6,51.1,3.9,17.1,29.1,25.0,75,99
11,Markus Howard,Denver Nuggets,2:08,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,3,-3,2:08,0,0,0,0,0.0,0.0,0.0,66.2,23.0,0.0,100.0,21.3,43,77
