,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cedi Osman,Cleveland Cavaliers,38:07,2,9,.222,2,7,.286,0,0,0,2,3,5,4,3,1,2,3,6,-19,38:07,.333,.333,.778,.000,5.7,11.4,8.2,15.0,4.1,2.5,18.2,13.4,80,114
1,Darius Garland,Cleveland Cavaliers,33:45,5,13,.385,1,5,.200,2,2,1.000,0,2,2,10,1,0,3,1,13,-4,33:45,.468,.423,.385,.154,0.0,8.6,3.7,49.2,1.5,0.0,17.8,23.3,100,122
2,Isaac Okoro,Cleveland Cavaliers,32:10,8,16,.500,1,8,.125,3,4,.750,2,4,6,0,0,0,1,0,20,-17,32:10,.563,.531,.500,.250,6.8,18.1,11.6,0.0,0.0,0.0,5.3,27.2,109,125
3,Jarrett Allen,Cleveland Cavaliers,31:12,7,11,.636,0,0,0,1,1,1.000,2,5,7,2,1,0,2,2,15,-15,31:12,.656,.636,.000,.091,7.0,23.3,14.0,12.2,1.7,0.0,14.9,20.1,115,120
4,Kevin Love,Cleveland Cavaliers,24:02,3,9,.333,0,4,.000,5,5,1.000,0,7,7,4,0,0,2,3,11,+2,24:02,.491,.333,.444,.556,0.0,42.4,18.2,26.6,0.0,0.0,15.2,25.6,99,122
6,Dean Wade,Cleveland Cavaliers,31:57,3,8,.375,1,5,.200,2,2,1.000,2,2,4,2,0,1,0,1,9,-16,31:57,.507,.438,.625,.250,6.8,9.1,7.8,9.5,0.0,3.0,0.0,12.9,121,123
7,Damyean Dotson,Cleveland Cavaliers,23:56,4,9,.444,2,4,.500,1,2,.500,0,5,5,2,0,0,1,1,11,-7,23:56,.557,.556,.444,.222,0.0,30.4,13.0,14.3,0.0,0.0,9.2,21.2,103,123
8,Brodric Thomas,Cleveland Cavaliers,16:02,3,5,.600,3,4,.750,0,0,0,1,0,1,0,1,0,2,3,9,-1,16:02,.900,.900,.800,.000,6.8,0.0,3.9,0.0,3.2,0.0,28.6,20.3,104,119
9,Mfiondu Kabengele,Cleveland Cavaliers,8:49,1,3,.333,0,1,.000,0,0,0,0,0,0,1,0,1,0,2,2,-3,8:49,.333,.333,.333,.000,0.0,0.0,0.0,17.8,0.0,10.9,0.0,15.9,84,117
10,Larry Nance Jr.,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
