,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Darius Bazley,Oklahoma City Thunder,37:43,8,15,.533,2,3,.667,3,6,.500,2,8,10,4,0,1,6,4,21,+6,37:43,.595,.600,.200,.400,6.2,20.8,14.1,17.7,0.0,2.7,25.4,24.3,96,104
1,Luguentz Dort,Oklahoma City Thunder,34:52,5,14,.357,3,8,.375,11,13,.846,1,3,4,2,0,1,3,5,24,+3,34:52,.609,.464,.571,.929,3.4,8.4,6.1,8.6,0.0,2.9,13.2,25.3,117,106
2,Aleksej Pokusevski,Oklahoma City Thunder,27:03,5,12,.417,2,4,.500,0,0,0,1,5,6,4,0,0,2,3,12,+11,27:03,.500,.500,.333,.000,4.3,18.1,11.8,23.6,0.0,0.0,14.3,20.1,102,106
3,Théo Maledon,Oklahoma City Thunder,22:53,1,4,.250,0,2,.000,4,4,1.000,0,3,3,5,1,0,5,0,6,+3,22:53,.521,.250,.500,1.000,0.0,12.8,7.0,28.4,1.9,0.0,46.5,18.2,80,103
4,Moses Brown,Oklahoma City Thunder,12:04,3,4,.750,0,0,0,2,2,1.000,3,4,7,0,0,0,1,1,8,+1,12:04,.820,.750,.000,.500,29.1,32.5,30.9,0.0,0.0,0.0,17.0,18.9,146,103
6,Isaiah Roby,Oklahoma City Thunder,26:57,5,7,.714,1,1,1.000,4,4,1.000,0,7,7,1,0,0,3,2,15,+4,26:57,.856,.786,.143,.571,0.0,25.4,13.9,5.9,0.0,0.0,25.5,16.9,122,105
7,Ty Jerome,Oklahoma City Thunder,23:47,6,10,.600,3,5,.600,0,1,.000,0,4,4,3,1,0,4,4,15,0,23:47,.718,.750,.500,.100,0.0,16.5,9.0,22.5,1.8,0.0,27.7,23.5,100,103
8,Kenrich Williams,Oklahoma City Thunder,23:35,3,5,.600,0,2,.000,2,2,1.000,2,2,4,1,1,1,2,3,8,-10,23:35,.680,.600,.400,.400,9.9,8.3,9.0,6.2,1.8,4.2,25.4,13.0,114,102
9,Svi Mykhailiuk,Oklahoma City Thunder,18:25,2,8,.250,2,5,.400,0,0,0,0,4,4,4,2,0,0,1,6,+1,18:25,.375,.375,.625,.000,0.0,21.3,11.6,30.9,4.7,0.0,0.0,16.8,106,95
10,Tony Bradley,Oklahoma City Thunder,12:41,1,2,.500,0,0,0,2,4,.500,1,1,2,1,0,0,1,1,4,+1,12:41,.532,.500,.000,2.000,9.2,7.7,8.4,10.7,0.0,0.0,21.0,14.5,103,108
11,Charlie Brown Jr.,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jaylen Hoard,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Oklahoma City Thunder,240,39,81,.481,13,30,.433,28,36,.778,10,41,51,25,5,3,27,24,119,0,240,.614,.562,.370,.444,24.4,83.7,56.7,64.1,4.5,6.3,21.8,100.0,106.9,103.3
0,Jaylen Brown,Boston Celtics,38:03,13,26,.500,4,11,.364,9,9,1.000,1,10,11,3,4,0,3,3,39,-2,38:03,.651,.577,.423,.346,2.6,30.8,15.4,15.4,4.5,0.0,9.1,34.1,122,101
1,Marcus Smart,Boston Celtics,37:52,4,17,.235,1,10,.100,5,6,.833,0,0,0,6,5,0,3,6,14,-1,37:52,.356,.265,.588,.353,0.0,0.0,0.0,21.2,5.7,0.0,13.3,23.5,77,105
2,Evan Fournier,Boston Celtics,35:00,4,14,.286,2,9,.222,1,2,.500,0,7,7,1,5,1,3,3,11,+2,35:00,.370,.357,.643,.143,0.0,23.4,10.7,3.9,6.2,2.7,16.8,20.1,64,98
3,Tristan Thompson,Boston Celtics,18:04,1,3,.333,0,0,0,0,0,0,3,1,4,2,1,0,0,5,2,0,18:04,.333,.333,.000,.000,16.3,6.5,11.8,13.9,2.4,0.0,0.0,6.5,127,111
4,Semi Ojeleye,Boston Celtics,8:14,1,4,.250,0,2,.000,0,0,0,1,1,2,0,0,0,0,0,2,-8,8:14,.250,.250,.500,.000,11.9,14.2,13.0,0.0,0.0,0.0,0.0,19.1,68,115
6,Payton Pritchard,Boston Celtics,32:58,9,16,.563,4,10,.400,6,7,.857,0,3,3,4,1,0,2,4,28,+1,32:58,.734,.688,.625,.438,0.0,10.7,4.9,20.9,1.3,0.0,9.5,25.2,135,113
7,Romeo Langford,Boston Celtics,21:35,2,5,.400,0,3,.000,1,1,1.000,1,3,4,0,0,1,1,0,5,-11,21:35,.460,.400,.600,.200,4.5,16.3,9.9,0.0,0.0,4.4,15.5,11.7,86,112
8,Luke Kornet,Boston Celtics,19:58,5,7,.714,0,1,.000,0,0,0,2,5,7,4,0,3,1,0,10,+1,19:58,.714,.714,.143,.000,9.8,29.3,18.7,33.2,0.0,14.1,12.5,15.8,141,104
9,Aaron Nesmith,Boston Celtics,12:27,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,2,0,12:27,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,99,118
10,Grant Williams,Boston Celtics,11:07,1,3,.333,0,2,.000,0,0,0,0,0,0,1,0,2,1,2,2,-4,11:07,.333,.333,.667,.000,0.0,0.0,0.0,11.8,0.0,16.9,25.0,14.2,60,108
11,Jabari Parker,Boston Celtics,4:42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,+2,4:42,0,0,0,0,0.0,24.9,11.3,0.0,0.0,0.0,0,0.0,0,113
12,Tremont Waters,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tacko Fall,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Boston Celtics,240,41,97,.423,11,49,.224,22,25,.880,8,31,39,21,16,7,14,26,115,0,240,.532,.479,.505,.258,16.3,75.6,43.3,51.2,14.4,13.7,11.5,100.0,103.3,106.9
