,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Khris Middleton,Milwaukee Bucks,37:52,7,15,.467,2,8,.250,1,3,.333,0,5,5,6,2,0,3,3,17,+14,37:52,.521,.533,.533,.200,0.0,13.8,7.4,19.9,2.5,0.0,15.5,21.5,99,104
1,Giannis Antetokounmpo,Milwaukee Bucks,37:28,11,19,.579,2,4,.500,5,5,1.000,1,11,12,8,3,1,4,4,29,+8,37:28,.684,.632,.211,.263,3.2,30.6,17.9,31.1,3.8,2.7,15.9,28.3,125,96
2,Jrue Holiday,Milwaukee Bucks,36:07,6,15,.400,0,3,.000,0,0,0,2,8,10,5,1,0,4,4,12,+4,36:07,.400,.400,.200,.000,6.6,23.1,15.5,17.0,1.3,0.0,21.1,22.1,81,105
3,Donte DiVincenzo,Milwaukee Bucks,28:32,4,9,.444,1,4,.250,0,0,0,1,2,3,3,3,1,2,1,9,-1,28:32,.500,.500,.444,.000,4.2,7.3,5.9,12.5,5.0,3.6,18.2,16.2,96,97
4,Brook Lopez,Milwaukee Bucks,26:43,9,12,.750,0,2,.000,4,4,1.000,2,2,4,2,2,0,1,5,22,+2,26:43,.799,.750,.167,.333,9.0,7.8,8.4,11.7,3.5,0.0,6.8,23.2,154,102
6,P.J. Tucker,Milwaukee Bucks,25:35,2,3,.667,1,2,.500,0,0,0,1,3,4,0,1,0,0,1,5,+7,25:35,.833,.833,.667,.000,4.7,12.2,8.7,0.0,1.8,0.0,0.0,4.9,168,106
7,Bryn Forbes,Milwaukee Bucks,18:40,6,10,.600,3,6,.500,0,0,0,0,2,2,1,0,0,0,1,15,+8,18:40,.750,.750,.600,.000,0.0,11.2,6.0,8.1,0.0,0.0,0.0,22.5,146,110
8,Pat Connaughton,Milwaukee Bucks,14:32,0,2,.000,0,2,.000,0,0,0,0,2,2,0,1,1,0,2,0,+3,14:32,.000,.000,1.000,.000,0.0,14.4,7.7,0.0,3.2,7.0,0.0,5.8,0,97
9,Bobby Portis,Milwaukee Bucks,13:19,2,6,.333,0,2,.000,1,2,.500,1,4,5,3,0,0,1,3,5,+8,13:19,.363,.333,.333,.333,9.0,31.3,21.0,27.2,0.0,0.0,12.7,24.9,90,106
10,Thanasis Antetokounmpo,Milwaukee Bucks,1:12,0,2,.000,0,2,.000,0,0,0,1,0,1,0,0,0,0,0,0,-3,1:12,.000,.000,1.000,.000,100.0,0.0,46.5,0.0,0.0,0.0,0.0,70.1,40,112
11,Jeff Teague,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justin Jackson,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sam Merrill,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mamadi Diakite,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jordan Nwora,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Milwaukee Bucks,240,47,93,.505,9,35,.257,11,14,.786,9,39,48,28,13,3,15,24,114,0,240,.575,.554,.376,.151,22.5,84.8,55.8,59.6,12.8,6.4,13.1,100.0,112.0,102.2
0,Miles Bridges,Charlotte Hornets,41:02,9,16,.563,3,7,.429,0,0,0,2,8,10,6,0,2,0,3,21,-13,41:02,.656,.656,.438,.000,5.1,23.4,13.6,25.5,0.0,4.0,0.0,17.2,140,112
1,Terry Rozier,Charlotte Hornets,37:12,4,17,.235,0,7,.000,0,0,0,0,5,5,4,0,1,2,1,8,-3,37:12,.235,.235,.412,.000,0.0,16.1,7.5,15.7,0.0,2.2,10.5,22.5,56,115
2,Devonte' Graham,Charlotte Hornets,33:47,6,14,.429,6,13,.462,7,8,.875,0,3,3,6,1,0,4,1,25,-6,33:47,.713,.643,.929,.571,0.0,10.7,5.0,28.9,1.4,0.0,18.6,28.0,119,114
3,P.J. Washington,Charlotte Hornets,32:07,7,11,.636,2,4,.500,2,4,.500,0,2,2,2,0,0,3,5,18,+1,32:07,.705,.727,.364,.364,0.0,7.5,3.5,10.9,0.0,0.0,19.0,21.6,106,118
4,Cody Martin,Charlotte Hornets,30:30,4,9,.444,1,3,.333,1,2,.500,2,6,8,1,4,0,3,3,10,-5,30:30,.506,.500,.333,.222,6.8,23.6,14.6,5.0,6.2,0.0,23.3,18.6,84,102
6,Brad Wanamaker,Charlotte Hornets,27:05,5,10,.500,0,1,.000,3,3,1.000,0,2,2,6,0,1,2,3,13,-10,27:05,.574,.500,.100,.300,0.0,8.9,4.1,36.5,0.0,3.1,15.0,21.6,113,115
7,Bismack Biyombo,Charlotte Hornets,22:40,1,1,1.000,0,0,0,1,2,.500,2,4,6,0,0,3,3,0,3,-16,22:40,.798,1.000,.000,2.000,9.2,21.2,14.8,0.0,0.0,11.0,61.5,9.5,73,108
8,Jalen McDaniels,Charlotte Hornets,15:37,2,4,.500,0,0,0,2,4,.500,1,1,2,1,1,0,0,1,6,+2,15:37,.521,.500,.000,1.000,6.7,7.7,7.1,9.6,3.0,0.0,0.0,16.2,119,111
9,Nate Darling,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Grant Riller,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Vernon Carey Jr.,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nick Richards,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Caleb Martin,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cody Zeller,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Charlotte Hornets,240,38,82,.463,12,35,.343,16,23,.696,7,31,38,26,6,7,17,17,104,0,240,.564,.537,.427,.280,15.2,77.5,44.2,68.4,5.9,12.1,15.6,100.0,102.2,112.0
