,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kyle Kuzma,Los Angeles Lakers,36:08,4,12,.333,2,5,.400,1,1,1.000,4,3,7,8,0,2,0,2,11,-3,36:08,.442,.417,.417,.083,10.0,10.5,10.2,29.0,0.0,3.7,0.0,14.3,125,121
1,Dennis Schröder,Los Angeles Lakers,35:20,5,12,.417,1,3,.333,2,2,1.000,1,3,4,8,0,0,0,4,13,-8,35:20,.505,.458,.250,.167,2.6,10.7,6.0,30.9,0.0,0.0,0.0,15.2,128,124
2,Kentavious Caldwell-Pope,Los Angeles Lakers,33:50,1,5,.200,1,4,.250,1,1,1.000,0,0,0,3,1,2,1,3,4,-2,33:50,.368,.300,.800,.200,0.0,0.0,0.0,10.5,1.4,3.9,15.5,7.9,84,119
3,Anthony Davis,Los Angeles Lakers,31:04,10,20,.500,2,5,.400,4,6,.667,1,4,5,2,3,2,3,3,26,-13,31:04,.574,.550,.250,.300,2.9,16.3,8.5,11.6,4.6,4.3,11.7,34.4,102,109
4,Andre Drummond,Los Angeles Lakers,20:29,8,12,.667,0,0,0,1,4,.250,4,7,11,2,1,1,2,2,17,-9,20:29,.618,.667,.000,.333,17.7,43.2,28.3,20.2,2.3,3.3,12.7,32.0,112,109
6,Talen Horton-Tucker,Los Angeles Lakers,23:19,3,7,.429,0,2,.000,0,0,0,0,4,4,4,3,0,1,0,6,-8,23:19,.429,.429,.286,.000,0.0,21.7,9.0,23.0,6.2,0.0,12.5,14.3,94,108
7,Ben McLemore,Los Angeles Lakers,22:47,5,16,.313,4,12,.333,2,3,.667,0,3,3,1,1,0,2,3,16,-3,22:47,.462,.438,.750,.188,0.0,16.6,6.9,6.7,2.1,0.0,10.4,35.3,84,118
8,Montrezl Harrell,Los Angeles Lakers,17:19,5,5,1.000,0,0,0,2,4,.500,1,2,3,2,1,1,1,3,12,-8,17:19,.888,1.000,.000,.800,5.2,14.6,9.1,19.7,2.8,3.8,12.9,18.7,149,114
9,Markieff Morris,Los Angeles Lakers,16:10,1,7,.143,0,3,.000,0,0,0,2,2,4,1,0,0,0,0,2,-5,16:10,.143,.143,.429,.000,11.2,15.6,13.1,7.6,0.0,0.0,0.0,18.0,58,123
10,Devontae Cacok,Los Angeles Lakers,1:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7,1:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,126
11,Alfonzo McKinnie,Los Angeles Lakers,1:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7,1:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,126
12,Wesley Matthews,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Marc Gasol,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alex Caruso,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Los Angeles Lakers,240,42,96,.438,10,34,.294,13,21,.619,13,28,41,31,10,8,10,20,107,0,240,.508,.490,.354,.219,24.5,73.7,45.1,73.8,10.0,11.1,8.7,100.0,107.3,116.3
0,Russell Westbrook,Washington Wizards,40:40,7,16,.438,1,3,.333,3,4,.750,2,16,18,14,2,0,2,3,18,+12,40:40,.507,.469,.188,.250,6.2,35.6,23.3,42.7,2.4,0.0,10.1,20.8,124,99
1,Bradley Beal,Washington Wizards,36:18,11,18,.611,3,5,.600,2,2,1.000,0,3,3,3,1,0,4,1,27,+14,36:18,.715,.694,.278,.111,0.0,7.5,4.4,12.2,1.3,0.0,17.5,27.0,119,111
2,Rui Hachimura,Washington Wizards,29:32,4,8,.500,0,1,.000,4,4,1.000,0,1,1,2,1,0,0,3,12,+8,29:32,.615,.500,.125,.500,0.0,3.1,1.8,8.0,1.6,0.0,0.0,14.1,139,111
3,Alex Len,Washington Wizards,24:37,7,13,.538,0,1,.000,4,7,.571,5,4,9,1,0,2,0,2,18,+12,24:37,.560,.538,.077,.538,25.7,14.7,19.3,5.8,0.0,6.3,0.0,27.9,131,106
4,Raul Neto,Washington Wizards,22:37,2,4,.500,1,1,1.000,0,0,0,0,2,2,2,0,0,1,0,5,+4,22:37,.625,.625,.250,.000,0.0,8.0,4.7,9.9,0.0,0.0,20.0,9.5,111,114
6,Dāvis Bertāns,Washington Wizards,24:01,0,6,.000,0,6,.000,0,0,0,0,2,2,1,1,0,0,3,0,+3,24:01,.000,.000,1.000,.000,0.0,7.5,4.4,4.3,2.0,0.0,0.0,10.7,13,109
7,Chandler Hutchison,Washington Wizards,19:11,4,7,.571,0,0,0,0,0,0,0,6,6,0,0,1,1,3,8,+1,19:11,.571,.571,.000,.000,0.0,28.3,16.5,0.0,0.0,4.0,12.5,17.8,99,103
8,Ish Smith,Washington Wizards,18:01,4,6,.667,1,1,1.000,3,4,.750,0,2,2,1,1,0,1,2,12,+2,18:01,.773,.750,.167,.667,0.0,10.1,5.9,7.3,2.7,0.0,11.4,20.8,139,106
9,Daniel Gafford,Washington Wizards,13:05,4,5,.800,0,0,0,0,0,0,3,3,6,0,0,0,2,3,8,-2,13:05,.800,.800,.000,.000,29.0,20.8,24.2,0.0,0.0,0.0,28.6,22.9,118,108
10,Robin Lopez,Washington Wizards,8:31,4,6,.667,0,0,0,0,0,0,0,1,1,0,0,1,1,0,8,+6,8:31,.667,.667,.000,.000,0.0,10.6,6.2,0.0,0.0,9.1,14.3,35.1,103,106
11,Isaac Bonga,Washington Wizards,1:09,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1:09,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,0,116
12,Garrison Mathews,Washington Wizards,1:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1:09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,116
13,Cassius Winston,Washington Wizards,1:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5,1:09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.2,0,116
14,Anthony Gill,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Washington Wizards,240,47,90,.522,6,18,.333,16,21,.762,10,40,50,24,6,4,13,20,116,0,240,.584,.556,.200,.233,26.3,75.5,54.9,51.1,6.0,6.5,11.6,100.0,116.3,107.3
