,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jakob Poeltl,San Antonio Spurs,42:59,5,7,.714,0,0,0,5,7,.714,6,4,10,1,1,1,2,4,15,-17,42:59,.744,.714,.000,1.000,17.2,9.5,13.0,2.9,1.1,1.8,16.6,12.4,144,129
1,Dejounte Murray,San Antonio Spurs,42:34,10,18,.556,2,2,1.000,2,2,1.000,1,7,8,8,1,0,2,5,24,-6,42:34,.636,.611,.111,.111,2.9,16.8,10.5,27.3,1.1,0.0,9.6,21.7,128,127
2,DeMar DeRozan,San Antonio Spurs,42:15,7,21,.333,0,2,.000,16,19,.842,0,5,5,14,2,0,2,1,30,+1,42:15,.511,.333,.095,.905,0.0,12.1,6.6,43.7,2.3,0.0,6.4,32.9,121,127
3,Keldon Johnson,San Antonio Spurs,39:07,6,9,.667,0,0,0,2,2,1.000,0,8,8,1,1,0,1,2,14,0,39:07,.709,.667,.000,.222,0.0,20.8,11.4,3.3,1.2,0.0,9.2,12.3,128,126
4,Devin Vassell,San Antonio Spurs,15:28,0,4,.000,0,2,.000,2,2,1.000,0,2,2,1,0,0,0,5,2,+3,15:28,.205,.000,.500,.500,0.0,13.2,7.2,7.0,0.0,0.0,0.0,14.0,60,130
6,Lonnie Walker IV,San Antonio Spurs,33:53,9,12,.750,4,7,.571,2,2,1.000,1,3,4,1,0,0,0,4,24,-7,33:53,.932,.917,.583,.167,3.6,9.0,6.6,4.5,0.0,0.0,0.0,16.8,182,133
7,Patty Mills,San Antonio Spurs,21:46,4,10,.400,2,8,.250,1,2,.500,0,2,2,2,1,0,1,1,11,0,21:46,.506,.500,.800,.200,0.0,9.4,5.1,12.4,2.2,0.0,8.4,24.2,98,128
8,Rudy Gay,San Antonio Spurs,17:46,6,9,.667,3,3,1.000,1,2,.500,0,1,1,1,0,0,2,2,16,-3,17:46,.810,.833,.333,.222,0.0,5.7,3.1,9.6,0.0,0.0,16.8,29.6,120,134
9,Drew Eubanks,San Antonio Spurs,9:12,2,2,1.000,0,0,0,0,0,0,0,3,3,0,0,0,1,3,4,+14,9:12,1.000,1.000,.000,.000,0.0,33.2,18.2,0.0,0.0,0.0,33.3,14.4,108,123
10,Tre Jones,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Luka Šamanić,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gorgui Dieng,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Keita Bates-Diop,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,San Antonio Spurs,265,49,92,.533,11,24,.458,31,38,.816,8,35,43,29,6,1,11,27,140,0,265,.644,.592,.261,.413,18.6,67.3,45.3,59.2,5.4,1.5,9.2,100.0,125.9,128.6
0,Jayson Tatum,Boston Celtics,45:20,20,37,.541,5,7,.714,15,17,.882,2,6,8,5,0,1,0,2,60,+6,45:20,.674,.608,.189,.459,4.5,16.3,9.8,22.8,0.0,1.7,0.0,38.9,151,129
1,Marcus Smart,Boston Celtics,43:45,2,6,.333,1,4,.250,5,6,.833,1,3,4,12,2,1,3,4,10,+2,43:45,.579,.417,.667,1.000,2.3,8.5,5.1,31.2,2.2,1.8,25.8,10.5,130,126
2,Jaylen Brown,Boston Celtics,43:31,5,24,.208,4,12,.333,3,5,.600,0,5,5,2,2,2,4,3,17,+3,43:31,.324,.292,.500,.208,0.0,14.2,6.4,5.7,2.2,3.6,13.2,27.5,68,123
3,Robert Williams,Boston Celtics,23:27,4,6,.667,0,0,0,2,4,.500,3,6,9,3,0,1,0,0,10,+1,23:27,.644,.667,.000,.667,13.0,31.5,21.4,17.0,0.0,3.3,0.0,13.1,157,126
4,Evan Fournier,Boston Celtics,20:47,3,6,.500,2,4,.500,0,0,0,0,2,2,0,1,0,2,3,8,0,20:47,.667,.667,.667,.000,0.0,11.9,5.4,0.0,2.3,0.0,25.0,15.2,92,126
6,Aaron Nesmith,Boston Celtics,30:14,7,9,.778,2,3,.667,0,0,0,2,4,6,1,1,0,0,5,16,+12,30:14,.889,.889,.333,.000,6.7,16.3,11.1,4.8,1.6,0.0,0.0,11.8,183,127
7,Tristan Thompson,Boston Celtics,29:11,3,8,.375,0,0,0,2,4,.500,8,7,15,5,0,2,2,4,8,-1,29:11,.410,.375,.000,.500,27.9,29.6,28.7,20.9,0.0,5.3,17.0,16.0,119,124
8,Payton Pritchard,Boston Celtics,13:18,1,4,.250,1,4,.250,0,0,0,1,1,2,0,1,0,1,1,3,+9,13:18,.375,.375,1.000,.000,7.7,9.3,8.4,0.0,3.6,0.0,20.0,14.9,76,124
9,Grant Williams,Boston Celtics,8:45,3,4,.750,2,3,.667,0,0,0,0,1,1,0,0,0,0,3,8,-11,8:45,1.000,1.000,.750,.000,0.0,14.1,6.4,0.0,0.0,0.0,0.0,18.1,184,131
10,Tremont Waters,Boston Celtics,6:42,1,1,1.000,1,1,1.000,0,0,0,0,0,0,3,0,0,1,1,3,-6,6:42,1.500,1.500,1.000,.000,0.0,0.0,0.0,57.8,0.0,0.0,50.0,11.8,161,133
