,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,33:26,5,6,.833,2,3,.667,0,0,0,1,3,4,3,0,1,2,2,12,+28,33:26,1.000,1.000,.500,.000,3.3,10.8,6.9,11.1,0.0,3.3,25.0,10.6,151,123
1,Tim Hardaway Jr.,Dallas Mavericks,33:15,13,24,.542,10,18,.556,0,2,.000,1,3,4,1,0,1,1,2,36,+19,33:15,.723,.750,.750,.083,3.4,10.8,7.0,5.3,0.0,3.4,3.9,34.6,137,123
2,Luka Dončić,Dallas Mavericks,30:16,8,15,.533,5,10,.500,2,5,.400,1,11,12,8,0,0,7,1,23,+20,30:16,.669,.700,.667,.333,3.7,43.6,22.9,38.1,0.0,0.0,28.9,35.6,109,118
3,Josh Richardson,Dallas Mavericks,22:40,6,11,.545,3,5,.600,2,2,1.000,1,0,1,1,0,0,1,1,17,-3,22:40,.715,.682,.455,.182,4.9,0.0,2.6,6.4,0.0,0.0,7.8,25.3,139,127
4,Willie Cauley-Stein,Dallas Mavericks,18:15,1,2,.500,0,0,0,0,0,0,0,3,3,1,0,0,0,1,2,+5,18:15,.500,.500,.000,.000,0.0,19.7,9.5,6.1,0.0,0.0,0.0,4.9,130,123
6,Dwight Powell,Dallas Mavericks,28:33,3,4,.750,0,0,0,1,1,1.000,5,5,10,3,3,2,0,5,7,+13,28:33,.788,.750,.000,.250,19.5,21.0,20.3,12.3,5.3,7.8,0.0,6.9,199,104
7,Josh Green,Dallas Mavericks,23:40,1,2,.500,0,1,.000,2,2,1.000,2,2,4,3,3,0,1,1,4,+17,23:40,.694,.500,.500,1.000,9.4,10.1,9.8,13.8,6.4,0.0,25.8,7.3,153,110
8,Jalen Brunson,Dallas Mavericks,18:18,7,12,.583,2,5,.400,3,3,1.000,0,1,1,2,0,0,1,1,19,-8,18:18,.713,.667,.417,.250,0.0,6.6,3.2,19.0,0.0,0.0,7.0,34.8,140,126
9,Nicolò Melli,Dallas Mavericks,15:05,0,4,.000,0,2,.000,0,0,0,1,3,4,3,0,0,0,1,0,-7,15:05,.000,.000,.500,.000,7.4,23.9,15.3,20.8,0.0,0.0,0.0,11.8,78,122
10,Trey Burke,Dallas Mavericks,6:53,2,4,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,5,-7,6:53,.563,.500,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,119,127
11,J.J. Redick,Dallas Mavericks,6:13,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,+5,6:13,.347,.000,1.000,1.000,0.0,19.3,9.3,0.0,0.0,0.0,0.0,20.6,86,123
12,Tyler Bey,Dallas Mavericks,1:43,0,1,.000,0,1,.000,0,0,0,0,0,0,1,0,0,0,1,0,-6,1:43,.000,.000,1.000,.000,0.0,0.0,0.0,60.8,0.0,0.0,0.0,25.9,75,126
13,Nate Hinton,Dallas Mavericks,1:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1:43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,128
14,Boban Marjanović,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Maxi Kleber,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Dallas Mavericks,240,46,87,.529,22,48,.458,13,18,.722,12,32,44,26,6,4,13,17,127,0,240,.669,.655,.552,.207,27.9,80.0,53.0,56.5,6.3,9.3,12.0,100.0,133.9,119.1
0,Duncan Robinson,Miami Heat,37:39,6,14,.429,4,11,.364,3,3,1.000,1,8,9,3,2,0,1,4,19,-12,37:39,.620,.571,.786,.214,3.2,23.7,13.8,12.2,2.7,0.0,6.1,19.8,124,129
1,Kendrick Nunn,Miami Heat,32:00,5,16,.313,2,7,.286,2,2,1.000,0,1,1,3,1,0,2,0,14,-19,32:00,.415,.375,.438,.125,0.0,3.5,1.8,14.3,1.6,0.0,10.6,26.9,84,138
2,Bam Adebayo,Miami Heat,30:22,4,10,.400,0,0,0,3,6,.500,3,6,9,11,2,0,3,1,11,-22,30:22,.435,.400,.000,.600,11.9,22.1,17.1,53.2,3.3,0.0,19.2,23.5,113,129
3,Trevor Ariza,Miami Heat,25:59,7,11,.636,4,7,.571,0,0,0,1,3,4,1,1,0,2,4,18,-19,25:59,.818,.818,.636,.000,4.6,12.9,8.9,7.1,1.9,0.0,15.4,22.8,122,134
4,Andre Iguodala,Miami Heat,22:18,0,2,.000,0,1,.000,0,0,0,0,0,0,2,1,0,0,0,0,-9,22:18,.000,.000,.500,.000,0.0,0.0,0.0,11.0,2.3,0.0,0.0,4.1,64,138
6,Goran Dragić,Miami Heat,27:15,5,14,.357,2,6,.333,7,8,.875,0,5,5,3,1,0,3,2,19,-16,27:15,.542,.429,.429,.571,0.0,20.5,10.6,17.5,1.9,0.0,14.6,34.3,101,132
7,KZ Okpala,Miami Heat,20:07,1,2,.500,0,1,.000,0,0,0,1,1,2,1,0,1,0,2,2,+11,20:07,.500,.500,.500,.000,6.0,5.5,5.7,6.5,0.0,6.1,0.0,4.5,139,138
8,Max Strus,Miami Heat,14:42,2,3,.667,2,3,.667,2,2,1.000,0,1,1,1,0,0,1,1,8,+1,14:42,1.031,1.000,1.000,.667,0.0,7.6,3.9,10.1,0.0,0.0,20.5,15.1,149,141
9,Gabe Vincent,Miami Heat,12:00,5,7,.714,4,5,.800,0,0,0,0,1,1,1,0,0,0,2,14,+7,12:00,1.000,1.000,.714,.000,0.0,9.3,4.8,21.1,0.0,0.0,0.0,26.6,175,140
10,Dewayne Dedmon,Miami Heat,11:57,3,3,1.000,0,0,0,0,0,0,2,4,6,3,1,0,0,1,6,-4,11:57,1.000,1.000,.000,.000,20.1,37.4,29.0,44.7,4.2,0.0,0.0,11.5,220,122
11,Precious Achiuwa,Miami Heat,5:41,1,2,.500,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,+12,5:41,.500,.500,.000,.000,0.0,19.6,10.2,27.6,0.0,21.7,0.0,16.1,121,126
12,Tyler Herro,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jimmy Butler,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nemanja Bjelica,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Udonis Haslem,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Miami Heat,240,39,84,.464,18,41,.439,17,21,.810,8,31,39,30,9,2,12,17,113,0,240,.606,.571,.488,.250,20.0,72.1,47.0,76.9,9.5,5.1,11.4,100.0,119.1,133.9
