,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kevin Durant,Brooklyn Nets,40:38,9,14,.643,3,6,.500,12,13,.923,0,11,11,7,2,2,5,1,33,+1,40:38,.837,.750,.429,.929,0.0,30.2,19.1,27.2,2.4,4.6,20.2,29.9,141,115
1,Kyrie Irving,Brooklyn Nets,39:12,11,17,.647,4,7,.571,5,6,.833,0,0,0,4,1,1,4,5,31,+7,39:12,.789,.765,.412,.353,0.0,0.0,0.0,17.8,1.3,2.4,16.9,29.7,128,127
2,Joe Harris,Brooklyn Nets,33:08,3,6,.500,2,4,.500,0,0,0,0,5,5,5,0,0,1,3,8,+3,33:08,.667,.667,.667,.000,0.0,16.8,10.7,19.8,0.0,0.0,14.3,10.4,134,127
3,Blake Griffin,Brooklyn Nets,27:04,8,10,.800,4,6,.667,0,0,0,0,2,2,3,2,0,0,5,20,+10,27:04,1.000,1.000,.600,.000,0.0,8.2,5.2,19.8,3.6,0.0,0.0,18.2,190,121
4,Bruce Brown,Brooklyn Nets,22:42,2,3,.667,0,0,0,0,0,0,0,3,3,1,1,1,0,2,4,-4,22:42,.667,.667,.000,.000,0.0,14.8,9.3,5.8,2.2,4.1,0.0,6.5,140,120
6,Jeff Green,Brooklyn Nets,25:56,5,8,.625,3,4,.750,2,2,1.000,1,4,5,2,0,0,3,3,15,+11,25:56,.845,.813,.500,.250,7.4,17.2,13.6,11.7,0.0,0.0,25.3,22.5,124,127
7,Landry Shamet,Brooklyn Nets,21:55,1,4,.250,0,3,.000,1,2,.500,0,0,0,3,0,0,1,0,3,0,21:55,.307,.250,.750,.500,0.0,0.0,0.0,16.9,0.0,0.0,17.0,13.2,84,132
8,Nic Claxton,Brooklyn Nets,13:55,1,1,1.000,0,0,0,2,4,.500,0,4,4,0,2,1,0,4,4,+4,13:55,.725,1.000,.000,4.000,0.0,32.1,20.3,0.0,7.1,6.8,0.0,9.8,146,103
9,Mike James,Brooklyn Nets,10:26,1,3,.333,0,1,.000,4,4,1.000,0,2,2,1,2,0,2,0,6,+1,10:26,.630,.333,.333,1.333,0.0,21.4,13.5,12.6,9.4,0.0,29.6,31.9,99,105
10,DeAndre Jordan,Brooklyn Nets,5:04,0,0,0,0,0,0,1,2,.500,1,2,3,1,0,0,1,1,1,-3,5:04,.568,0,0,0,37.9,44.1,41.8,23.1,0.0,0.0,53.2,18.3,115,120
11,Timothé Luwawu-Cabarrot,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tyler Johnson,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Reggie Perry,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alize Johnson,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Brooklyn Nets,240,41,66,.621,16,31,.516,27,33,.818,2,33,35,27,10,5,17,24,125,0,240,.776,.742,.470,.500,8.0,76.7,51.5,65.9,10.3,9.8,17.4,100.0,128.3,122.2
0,Nikola Jokić,Denver Nuggets,36:56,10,21,.476,0,5,.000,9,9,1.000,3,4,7,6,0,0,5,3,29,+3,36:56,.581,.476,.238,.429,9.1,20.8,13.4,26.9,0.0,0.0,16.7,34.1,114,134
1,Austin Rivers,Denver Nuggets,35:22,5,9,.556,2,6,.333,0,0,0,0,5,5,1,2,0,1,2,12,-1,35:22,.667,.667,.667,.000,0.0,27.1,10.0,3.9,2.8,0.0,10.0,11.9,121,127
2,Facundo Campazzo,Denver Nuggets,34:19,4,9,.444,3,6,.500,8,8,1.000,0,2,2,5,3,0,0,3,19,-1,34:19,.759,.611,.667,.889,0.0,11.2,4.1,19.2,4.3,0.0,0.0,15.3,171,123
3,Michael Porter Jr.,Denver Nuggets,33:42,11,17,.647,6,10,.600,0,0,0,1,3,4,2,2,0,2,5,28,-1,33:42,.824,.824,.588,.000,3.3,17.1,8.4,10.8,2.9,0.0,10.5,23.7,144,127
4,JaMychal Green,Denver Nuggets,31:57,3,12,.250,1,5,.200,2,3,.667,3,3,6,1,1,0,0,1,9,-7,31:57,.338,.292,.417,.250,10.5,18.0,13.3,4.0,1.5,0.0,0.0,17.5,92,130
6,Vlatko Čančar,Denver Nuggets,15:32,1,3,.333,0,1,.000,1,2,.500,1,1,2,2,0,0,1,2,3,+2,15:32,.387,.333,.333,.667,7.2,12.4,9.1,15.9,0.0,0.0,20.5,13.2,93,134
7,Shaquille Harrison,Denver Nuggets,15:21,1,3,.333,0,1,.000,0,0,0,0,1,1,4,0,1,0,1,2,-4,15:21,.333,.333,.333,.000,0.0,12.5,4.6,32.2,0.0,8.9,0.0,8.2,122,127
8,Markus Howard,Denver Nuggets,13:24,5,11,.455,2,5,.400,1,1,1.000,1,0,1,0,0,0,0,1,13,-9,13:24,.568,.545,.455,.091,8.3,0.0,5.3,0.0,0.0,0.0,0.0,35.9,118,134
9,Bol Bol,Denver Nuggets,12:23,0,3,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,1,0,-5,12:23,.000,.000,.667,.000,0.0,15.5,5.7,0.0,0.0,0.0,0.0,10.2,0,134
10,JaVale McGee,Denver Nuggets,11:04,2,4,.500,0,0,0,0,0,0,1,3,4,0,0,0,3,4,4,-7,11:04,.500,.500,.000,.000,10.1,52.0,25.5,0.0,0.0,0.0,42.9,26.6,61,132
