,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Darius Bazley,Oklahoma City Thunder,30:13,6,13,.462,2,3,.667,4,5,.800,2,5,7,2,0,0,3,0,18,-21,30:13,.592,.538,.231,.385,6.1,21.5,12.5,13.0,0.0,0.0,16.5,25.4,103,131
1,Aleksej Pokusevski,Oklahoma City Thunder,26:11,5,11,.455,2,7,.286,1,2,.500,0,2,2,5,0,0,3,1,13,-12,26:11,.547,.545,.636,.182,0.0,9.9,4.1,36.9,0.0,0.0,20.2,24.0,95,133
2,Moses Brown,Oklahoma City Thunder,25:57,3,4,.750,0,0,0,6,7,.857,3,5,8,0,2,3,0,4,12,-27,25:57,.847,.750,.000,1.750,10.7,25.0,16.6,0.0,3.7,11.3,0.0,11.5,183,113
3,Théo Maledon,Oklahoma City Thunder,24:40,5,15,.333,2,7,.286,1,4,.250,0,2,2,2,0,0,1,1,13,-27,24:40,.388,.400,.467,.267,0.0,10.5,4.4,16.0,0.0,0.0,5.6,30.4,77,133
4,Isaiah Roby,Oklahoma City Thunder,23:30,2,6,.333,1,3,.333,0,0,0,0,4,4,2,1,0,4,2,5,-7,23:30,.417,.417,.500,.000,0.0,22.1,9.2,13.7,2.0,0.0,40.0,18.0,54,126
6,Gabriel Deck,Oklahoma City Thunder,31:26,1,8,.125,0,4,.000,3,4,.750,3,3,6,4,1,0,0,1,5,-12,31:26,.256,.125,.500,.500,8.8,12.4,10.3,18.8,1.5,0.0,0.0,13.1,89,129
7,Svi Mykhailiuk,Oklahoma City Thunder,24:11,5,15,.333,4,11,.364,0,0,0,1,2,3,3,2,0,1,2,14,-5,24:11,.467,.467,.733,.000,3.8,10.7,6.7,24.7,4.0,0.0,6.3,27.9,95,123
8,Jaylen Hoard,Oklahoma City Thunder,22:03,6,8,.750,0,0,0,4,5,.800,1,4,5,1,2,0,0,0,16,-1,22:03,.784,.750,.000,.625,4.2,23.5,12.2,10.4,4.4,0.0,0.0,19.5,161,120
9,Josh Hall,Oklahoma City Thunder,16:36,0,4,.000,0,1,.000,0,2,.000,0,0,0,2,1,0,2,5,0,-19,16:36,.000,.000,.250,.500,0.0,0.0,0.0,17.0,2.9,0.0,29.1,17.5,16,127
10,Charlie Brown Jr.,Oklahoma City Thunder,15:13,1,3,.333,0,1,.000,0,0,0,0,1,1,2,0,0,0,2,2,-9,15:13,.333,.333,.333,.000,0.0,8.5,3.5,20.5,0.0,0.0,0.0,8.3,94,133
