,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kenyon Martin Jr.,Houston Rockets,38:55,5,9,.556,3,3,1.000,2,2,1.000,2,7,9,4,2,1,1,2,15,-16,38:55,.759,.722,.333,.222,5.9,17.6,12.2,13.8,2.4,2.4,9.2,12.2,150,131
1,Jae'Sean Tate,Houston Rockets,30:53,3,11,.273,0,4,.000,6,6,1.000,3,4,7,8,0,0,2,4,12,-3,30:53,.440,.273,.364,.545,11.1,12.7,12.0,33.3,0.0,0.0,12.8,22.0,116,139
2,Kelly Olynyk,Houston Rockets,28:47,5,12,.417,1,2,.500,10,10,1.000,0,8,8,6,2,0,3,5,21,-12,28:47,.640,.458,.167,.833,0.0,27.2,14.7,29.7,3.3,0.0,15.5,29.3,124,128
3,D.J. Augustin,Houston Rockets,25:27,6,10,.600,4,6,.667,5,6,.833,0,2,2,2,0,0,2,2,21,-5,25:27,.831,.800,.600,.600,0.0,7.7,4.1,12.3,0.0,0.0,13.7,25.0,136,141
4,Danuel House Jr.,Houston Rockets,13:22,3,6,.500,0,2,.000,0,0,0,0,3,3,0,0,0,2,0,6,-1,13:22,.500,.500,.333,.000,0.0,22.0,11.8,0.0,0.0,0.0,25.0,26.0,66,137
6,Khyri Thomas,Houston Rockets,29:10,6,15,.400,2,7,.286,4,4,1.000,1,3,4,5,0,0,1,2,18,-8,29:10,.537,.467,.467,.267,3.9,10.1,7.2,25.6,0.0,0.0,5.6,26.5,118,140
7,Armoni Brooks,Houston Rockets,24:00,6,9,.667,6,9,.667,0,0,0,0,3,3,1,0,1,1,2,18,+1,24:00,1.000,1.000,1.000,.000,0.0,12.2,6.6,6.7,0.0,3.8,10.0,18.1,148,137
8,Cameron Oliver,Houston Rockets,19:13,6,10,.600,1,3,.333,0,0,0,1,2,3,2,1,0,0,3,13,+1,19:13,.650,.650,.300,.000,5.9,10.2,8.2,18.5,2.4,0.0,0.0,22.6,135,134
9,DaQuan Jeffries,Houston Rockets,19:09,1,2,.500,0,1,.000,0,0,0,0,2,2,1,0,0,1,6,2,-16,19:09,.500,.500,.500,.000,0.0,10.2,5.5,6.3,0.0,0.0,33.3,6.8,78,140
10,Anthony Lamb,Houston Rockets,11:04,1,1,1.000,1,1,1.000,0,0,0,0,3,3,1,0,0,0,0,3,+4,11:04,1.500,1.500,1.000,.000,0.0,26.6,14.3,11.5,0.0,0.0,0.0,3.9,277,136
11,Kevin Porter Jr.,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Christian Wood,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Houston Rockets,240,42,85,.494,18,38,.474,27,28,.964,7,37,44,30,5,2,13,26,129,0,240,.663,.600,.447,.329,16.7,75.5,48.4,71.4,4.9,3.8,11.8,100.0,126.0,136.8
0,Damian Lillard,Portland Trail Blazers,35:35,11,20,.550,6,11,.545,6,6,1.000,2,7,9,6,0,0,2,1,34,+19,35:35,.751,.700,.550,.300,5.5,22.5,13.3,25.2,0.0,0.0,8.1,28.6,148,130
