,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Edwards,Minnesota Timberwolves,34:05,7,16,.438,2,6,.333,6,9,.667,1,1,2,2,2,0,4,3,22,+30,34:05,.551,.500,.375,.563,2.8,3.6,3.1,8.0,2.6,0.0,16.7,27.6,96,98
1,Karl-Anthony Towns,Minnesota Timberwolves,33:55,10,19,.526,4,11,.364,4,5,.800,3,5,8,5,3,0,2,3,28,+32,33:55,.660,.632,.579,.263,8.3,18.1,12.6,22.9,3.9,0.0,8.6,26.9,129,93
2,Ricky Rubio,Minnesota Timberwolves,30:05,8,14,.571,3,8,.375,0,0,0,1,2,3,5,2,1,2,4,19,+30,30:05,.679,.679,.571,.000,3.1,8.2,5.3,24.7,3.0,3.1,12.5,20.9,124,94
3,D'Angelo Russell,Minnesota Timberwolves,29:37,5,18,.278,3,10,.300,2,2,1.000,0,5,5,10,3,1,2,1,15,+10,29:37,.397,.361,.556,.111,0.0,20.8,9.0,43.9,4.5,3.1,9.6,27.7,97,89
4,Jarred Vanderbilt,Minnesota Timberwolves,20:35,3,4,.750,0,0,0,1,1,1.000,3,5,8,1,0,0,0,1,7,+23,20:35,.788,.750,.000,.250,13.7,29.9,20.7,6.1,0.0,0.0,0.0,8.5,177,100
6,Jaden McDaniels,Minnesota Timberwolves,26:25,0,2,.000,0,2,.000,1,2,.500,0,5,5,1,2,3,1,1,1,+4,26:25,.174,.000,1.000,1.000,0.0,23.3,10.1,4.0,3.4,10.5,25.8,5.8,43,86
7,Jordan McLaughlin,Minnesota Timberwolves,17:55,3,9,.333,1,6,.167,0,0,0,1,2,3,2,2,0,2,2,7,-11,17:55,.389,.389,.667,.000,5.3,13.7,8.9,14.5,5.0,0.0,18.2,24.1,77,91
8,Juancho Hernangómez,Minnesota Timberwolves,14:12,1,2,.500,0,1,.000,0,0,0,0,5,5,3,1,0,1,3,2,+6,14:12,.500,.500,.500,.000,0.0,43.3,18.8,24.4,3.1,0.0,33.3,8.3,101,91
9,Josh Okogie,Minnesota Timberwolves,14:06,1,2,.500,0,0,0,0,0,0,1,1,2,0,1,1,0,3,2,-6,14:06,.500,.500,.000,.000,6.7,8.7,7.6,0.0,3.2,6.5,0.0,5.6,121,91
10,Naz Reid,Minnesota Timberwolves,14:05,6,9,.667,0,1,.000,1,2,.500,1,2,3,1,0,1,1,0,13,-13,14:05,.658,.667,.111,.222,6.7,17.5,11.4,13.9,0.0,6.6,9.2,30.3,117,97
11,Jaylen Nowell,Minnesota Timberwolves,2:30,1,3,.333,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,3,-5,2:30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.9,0,0.0,0,76
12,Jake Layman,Minnesota Timberwolves,2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-5,2:30,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,94,104
13,Ed Davis,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Minnesota Timberwolves,240,45,98,.459,14,48,.292,15,21,.714,11,33,44,30,16,8,15,22,119,0,240,.555,.531,.490,.214,21.6,84.6,48.9,66.7,14.8,15.4,12.3,100.0,110.2,92.6
0,Killian Hayes,Detroit Pistons,35:53,5,13,.385,1,3,.333,2,2,1.000,0,6,6,7,0,0,3,3,13,-15,35:53,.468,.423,.231,.154,0.0,15.7,8.9,33.1,0.0,0.0,17.8,19.7,95,115
1,Saddiq Bey,Detroit Pistons,35:49,8,16,.500,5,8,.625,0,1,.000,0,4,4,2,0,1,4,3,21,-19,35:49,.639,.656,.500,.063,0.0,10.5,6.0,11.0,0.0,2.7,19.6,23.9,96,114
2,Isaiah Stewart,Detroit Pistons,32:35,5,12,.417,1,4,.250,0,0,0,2,6,8,2,2,0,2,3,11,-15,32:35,.458,.458,.333,.000,7.6,17.3,13.1,10.7,2.7,0.0,14.3,18.0,89,108
