,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Russell Westbrook,Washington Wizards,39:48,12,28,.429,4,9,.444,6,8,.750,1,4,5,15,3,0,4,3,34,-4,39:48,.539,.500,.321,.286,2.3,12.1,6.5,59.3,3.5,0.0,11.3,36.8,111,113
1,Rui Hachimura,Washington Wizards,30:23,5,11,.455,1,2,.500,0,0,0,2,4,6,3,0,0,0,2,11,-2,30:23,.500,.500,.182,.000,6.0,15.8,10.2,12.8,0.0,0.0,0.0,14.9,115,120
2,Raul Neto,Washington Wizards,28:50,5,10,.500,0,2,.000,4,4,1.000,1,2,3,2,0,0,0,5,14,-3,28:50,.595,.500,.200,.400,3.1,8.3,5.4,9.1,0.0,0.0,0.0,16.8,130,121
3,Alex Len,Washington Wizards,23:56,2,6,.333,0,0,0,2,2,1.000,3,7,10,2,2,1,0,2,6,0,23:56,.436,.333,.000,.333,11.4,35.1,21.6,9.8,3.8,3.8,0.0,11.9,120,106
4,Garrison Mathews,Washington Wizards,18:03,1,4,.250,1,4,.250,0,0,0,0,0,0,0,1,0,0,2,3,+4,18:03,.375,.375,1.000,.000,0.0,0.0,0.0,0.0,2.5,0.0,0.0,9.1,75,116
6,Dāvis Bertāns,Washington Wizards,31:22,5,12,.417,4,10,.400,0,0,0,0,4,4,0,2,0,2,1,14,+4,31:22,.583,.583,.833,.000,0.0,15.3,6.6,0.0,2.9,0.0,14.3,18.4,90,114
7,Ish Smith,Washington Wizards,27:52,3,9,.333,0,1,.000,0,0,0,0,5,5,6,1,0,0,1,6,-12,27:52,.333,.333,.111,.000,0.0,21.5,9.3,25.9,1.7,0.0,0.0,13.3,94,116
8,Daniel Gafford,Washington Wizards,16:47,8,11,.727,0,0,0,0,0,0,2,2,4,1,1,0,0,0,16,-3,16:47,.727,.727,.000,.000,10.8,14.3,12.3,12.9,2.7,0.0,0.0,27.0,144,114
9,Chandler Hutchison,Washington Wizards,15:42,2,5,.400,0,1,.000,4,5,.800,0,5,5,0,0,0,0,4,8,-3,15:42,.556,.400,.200,1.000,0.0,38.2,16.4,0.0,0.0,0.0,0.0,18.9,117,116
10,Robin Lopez,Washington Wizards,7:17,2,5,.400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-1,7:17,.400,.400,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,34.0,62,122
11,Cassius Winston,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Anthony Gill,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Isaac Bonga,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Washington Wizards,240,45,101,.446,10,29,.345,16,19,.842,9,33,42,29,10,1,7,20,116,0,240,.530,.495,.287,.188,17.0,82.5,45.2,64.4,9.6,1.9,6.0,100.0,111.1,115.0
0,Bogdan Bogdanović,Atlanta Hawks,40:08,8,15,.533,4,10,.400,0,0,0,0,2,2,3,3,1,1,4,20,+12,40:08,.667,.667,.667,.000,0.0,4.5,2.6,10.4,3.4,1.7,6.3,17.0,127,108
1,Trae Young,Atlanta Hawks,36:45,12,25,.480,2,8,.250,7,7,1.000,0,8,8,9,0,0,5,2,33,+2,36:45,.588,.520,.320,.280,0.0,19.7,11.2,41.5,0.0,0.0,15.1,38.5,112,113
2,John Collins,Atlanta Hawks,34:20,5,12,.417,2,5,.400,6,8,.750,0,6,6,1,0,2,3,3,18,-3,34:20,.580,.500,.417,.667,0.0,15.8,9.0,3.8,0.0,3.9,16.2,23.1,100,110
3,Clint Capela,Atlanta Hawks,27:58,7,7,1.000,0,0,0,3,5,.600,1,10,11,0,0,2,2,1,17,+10,27:58,.924,1.000,.000,.714,4.3,32.4,20.3,0.0,0.0,4.8,17.9,17.1,145,106
4,Kevin Huerter,Atlanta Hawks,21:07,2,6,.333,1,5,.200,1,2,.500,1,5,6,3,0,0,2,4,6,+9,21:07,.436,.417,.833,.333,5.7,21.4,14.7,17.3,0.0,0.0,22.5,18.0,89,113
6,Tony Snell,Atlanta Hawks,23:29,2,2,1.000,1,1,1.000,0,0,0,2,3,5,0,0,0,0,1,5,-13,23:29,1.250,1.250,.500,.000,10.2,11.6,11.0,0.0,0.0,0.0,0.0,3.6,238,115
7,Danilo Gallinari,Atlanta Hawks,23:00,2,5,.400,0,2,.000,0,0,0,0,5,5,1,1,0,0,3,4,0,23:00,.400,.400,.400,.000,0.0,19.7,11.2,5.2,2.0,0.0,0.0,9.3,91,109
8,Lou Williams,Atlanta Hawks,13:03,1,5,.200,0,0,0,2,2,1.000,0,2,2,5,0,0,1,2,4,+2,13:03,.340,.200,.000,.400,0.0,13.9,7.9,45.6,0.0,0.0,14.5,22.5,94,115
9,Onyeka Okongwu,Atlanta Hawks,10:42,5,7,.714,0,0,0,1,2,.500,3,1,4,0,0,0,0,0,11,+1,10:42,.698,.714,.000,.286,33.6,8.5,19.3,0.0,0.0,0.0,0.0,31.5,147,116
10,Solomon Hill,Atlanta Hawks,9:28,0,2,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,1,2,0,9:28,.347,.000,1.000,1.000,0.0,19.1,10.9,0.0,0.0,0.0,0.0,13.0,80,114
11,Brandon Goodwin,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Skylar Mays,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bruno Fernando,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nathan Knight,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Kris Dunn,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Atlanta Hawks,240,44,86,.512,10,33,.303,22,28,.786,7,44,51,22,4,5,14,21,120,0,240,.610,.570,.384,.326,17.5,83.0,54.8,50.0,3.8,6.9,12.5,100.0,115.0,111.1
