,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,DeMar DeRozan,San Antonio Spurs,37:32,10,18,.556,0,0,0,7,9,.778,0,8,8,4,1,0,3,2,27,+6,37:32,.615,.556,.000,.500,0.0,21.3,10.8,20.3,1.4,0.0,12.0,29.5,112,108
1,Dejounte Murray,San Antonio Spurs,34:30,7,18,.389,0,1,.000,0,1,.000,1,8,9,7,1,1,0,2,14,-3,34:30,.380,.389,.056,.056,3.0,23.2,13.2,34.5,1.5,2.7,0.0,23.7,94,105
2,Jakob Poeltl,San Antonio Spurs,34:17,4,7,.571,0,0,0,0,0,0,2,7,9,2,1,3,0,4,8,0,34:17,.571,.571,.000,.000,6.0,20.4,13.3,8.6,1.5,8.2,0.0,9.0,130,101
3,Keldon Johnson,San Antonio Spurs,30:45,5,11,.455,2,4,.500,1,1,1.000,0,2,2,2,1,0,2,3,13,+9,30:45,.568,.545,.364,.091,0.0,6.5,3.3,10.3,1.7,0.0,14.9,19.4,98,112
4,Lonnie Walker IV,San Antonio Spurs,29:21,5,13,.385,2,6,.333,0,0,0,1,3,4,2,0,0,0,0,12,+13,29:21,.462,.462,.462,.000,3.5,10.2,6.9,11.0,0.0,0.0,0.0,19.6,101,115
6,Patty Mills,San Antonio Spurs,27:40,1,5,.200,1,4,.250,3,3,1.000,0,0,0,3,0,0,2,1,6,-22,27:40,.475,.300,.800,.600,0.0,0.0,0.0,14.4,0.0,0.0,24.0,13.3,87,118
7,Rudy Gay,San Antonio Spurs,19:07,2,10,.200,1,5,.200,3,3,1.000,0,3,3,1,0,0,0,1,8,-14,19:07,.353,.250,.500,.300,0.0,15.7,7.9,7.6,0.0,0.0,0.0,26.2,81,113
8,Drew Eubanks,San Antonio Spurs,13:27,3,7,.429,0,0,0,2,2,1.000,5,4,9,1,0,2,2,3,8,-1,13:27,.508,.429,.000,.286,38.0,29.7,33.8,13.1,0.0,14.0,20.2,32.5,104,97
9,Devin Vassell,San Antonio Spurs,13:21,1,2,.500,0,1,.000,0,0,0,0,3,3,0,0,0,0,0,2,-8,13:21,.500,.500,.500,.000,0.0,22.5,11.4,0.0,0.0,0.0,0.0,6.6,99,111
10,Quinndary Weatherspoon,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Keita Bates-Diop,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tre Jones,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Gorgui Dieng,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,San Antonio Spurs,240,38,91,.418,6,21,.286,16,19,.842,9,38,47,22,4,6,9,16,98,0,240,.493,.451,.231,.209,19.1,79.2,49.5,57.9,4.2,11.8,8.3,100.0,103.9,108.2
0,Julius Randle,New York Knicks,44:53,7,21,.333,1,5,.200,10,10,1.000,0,9,9,9,1,0,3,3,25,+1,44:53,.492,.357,.238,.476,0.0,20.5,10.1,35.0,1.1,0.0,10.6,29.2,107,106
1,RJ Barrett,New York Knicks,40:54,8,19,.421,5,9,.556,3,3,1.000,1,8,9,5,1,0,2,1,24,+5,40:54,.591,.553,.474,.158,2.4,20.0,11.1,22.9,1.2,0.0,9.0,25.2,116,106
