,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Markus Howard,Denver Nuggets,33:54,9,14,.643,2,6,.333,0,0,0,0,3,3,2,0,1,4,1,20,+8,33:54,.714,.714,.429,.000,0.0,8.7,4.7,9.7,0.0,3.1,22.2,24.7,101,103
1,Vlatko Čančar,Denver Nuggets,31:36,5,9,.556,0,1,.000,1,1,1.000,2,2,4,0,2,0,1,0,11,+11,31:36,.583,.556,.111,.111,7.4,6.2,6.8,0.0,3.3,0.0,9.6,15.4,111,99
2,Nikola Jokić,Denver Nuggets,26:28,7,11,.636,0,0,0,6,7,.857,3,12,15,11,0,0,1,2,20,+18,26:28,.710,.636,.000,.636,13.3,44.4,30.2,68.1,0.0,0.0,6.6,26.5,157,95
3,Michael Porter Jr.,Denver Nuggets,23:24,3,11,.273,1,7,.143,2,2,1.000,1,5,6,3,1,0,1,1,9,+9,23:24,.379,.318,.636,.182,5.0,20.9,13.7,17.2,2.2,0.0,7.8,25.6,89,97
4,Austin Rivers,Denver Nuggets,23:24,3,7,.429,2,5,.400,0,0,0,1,1,2,3,0,0,2,2,8,+9,23:24,.571,.571,.714,.000,5.0,4.2,4.6,17.2,0.0,0.0,22.2,17.9,100,106
6,JaMychal Green,Denver Nuggets,22:14,3,8,.375,1,5,.200,0,2,.000,1,4,5,3,0,1,0,4,7,+4,22:14,.394,.438,.625,.250,5.3,17.6,12.0,18.2,0.0,4.7,0.0,18.6,99,99
7,Shaquille Harrison,Denver Nuggets,21:12,0,4,.000,0,2,.000,0,0,0,1,5,6,1,0,0,1,2,0,-1,21:12,.000,.000,.500,.000,5.5,23.1,15.1,5.4,0.0,0.0,20.0,11.0,29,101
8,Zeke Nnaji,Denver Nuggets,20:35,3,7,.429,2,4,.500,0,0,0,0,2,2,2,2,0,0,0,8,0,20:35,.571,.571,.571,.000,0.0,9.5,5.2,13.3,5.1,0.0,0.0,15.8,122,94
9,Monte Morris,Denver Nuggets,17:30,6,10,.600,1,1,1.000,2,2,1.000,0,0,0,3,1,0,1,0,15,+10,17:30,.689,.650,.100,.200,0.0,0.0,0.0,32.2,3.0,0.0,8.4,31.6,129,101
10,JaVale McGee,Denver Nuggets,15:38,3,5,.600,0,1,.000,0,0,0,0,5,5,1,0,1,0,5,6,-3,15:38,.600,.600,.200,.000,0.0,31.3,17.1,9.4,0.0,6.7,0.0,14.9,124,93
