,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,28:18,6,9,.667,3,5,.600,0,0,0,1,3,4,1,0,0,3,1,15,-14,28:18,.833,.833,.556,.000,4.5,13.4,8.9,5.0,0.0,0.0,25.0,17.6,112,143
1,Dwight Powell,Dallas Mavericks,27:37,2,3,.667,0,0,0,2,2,1.000,3,4,7,8,0,2,1,5,6,-12,27:37,.773,.667,.000,.667,13.7,18.3,16.0,34.3,0.0,7.0,20.5,7.3,173,137
2,Kristaps Porziņģis,Dallas Mavericks,25:35,6,10,.600,4,5,.800,2,2,1.000,0,4,4,1,0,1,0,2,18,-14,25:35,.827,.800,.500,.200,0.0,19.7,9.9,5.7,0.0,3.8,0.0,17.6,165,139
3,Tim Hardaway Jr.,Dallas Mavericks,24:21,5,7,.714,2,3,.667,3,3,1.000,0,0,0,4,0,1,1,1,15,-20,24:21,.901,.857,.429,.429,0.0,0.0,0.0,23.1,0.0,3.9,10.7,15.9,167,144
4,Luka Dončić,Dallas Mavericks,20:44,6,13,.462,2,7,.286,4,5,.800,0,6,6,6,2,0,4,1,18,-15,20:44,.592,.538,.538,.385,0.0,36.6,18.3,46.1,4.7,0.0,20.8,38.4,109,126
6,Jalen Brunson,Dallas Mavericks,26:38,6,12,.500,2,4,.500,1,1,1.000,0,0,0,3,1,0,2,2,15,0,26:38,.603,.583,.333,.083,0.0,0.0,0.0,16.3,1.8,0.0,13.9,22.5,111,142
7,Josh Richardson,Dallas Mavericks,22:26,5,14,.357,1,4,.250,0,0,0,2,3,5,4,0,0,2,1,11,-2,22:26,.393,.393,.286,.000,11.3,16.9,14.1,25.7,0.0,0.0,12.5,29.6,93,142
8,Josh Green,Dallas Mavericks,16:57,4,8,.500,0,2,.000,0,1,.000,1,1,2,1,1,0,0,1,8,+2,16:57,.474,.500,.250,.125,7.5,7.5,7.5,8.7,2.9,0.0,0.0,20.6,108,137
9,Nicolò Melli,Dallas Mavericks,15:01,3,6,.500,2,5,.400,2,2,1.000,2,3,5,2,1,0,0,0,10,+2,15:01,.727,.667,.833,.333,16.8,25.2,21.0,18.6,3.2,0.0,0.0,19.0,167,133
10,Trey Burke,Dallas Mavericks,10:03,1,4,.250,0,2,.000,0,0,0,0,1,1,1,0,0,0,0,2,+1,10:03,.250,.250,.500,.000,0.0,12.6,6.3,12.2,0.0,0.0,0.0,16.5,74,143
11,Willie Cauley-Stein,Dallas Mavericks,9:23,0,1,.000,0,0,0,0,0,0,1,1,2,0,0,1,1,4,0,0,9:23,.000,.000,.000,.000,13.5,13.5,13.5,0.0,0.0,10.2,50.0,8.8,35,136
12,Boban Marjanović,Dallas Mavericks,4:19,0,0,0,0,0,0,3,4,.750,0,0,0,1,0,0,1,0,3,-1,4:19,.000,.000,.000,.000,29.3,29.3,29.3,0.0,0.0,0.0,33.3,28.8,26,139
13,Tyler Bey,Dallas Mavericks,4:19,0,2,.000,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,-1,4:19,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0,146
14,Nate Hinton,Dallas Mavericks,4:19,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,-1,4:19,.852,0,0,0,0.0,0.0,0.0,25.3,0.0,0.0,36.2,26.5,124,146
15,Maxi Kleber,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Dallas Mavericks,240,44,91,.484,16,38,.421,17,20,.850,11,27,38,32,5,5,16,19,121,0,240,.606,.571,.418,.220,28.9,71.1,50.0,72.7,5.1,10.0,13.8,100.0,123.0,138.3
0,Anthony Edwards,Minnesota Timberwolves,38:13,10,21,.476,5,9,.556,5,5,1.000,0,0,0,4,0,2,1,1,30,+9,38:13,.647,.595,.429,.238,0.0,0.0,0.0,13.8,0.0,4.7,4.1,27.6,135,130
1,D'Angelo Russell,Minnesota Timberwolves,35:41,8,19,.421,3,9,.333,4,5,.800,0,3,3,10,3,0,2,0,23,+13,35:41,.542,.500,.474,.263,0.0,10.6,5.3,35.2,4.1,0.0,8.6,28.4,125,121
2,Jaden McDaniels,Minnesota Timberwolves,32:24,8,13,.615,3,7,.429,0,0,0,2,1,3,2,0,1,2,4,19,+15,32:24,.731,.731,.538,.000,7.8,3.9,5.8,8.0,0.0,2.8,13.3,20.2,130,130
3,Karl-Anthony Towns,Minnesota Timberwolves,31:11,6,12,.500,1,4,.250,10,11,.909,2,7,9,5,2,0,1,6,23,+14,31:11,.683,.542,.333,.917,8.1,28.4,18.2,19.4,3.1,0.0,5.6,25.0,153,118
4,Jarred Vanderbilt,Minnesota Timberwolves,23:45,3,6,.500,0,1,.000,1,2,.500,5,7,12,1,3,0,0,1,7,+9,23:45,.509,.500,.167,.333,26.6,37.2,31.9,4.7,6.2,0.0,0.0,12.6,146,109
6,Josh Okogie,Minnesota Timberwolves,20:36,2,4,.500,1,3,.333,1,2,.500,1,1,2,1,2,1,1,2,6,+1,20:36,.615,.625,.750,.500,6.1,6.1,6.1,5.3,4.7,4.4,17.0,12.5,116,118
7,Ricky Rubio,Minnesota Timberwolves,20:11,1,3,.333,0,2,.000,0,0,0,0,3,3,7,0,0,1,1,2,+8,20:11,.333,.333,.667,.000,0.0,18.8,9.4,35.7,0.0,0.0,25.0,8.6,125,128
8,Naz Reid,Minnesota Timberwolves,16:49,7,7,1.000,3,3,1.000,0,0,0,1,4,5,0,0,0,0,3,17,+1,16:49,1.214,1.214,.429,.000,7.5,30.0,18.8,0.0,0.0,0.0,0.0,18.2,241,125
9,Juancho Hernangómez,Minnesota Timberwolves,10:39,1,2,.500,0,1,.000,0,0,0,0,1,1,2,0,0,1,3,2,+7,10:39,.500,.500,.500,.000,0.0,11.9,5.9,20.3,0.0,0.0,33.3,12.3,97,130
