,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devin Booker,Phoenix Suns,41:21,6,19,.316,1,4,.250,6,7,.857,1,3,4,6,0,0,4,6,19,-7,41:21,.430,.342,.211,.368,2.6,8.3,5.4,24.8,0.0,0.0,15.3,28.3,87,117
1,Deandre Ayton,Phoenix Suns,41:11,11,15,.733,0,0,0,0,1,.000,4,7,11,0,1,2,4,4,22,-14,41:11,.712,.733,.000,.067,10.6,19.4,14.9,0.0,1.2,4.0,20.6,21.2,107,109
2,Mikal Bridges,Phoenix Suns,34:04,2,5,.400,2,4,.500,0,0,0,0,3,3,1,0,1,0,1,6,-3,34:04,.600,.600,.800,.000,0.0,10.1,4.9,4.4,0.0,2.4,0.0,6.6,120,115
3,Jae Crowder,Phoenix Suns,31:04,2,9,.222,1,7,.143,4,5,.800,1,2,3,2,2,2,1,5,9,-6,31:04,.402,.278,.778,.556,3.5,7.4,5.4,9.7,3.1,5.3,8.2,17.6,89,108
4,Chris Paul,Phoenix Suns,27:22,3,8,.375,0,0,0,1,2,.500,0,5,5,6,1,0,2,2,7,-20,27:22,.394,.375,.000,.250,0.0,20.9,10.2,35.4,1.8,0.0,18.4,17.8,87,109
6,Cameron Payne,Phoenix Suns,26:42,6,11,.545,3,5,.600,0,0,0,1,2,3,6,4,0,4,1,15,0,26:42,.682,.682,.455,.000,4.1,8.6,6.3,44.5,7.3,0.0,26.7,25.2,106,101
7,Cameron Johnson,Phoenix Suns,16:56,1,6,.167,1,4,.250,3,3,1.000,0,2,2,1,0,0,1,1,6,-8,16:56,.410,.250,.667,.500,0.0,13.5,6.6,8.8,0.0,0.0,12.0,22.1,82,115
8,Torrey Craig,Phoenix Suns,14:31,4,7,.571,3,5,.600,0,0,0,1,3,4,1,0,0,0,2,11,-12,14:31,.786,.786,.714,.000,7.5,23.6,15.4,15.2,0.0,0.0,0.0,21.6,147,111
9,Frank Kaminsky,Phoenix Suns,6:49,0,2,.000,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,6:49,.000,.000,.000,.000,0.0,0.0,0.0,20.1,0.0,12.1,33.3,19.8,19,115
10,Ty-Shon Alexander,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
