,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Derrick Rose,New York Knicks,38:54,13,21,.619,3,5,.600,1,1,1.000,2,4,6,5,1,0,2,2,30,-16,38:54,.700,.690,.238,.048,4.8,13.7,8.5,47.6,1.4,0.0,8.5,27.5,136,118
1,Reggie Bullock,New York Knicks,38:25,3,8,.375,2,6,.333,3,3,1.000,3,2,5,1,1,0,1,3,11,-6,38:25,.590,.500,.750,.375,7.3,6.9,7.2,4.9,1.4,0.0,9.7,12.3,125,118
2,Julius Randle,New York Knicks,35:03,2,15,.133,2,7,.286,8,8,1.000,2,9,11,2,0,0,3,5,14,-9,35:03,.378,.200,.467,.533,5.4,34.2,17.3,10.4,0.0,0.0,13.9,28.0,82,119
3,RJ Barrett,New York Knicks,28:55,2,9,.222,1,5,.200,2,2,1.000,1,3,4,3,1,1,1,2,7,-9,28:55,.354,.278,.556,.222,3.3,13.8,7.6,19.4,1.8,3.1,9.2,17.2,86,113
4,Taj Gibson,New York Knicks,26:20,2,6,.333,0,0,0,0,0,0,1,5,6,0,0,1,0,3,4,-8,26:20,.333,.333,.000,.000,3.6,25.3,12.6,0.0,0.0,3.4,0.0,10.4,81,116
6,Alec Burks,New York Knicks,22:48,2,8,.250,1,5,.200,3,3,1.000,0,2,2,2,0,0,2,0,8,+3,22:48,.429,.313,.625,.375,0.0,11.7,4.8,17.0,0.0,0.0,17.7,22.7,83,121
7,Nerlens Noel,New York Knicks,21:40,1,2,.500,0,0,0,10,12,.833,3,5,8,1,3,0,2,3,12,-3,21:40,.824,.500,.000,6.000,13.0,30.8,20.4,8.3,7.4,0.0,21.6,19.5,146,102
8,Immanuel Quickley,New York Knicks,14:56,2,8,.250,0,1,.000,0,1,.000,0,0,0,0,0,0,0,2,4,-3,14:56,.237,.250,.125,.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,53,122
9,Obi Toppin,New York Knicks,12:57,2,4,.500,0,1,.000,0,0,0,1,2,3,0,0,0,0,1,4,-2,12:57,.500,.500,.250,.000,7.3,20.6,12.8,0.0,0.0,0.0,0.0,14.1,113,120
10,Frank Ntilikina,New York Knicks,0:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0:02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,122
