,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Facundo Campazzo,Denver Nuggets,26:53,3,10,.300,2,7,.286,4,5,.800,0,2,2,7,2,0,0,4,12,-20,26:53,.492,.400,.700,.500,0.0,9.7,3.9,46.9,3.8,0.0,0.0,19.7,126,119
1,Nikola Jokić,Denver Nuggets,26:41,7,18,.389,1,4,.250,1,2,.500,3,6,9,1,0,0,2,3,16,-32,26:41,.424,.417,.222,.111,10.0,29.2,17.8,9.3,0.0,0.0,9.6,33.9,86,125
2,Austin Rivers,Denver Nuggets,24:20,2,5,.400,2,3,.667,2,2,1.000,0,2,2,0,1,0,1,2,8,-28,24:20,.680,.600,.600,.400,0.0,10.7,4.3,0.0,2.1,0.0,14.5,12.3,116,123
3,Michael Porter Jr.,Denver Nuggets,22:54,1,3,.333,1,3,.333,0,0,0,1,4,5,0,0,0,2,2,3,-17,22:54,.500,.500,1.000,.000,3.9,22.7,11.5,0.0,0.0,0.0,40.0,9.5,64,126
4,Aaron Gordon,Denver Nuggets,18:15,2,7,.286,0,2,.000,2,2,1.000,2,2,4,0,0,0,0,1,6,-30,18:15,.381,.286,.286,.286,9.7,14.2,11.6,0.0,0.0,0.0,0.0,18.7,96,127
6,Markus Howard,Denver Nuggets,26:46,3,14,.214,3,10,.300,0,0,0,1,2,3,1,0,0,0,1,9,+2,26:46,.321,.321,.714,.000,3.3,9.7,5.9,6.7,0.0,0.0,0.0,22.7,77,127
7,Monte Morris,Denver Nuggets,25:18,5,12,.417,2,4,.500,0,0,0,1,2,3,4,1,0,0,0,12,+6,25:18,.500,.500,.333,.000,3.5,10.3,6.3,33.7,2.0,0.0,0.0,20.6,118,123
8,JaMychal Green,Denver Nuggets,21:24,4,10,.400,1,4,.250,2,2,1.000,2,3,5,2,0,1,0,3,11,+6,21:24,.506,.450,.400,.200,8.3,18.2,12.3,19.5,0.0,4.4,0.0,22.0,120,122
9,Paul Millsap,Denver Nuggets,14:05,3,7,.429,0,3,.000,3,4,.750,3,3,6,2,0,1,0,0,9,+9,14:05,.514,.429,.429,.571,18.9,27.6,22.5,31.3,0.0,6.7,0.0,27.0,129,120
10,Shaquille Harrison,Denver Nuggets,12:37,1,2,.500,1,1,1.000,0,0,0,0,1,1,0,0,0,2,0,3,-6,12:37,.750,.750,.500,.000,0.0,10.3,4.2,0.0,0.0,0.0,50.0,13.7,60,128
11,Vlatko Čančar,Denver Nuggets,8:21,1,1,1.000,0,0,0,4,5,.800,0,1,1,1,0,1,0,0,6,+4,8:21,.938,1.000,.000,5.000,0.0,15.5,6.3,21.9,0.0,11.3,0.0,16.6,202,116
12,JaVale McGee,Denver Nuggets,7:14,0,3,.000,0,1,.000,0,0,0,0,4,4,0,1,2,0,2,0,+3,7:14,.000,.000,.333,.000,0.0,71.7,29.2,0.0,7.1,26.0,0.0,18.0,0,81
13,Zeke Nnaji,Denver Nuggets,5:12,0,2,.000,0,2,.000,0,0,0,1,1,2,2,0,0,0,0,0,+3,5:12,.000,.000,1.000,.000,17.1,24.9,20.3,57.7,0.0,0.0,0.0,16.7,71,126
14,Bol Bol,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Denver Nuggets,240,32,94,.340,13,44,.295,18,22,.818,14,33,47,20,5,5,7,18,95,0,240,.458,.410,.468,.234,25.9,89.2,51.6,62.5,5.3,9.8,6.3,100.0,101.2,122.5
0,Robert Covington,Portland Trail Blazers,35:56,3,6,.500,2,5,.400,1,2,.500,0,9,9,1,1,1,0,5,9,+16,35:56,.654,.667,.833,.333,0.0,22.3,13.2,3.5,1.4,2.7,0.0,9.1,128,98
1,CJ McCollum,Portland Trail Blazers,34:41,9,19,.474,2,6,.333,1,1,1.000,0,4,4,8,0,0,2,2,21,+22,34:41,.540,.526,.316,.053,0.0,10.3,6.1,37.5,0.0,0.0,9.3,29.4,110,110
2,Norman Powell,Portland Trail Blazers,34:17,11,15,.733,4,4,1.000,3,3,1.000,0,2,2,1,1,2,1,1,29,+26,34:17,.888,.867,.267,.200,0.0,5.2,3.1,5.3,1.5,5.6,5.8,24.0,157,106
3,Damian Lillard,Portland Trail Blazers,31:01,1,10,.100,1,6,.167,7,7,1.000,0,8,8,10,1,0,1,2,10,+33,31:01,.382,.150,.600,.700,0.0,22.9,13.6,38.3,1.6,0.0,7.1,21.6,105,99
4,Jusuf Nurkić,Portland Trail Blazers,26:39,6,8,.750,0,1,.000,5,8,.625,0,6,6,1,1,2,1,3,17,+32,26:39,.738,.750,.125,1.000,0.0,20.0,11.9,5.8,1.9,7.2,8.0,22.3,135,96
6,Anfernee Simons,Portland Trail Blazers,22:19,2,5,.400,1,2,.500,0,0,0,1,2,3,1,1,0,0,2,5,-10,22:19,.500,.500,.400,.000,5.8,8.0,7.1,5.7,2.3,0.0,0.0,10.6,115,105
7,Carmelo Anthony,Portland Trail Blazers,21:43,5,11,.455,2,5,.400,0,0,0,0,3,3,1,0,0,0,1,12,-4,21:43,.545,.545,.455,.000,0.0,12.3,7.3,7.1,0.0,0.0,0.0,24.1,106,108
8,Rondae Hollis-Jefferson,Portland Trail Blazers,8:55,1,1,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,-5,8:55,1.000,1.000,.000,.000,14.5,10.0,11.8,0.0,0.0,0.0,0.0,5.3,210,109
9,Derrick Jones Jr.,Portland Trail Blazers,5:01,1,3,.333,0,2,.000,0,0,0,0,0,0,0,1,0,0,1,2,-3,5:01,.333,.333,.667,.000,0.0,0.0,0.0,0.0,10.2,0.0,0.0,28.4,65,91
10,Nassir Little,Portland Trail Blazers,5:01,0,2,.000,0,2,.000,2,4,.500,0,1,1,0,0,1,0,0,2,-3,5:01,.266,.000,1.000,2.000,0.0,17.7,10.5,0.0,0.0,19.1,0.0,35.6,58,95
11,CJ Elleby,Portland Trail Blazers,4:24,0,1,.000,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,-1,4:24,.000,.000,.000,.000,29.5,40.4,36.0,26.0,0.0,0.0,50.0,21.6,64,93
12,T.J. Leaf,Portland Trail Blazers,3:22,2,2,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4,-2,3:22,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,200,115
13,Keljin Blevins,Portland Trail Blazers,3:22,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-2,3:22,1.000,1.000,.000,.000,38.5,26.4,31.3,0.0,0.0,0.0,0.0,28.2,208,101
14,Enes Freedom,Portland Trail Blazers,3:19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,+1,3:19,0,0,0,0,0.0,26.8,15.9,0.0,0.0,28.9,0,0.0,0,85
15,Harry Giles,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Portland Trail Blazers,240,42,84,.500,12,33,.364,19,25,.760,4,40,44,24,6,7,6,21,115,0,240,.605,.571,.393,.298,10.8,74.1,48.4,57.1,6.4,14.0,5.9,100.0,122.5,101.2
