,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rui Hachimura,Washington Wizards,42:39,8,13,.615,1,3,.333,4,5,.800,1,5,6,2,0,0,0,3,21,-15,42:39,.691,.654,.231,.385,2.9,14.4,8.7,7.5,0.0,0.0,0.0,15.8,145,132
1,Bradley Beal,Washington Wizards,39:41,10,23,.435,2,7,.286,10,10,1.000,3,4,7,5,0,0,5,2,32,-14,39:41,.584,.478,.304,.435,9.3,12.4,10.9,22.5,0.0,0.0,15.4,36.1,110,133
2,Russell Westbrook,Washington Wizards,37:56,7,20,.350,2,5,.400,8,10,.800,2,6,8,10,0,0,4,4,24,-21,37:56,.492,.400,.250,.500,6.5,19.5,13.0,42.0,0.0,0.0,14.1,33.1,105,131
3,Raul Neto,Washington Wizards,29:36,3,6,.500,2,3,.667,0,0,0,0,0,0,3,1,0,0,4,8,-8,29:36,.667,.667,.500,.000,0.0,0.0,0.0,14.3,1.6,0.0,0.0,9.0,143,131
4,Daniel Gafford,Washington Wizards,28:44,3,4,.750,0,0,0,2,4,.500,1,6,7,0,2,2,2,5,8,-7,28:44,.694,.750,.000,1.000,4.3,25.7,15.0,0.0,3.3,5.9,25.8,11.9,102,118
6,Ish Smith,Washington Wizards,25:37,4,8,.500,1,2,.500,0,0,0,0,4,4,2,1,0,2,4,9,-14,25:37,.563,.563,.250,.000,0.0,19.2,9.6,11.9,1.9,0.0,20.0,17.3,93,127
7,Robin Lopez,Washington Wizards,17:10,3,4,.750,0,0,0,1,2,.500,0,2,2,0,0,1,0,1,7,-9,17:10,.717,.750,.000,.500,0.0,14.3,7.2,0.0,0.0,4.9,0.0,12.6,140,128
8,Anthony Gill,Washington Wizards,10:37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,0,-3,10:37,0,0,0,0,0.0,11.6,5.8,0.0,0.0,0.0,100.0,8.3,0,132
9,Garrison Mathews,Washington Wizards,3:00,0,0,0,0,0,0,1,2,.500,0,1,1,0,0,0,0,3,1,0,3:00,.568,0,0,0,0.0,41.0,20.5,0.0,0.0,0.0,0.0,13.0,123,125
10,Chandler Hutchison,Washington Wizards,1:40,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,+2,1:40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,135
11,Isaac Bonga,Washington Wizards,1:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,1:40,1.000,1.000,.000,.000,0.0,73.8,36.9,0.0,0.0,0.0,0.0,26.5,200,122
