,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kevin Durant,Brooklyn Nets,41:54,9,25,.360,1,8,.125,9,10,.900,0,13,13,5,1,1,5,3,28,-23,41:54,.476,.380,.320,.400,0.0,33.8,17.5,22.3,1.1,2.8,14.5,36.5,87,102
1,Joe Harris,Brooklyn Nets,38:04,3,8,.375,2,6,.333,0,0,0,0,4,4,1,0,0,2,1,8,-17,38:04,.500,.500,.750,.000,0.0,11.5,5.9,3.9,0.0,0.0,20.0,11.7,77,109
2,Blake Griffin,Brooklyn Nets,24:42,3,8,.375,1,4,.250,1,2,.500,1,4,5,3,1,0,0,1,8,-15,24:42,.450,.438,.500,.250,4.7,17.7,11.4,19.3,1.9,0.0,0.0,16.0,105,104
3,Bruce Brown,Brooklyn Nets,20:59,3,5,.600,0,1,.000,1,2,.500,0,1,1,2,1,0,1,2,7,+3,20:59,.595,.600,.200,.400,0.0,5.2,2.7,15.7,2.2,0.0,14.5,14.6,106,104
4,Kyrie Irving,Brooklyn Nets,17:17,5,11,.455,1,2,.500,0,0,0,0,5,5,2,1,1,2,1,11,-4,17:17,.500,.500,.182,.000,0.0,31.6,16.3,25.1,2.7,6.8,15.4,33.5,84,95
6,Jeff Green,Brooklyn Nets,26:33,2,4,.500,1,2,.500,3,4,.750,0,5,5,1,0,0,2,2,8,-4,26:33,.694,.625,.500,1.000,0.0,20.5,10.6,5.6,0.0,0.0,25.8,13.0,103,108
7,Mike James,Brooklyn Nets,19:59,2,6,.333,1,3,.333,0,0,0,0,3,3,1,1,0,2,1,5,-17,19:59,.417,.417,.500,.000,0.0,16.4,8.5,7.7,2.3,0.0,25.0,17.8,63,103
8,Nic Claxton,Brooklyn Nets,12:54,2,2,1.000,0,0,0,0,0,0,0,1,1,3,1,1,1,4,4,0,12:54,1.000,1.000,.000,.000,0.0,8.5,4.4,39.1,3.6,9.1,33.3,10.3,146,93
9,Landry Shamet,Brooklyn Nets,11:04,2,3,.667,1,2,.500,0,0,0,1,0,1,0,0,0,1,1,5,+1,11:04,.833,.833,.667,.000,10.6,0.0,5.1,0.0,0.0,0.0,25.0,16.1,116,110
10,Tyler Johnson,Brooklyn Nets,8:42,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,+5,8:42,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,94,109
11,Chris Chiozza,Brooklyn Nets,4:28,2,4,.500,1,2,.500,0,0,0,0,0,0,0,0,0,0,1,5,+4,4:28,.625,.625,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,106,109
12,Timothé Luwawu-Cabarrot,Brooklyn Nets,4:28,1,3,.333,1,3,.333,0,0,0,0,0,0,1,0,0,0,0,3,+4,4:28,0,0,0,0,26.2,73.3,50.6,0.0,0.0,0.0,100.0,10.0,59,102
13,Reggie Perry,Brooklyn Nets,4:28,1,2,.500,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,+4,4:28,.500,.500,1.000,.000,0.0,0.0,0.0,42.6,0.0,0.0,0.0,29.9,107,110
14,Alize Johnson,Brooklyn Nets,4:28,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,0,0,+4,4:28,.500,.500,.000,.000,0.0,24.4,12.6,42.6,10.4,0.0,0.0,19.9,113,84
15,DeAndre Jordan,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Brooklyn Nets,240,36,83,.434,10,33,.303,14,18,.778,3,40,43,20,7,3,17,20,96,0,240,.528,.494,.398,.217,7.3,90.9,50.6,55.6,6.8,7.3,15.8,100.0,92.9,103.5
