,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Paul George,Los Angeles Clippers,41:20,10,23,.435,1,8,.125,5,10,.500,0,6,6,6,0,0,3,2,26,0,41:20,.474,.457,.348,.435,0.0,17.9,8.9,28.6,0.0,0.0,9.9,35.8,97,118
1,Reggie Jackson,Los Angeles Clippers,38:40,7,15,.467,3,7,.429,2,2,1.000,0,5,5,3,2,1,2,0,19,0,38:40,.598,.567,.467,.133,0.0,15.9,8.0,13.6,2.8,2.2,11.2,22.5,111,111
2,Ivica Zubac,Los Angeles Clippers,34:24,4,5,.800,0,0,0,6,6,1.000,4,7,11,0,0,1,1,3,14,0,34:24,.916,.800,.000,1.200,14.3,25.0,19.7,0.0,0.0,2.5,11.6,12.2,176,115
3,Patrick Beverley,Los Angeles Clippers,26:16,2,5,.400,2,4,.500,0,0,0,1,3,4,1,0,1,0,4,6,-1,26:16,.600,.600,.800,.000,4.7,14.1,9.4,5.6,0.0,3.3,0.0,9.3,134,116
4,Marcus Morris,Los Angeles Clippers,24:43,3,11,.273,1,2,.500,0,0,0,1,4,5,1,0,1,1,1,7,-5,24:43,.318,.318,.182,.000,5.0,19.9,12.4,6.4,0.0,3.5,8.3,23.6,70,115
6,Terance Mann,Los Angeles Clippers,19:17,3,5,.600,1,3,.333,1,2,.500,0,1,1,1,1,0,0,5,8,-3,19:17,.680,.700,.600,.400,0.0,6.4,3.2,8.7,2.8,0.0,0.0,14.9,140,114
7,Luke Kennard,Los Angeles Clippers,18:43,4,7,.571,2,5,.400,0,0,0,1,1,2,2,0,0,0,1,10,+8,18:43,.714,.714,.714,.000,6.6,6.6,6.6,19.9,0.0,0.0,0.0,18.2,152,120
8,Rajon Rondo,Los Angeles Clippers,17:04,2,6,.333,2,4,.500,2,2,1.000,0,3,3,4,0,0,0,1,8,+2,17:04,.581,.500,.667,.333,0.0,21.6,10.8,37.0,0.0,0.0,0.0,19.6,140,118
9,Nicolas Batum,Los Angeles Clippers,15:41,1,1,1.000,1,1,1.000,0,0,0,0,2,2,0,0,0,0,0,3,-4,15:41,1.500,1.500,1.000,.000,0.0,15.7,7.8,0.0,0.0,0.0,0.0,3.1,300,119
10,DeMarcus Cousins,Los Angeles Clippers,3:52,0,2,.000,0,0,0,2,2,1.000,0,0,0,0,0,0,1,2,2,-2,3:52,.347,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,48.9,56,121
11,Daniel Oturu,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jay Scrubb,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Amir Coffey,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Yogi Ferrell,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Patrick Patterson,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Los Angeles Clippers,240,36,80,.450,13,34,.382,18,24,.750,7,32,39,18,3,4,8,19,103,0,240,.569,.531,.425,.300,17.9,82.1,50.0,50.0,3.3,7.1,8.1,100.0,114.8,115.9
