,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandon Ingram,New Orleans Pelicans,40:16,12,23,.522,3,7,.429,3,5,.600,3,3,6,4,1,0,7,4,30,+2,40:16,.595,.587,.304,.217,6.5,6.7,6.6,28.6,1.2,0.0,21.7,30.2,103,99
1,Jonas Valančiūnas,New Orleans Pelicans,35:54,6,10,.600,0,0,0,8,8,1.000,3,14,17,2,3,1,1,5,20,-6,35:54,.740,.600,.000,.800,7.3,35.3,21.0,11.6,3.9,2.3,6.9,15.3,158,81
2,Nickeil Alexander-Walker,New Orleans Pelicans,35:32,6,24,.250,2,13,.154,0,0,0,6,8,14,2,2,0,5,1,14,-5,35:32,.292,.292,.542,.000,14.7,20.4,17.5,11.8,2.6,0.0,17.2,30.8,67,91
3,Devonte' Graham,New Orleans Pelicans,35:26,2,14,.143,1,10,.100,6,8,.750,0,3,3,2,2,0,3,2,11,-4,35:26,.314,.179,.714,.571,0.0,7.7,3.8,9.6,2.6,0.0,14.6,21.9,72,96
4,Herbert Jones,New Orleans Pelicans,28:51,1,6,.167,0,1,.000,0,0,0,6,2,8,2,0,1,3,2,2,+7,28:51,.167,.167,.167,.000,18.2,6.3,12.3,11.3,0.0,2.9,33.3,11.8,56,100
6,Trey Murphy III,New Orleans Pelicans,21:57,2,5,.400,2,5,.400,0,0,0,0,5,5,0,1,0,0,3,6,+4,21:57,.600,.600,1.000,.000,0.0,20.6,10.1,0.0,2.1,0.0,0.0,8.6,140,92
7,Garrett Temple,New Orleans Pelicans,15:03,1,1,1.000,1,1,1.000,0,0,0,2,3,5,0,0,2,1,1,3,-20,15:03,1.500,1.500,1.000,.000,11.6,18.1,14.8,0.0,0.0,11.0,50.0,5.0,124,91
8,Jaxson Hayes,New Orleans Pelicans,11:42,1,3,.333,0,0,0,1,2,.500,0,2,2,0,1,1,1,2,3,-1,11:42,.387,.333,.000,.667,0.0,15.5,7.6,0.0,4.0,7.1,20.5,15.7,69,85
9,Kira Lewis Jr.,New Orleans Pelicans,11:12,0,2,.000,0,2,.000,0,0,0,0,0,0,2,0,0,4,0,0,-1,11:12,.000,.000,1.000,.000,0.0,0.0,0.0,27.6,0.0,0.0,66.7,20.2,16,104
10,Naji Marshall,New Orleans Pelicans,4:07,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,3,2,0,-11,4:07,.000,.000,1.000,.000,21.2,0.0,10.8,37.6,0.0,0.0,75.0,36.7,19,103
11,Jose Alvarado,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Willy Hernangómez,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Didi Louzada,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tomáš Satoranský,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,New Orleans Pelicans,240,31,89,.348,9,40,.225,18,23,.783,21,40,61,15,10,5,28,22,89,0,240,.449,.399,.449,.258,38.2,75.5,56.5,48.4,9.7,8.6,22.0,100.0,86.2,93.0
0,Anthony Edwards,Minnesota Timberwolves,36:57,8,22,.364,3,8,.375,0,0,0,3,6,9,5,1,1,1,1,19,+10,36:57,.432,.432,.364,.000,7.4,14.2,10.8,22.7,1.3,2.7,4.3,25.0,100,88
1,D'Angelo Russell,Minnesota Timberwolves,29:11,5,14,.357,2,7,.286,0,0,0,1,2,3,1,0,0,7,1,12,+9,29:11,.429,.429,.500,.000,3.1,6.0,4.6,5.3,0.0,0.0,33.3,28.9,59,97
2,Karl-Anthony Towns,Minnesota Timberwolves,28:37,10,20,.500,3,6,.500,2,2,1.000,1,3,4,2,0,3,5,6,25,+5,28:37,.599,.575,.300,.100,3.2,9.1,6.2,15.1,0.0,10.3,19.3,36.4,97,92
