,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Miles Bridges,Charlotte Hornets,35:12,9,16,.563,3,5,.600,11,12,.917,4,5,9,2,2,1,0,2,32,+20,35:12,.752,.656,.313,.750,12.1,14.5,13.3,8.9,2.7,2.6,0.0,25.4,162,94
1,Gordon Hayward,Charlotte Hornets,32:48,4,11,.364,0,4,.000,0,0,0,0,3,3,6,0,0,5,3,8,+14,32:48,.364,.364,.364,.000,0.0,9.3,4.8,23.6,0.0,0.0,31.3,20.5,67,103
2,Mason Plumlee,Charlotte Hornets,28:00,2,2,1.000,0,0,0,1,4,.250,0,6,6,2,3,2,1,1,5,-3,28:00,.665,1.000,.000,2.000,0.0,21.9,11.2,8.7,5.1,6.6,21.0,7.1,106,83
3,LaMelo Ball,Charlotte Hornets,26:03,8,18,.444,1,6,.167,1,1,1.000,0,5,5,5,0,1,0,3,18,+13,26:03,.488,.472,.333,.056,0.0,19.6,10.0,32.6,0.0,3.5,0.0,29.7,111,98
4,Kelly Oubre Jr.,Charlotte Hornets,22:53,4,13,.308,1,5,.200,0,0,0,4,4,8,1,1,0,1,4,9,+13,22:53,.346,.346,.385,.000,18.6,17.9,18.2,6.1,2.1,0.0,7.1,25.7,85,96
6,Cody Martin,Charlotte Hornets,32:27,4,8,.500,2,3,.667,2,2,1.000,0,3,3,5,1,0,1,1,12,+5,32:27,.676,.625,.375,.250,0.0,9.4,4.8,19.9,1.5,0.0,10.1,12.8,135,100
7,P.J. Washington,Charlotte Hornets,25:48,2,6,.333,1,5,.200,0,0,0,0,6,6,1,2,0,2,2,5,+15,25:48,.417,.417,.833,.000,0.0,23.8,12.1,4.7,3.7,0.0,25.0,13.0,66,91
8,Ish Smith,Charlotte Hornets,21:10,7,16,.438,1,1,1.000,0,0,0,0,4,4,4,1,1,1,0,15,+3,21:10,.469,.469,.063,.000,0.0,19.3,9.9,33.4,2.3,4.4,5.9,33.7,98,92
9,Jalen McDaniels,Charlotte Hornets,11:44,3,3,1.000,1,1,1.000,0,0,0,2,1,3,0,0,0,1,1,7,0,11:44,1.167,1.167,.333,.000,18.2,8.7,13.3,0.0,0.0,0.0,25.0,14.3,156,103
10,James Bouknight,Charlotte Hornets,0:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,105
11,Vernon Carey Jr.,Charlotte Hornets,0:47,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0:47,.000,.000,.000,.000,0.0,100.0,66.6,0.0,0.0,0.0,0.0,53.6,0,73
12,Kai Jones,Charlotte Hornets,0:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,105
13,Nick Richards,Charlotte Hornets,0:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,105
14,JT Thor,Charlotte Hornets,0:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,105
15,Arnoldas Kulboka,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Charlotte Hornets,240,43,94,.457,10,30,.333,15,19,.789,10,38,48,26,10,5,12,17,111,0,240,.542,.511,.319,.202,22.2,80.9,52.2,60.5,10.0,9.6,10.5,100.0,110.9,94.9
0,Kevin Durant,Brooklyn Nets,36:08,17,24,.708,2,6,.333,2,2,1.000,1,4,5,3,1,0,3,0,38,-10,36:08,.764,.750,.250,.083,2.8,11.8,7.2,25.8,1.3,0.0,10.8,33.9,134,116
1,James Harden,Brooklyn Nets,33:09,6,16,.375,2,8,.250,1,1,1.000,2,5,7,8,1,1,8,5,15,-15,33:09,.456,.438,.500,.063,6.2,16.1,11.0,39.5,1.4,2.3,32.7,32.4,78,112
2,Joe Harris,Brooklyn Nets,27:46,3,6,.500,1,3,.333,0,0,0,1,3,4,0,0,0,1,5,7,-17,27:46,.583,.583,.500,.000,3.7,11.5,7.5,0.0,0.0,0.0,14.3,11.1,102,118
3,Jevon Carter,Brooklyn Nets,25:45,1,7,.143,1,5,.200,0,0,0,0,2,2,1,2,1,0,3,3,-20,25:45,.214,.214,.714,.000,0.0,8.3,4.1,5.2,3.7,2.9,0.0,11.9,54,109
4,Nic Claxton,Brooklyn Nets,18:19,1,3,.333,0,0,0,3,4,.750,1,3,4,1,0,1,2,1,5,-9,18:19,.525,.333,.000,1.333,5.6,17.5,11.4,7.4,0.0,4.1,29.6,16.2,88,114
6,Patty Mills,Brooklyn Nets,31:54,2,10,.200,1,6,.167,0,0,0,0,4,4,2,0,0,0,0,5,-11,31:54,.250,.250,.600,.000,0.0,13.4,6.5,8.6,0.0,0.0,0.0,13.8,64,118
7,Bruce Brown,Brooklyn Nets,27:11,3,9,.333,1,3,.333,1,2,.500,1,6,7,0,2,2,1,1,8,-7,27:11,.405,.389,.333,.222,3.8,23.5,13.4,0.0,3.5,5.5,9.2,17.6,80,103
8,LaMarcus Aldridge,Brooklyn Nets,21:50,4,7,.571,0,0,0,1,1,1.000,3,5,8,0,1,2,2,2,9,+5,21:50,.605,.571,.000,.143,14.0,24.4,19.1,0.0,2.2,6.9,21.2,19.0,104,105
9,Paul Millsap,Brooklyn Nets,8:21,1,3,.333,1,2,.500,2,2,1.000,0,3,3,3,2,0,0,2,5,+12,8:21,.644,.500,.667,.667,0.0,38.3,18.7,53.5,11.5,0.0,0.0,20.4,156,86
10,James Johnson,Brooklyn Nets,5:10,0,1,.000,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,-2,5:10,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,9.3,14.5,0.0,8.5,0,90
11,DeAndre' Bembry,Brooklyn Nets,1:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1:29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
12,Day'Ron Sharpe,Brooklyn Nets,1:29,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-2,1:29,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0,121
13,Cam Thomas,Brooklyn Nets,1:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1:29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
