,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Saddiq Bey,Detroit Pistons,33:16,8,16,.500,3,8,.375,2,2,1.000,2,5,7,3,2,0,2,1,21,-9,33:16,.622,.594,.500,.125,5.8,20.6,11.9,15.2,2.9,0.0,10.6,24.1,116,121
1,Josh Jackson,Detroit Pistons,32:15,7,12,.583,1,4,.250,3,4,.750,1,5,6,4,0,0,1,0,18,-2,32:15,.654,.625,.333,.333,3.0,21.3,10.5,20.1,0.0,0.0,6.8,19.5,130,127
2,Kelly Olynyk,Detroit Pistons,29:43,8,15,.533,2,5,.400,3,5,.600,3,3,6,4,2,0,3,1,21,-6,29:43,.610,.600,.333,.333,9.7,13.8,11.4,23.9,3.3,0.0,14.9,28.9,112,121
3,Isaiah Stewart,Detroit Pistons,28:56,6,9,.667,0,0,0,1,1,1.000,3,4,7,5,1,3,2,3,13,-6,28:56,.689,.667,.000,.111,10.0,19.0,13.7,27.6,1.7,8.6,17.5,16.8,129,118
4,Killian Hayes,Detroit Pistons,26:33,4,11,.364,2,3,.667,2,2,1.000,0,1,1,3,1,1,0,2,12,-6,26:33,.505,.455,.273,.182,0.0,5.2,2.1,16.6,1.8,3.1,0.0,19.0,114,125
6,Trey Lyles,Detroit Pistons,21:26,2,7,.286,0,1,.000,4,4,1.000,2,2,4,2,0,1,1,0,8,-7,21:26,.457,.286,.143,.571,9.0,12.8,10.5,12.6,0.0,3.9,10.2,19.4,105,127
7,Cory Joseph,Detroit Pistons,15:36,0,5,.000,0,2,.000,0,0,0,0,0,0,3,0,0,1,2,0,-17,15:36,.000,.000,.400,.000,0.0,0.0,0.0,23.1,0.0,0.0,16.7,16.3,29,132
8,Frank Jackson,Detroit Pistons,14:23,2,7,.286,0,4,.000,0,0,0,0,0,0,0,0,0,2,1,4,-21,14:23,.286,.286,.571,.000,0.0,0.0,0.0,0.0,0.0,0.0,22.2,26.6,44,132
9,Luka Garza,Detroit Pistons,12:44,1,2,.500,0,1,.000,0,0,0,0,2,2,0,0,1,1,4,2,-22,12:44,.500,.500,.500,.000,0.0,21.5,8.9,0.0,0.0,6.5,33.3,10.0,60,122
10,Hamidou Diallo,Detroit Pistons,11:23,1,3,.333,0,2,.000,0,0,0,0,2,2,1,1,0,0,0,2,-9,11:23,.333,.333,.667,.000,0.0,24.1,9.9,11.8,4.3,0.0,0.0,11.2,84,117
11,Saben Lee,Detroit Pistons,7:23,0,2,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,0,+5,7:23,.000,.000,.500,.000,0.0,18.6,7.6,0.0,0.0,0.0,0.0,11.5,0,128
12,Rodney McGruder,Detroit Pistons,3:11,1,2,.500,1,2,.500,0,0,0,0,0,0,1,0,0,0,0,3,+5,3:11,.750,.750,1.000,.000,0.0,0.0,0.0,60.5,0.0,0.0,0.0,26.7,159,132
13,Jamorko Pickett,Detroit Pistons,3:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,+5,3:11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.4,0,132
14,Team Totals,Detroit Pistons,240,40,91,.440,9,33,.273,15,18,.833,11,25,36,26,7,6,14,15,104,0,240,.526,.489,.363,.198,22.0,71.4,42.4,65.0,7.1,10.3,12.4,100.0,105.0,123.1
0,Trae Young,Atlanta Hawks,32:04,13,21,.619,2,5,.400,4,4,1.000,0,4,4,9,1,0,2,2,32,+17,32:04,.703,.667,.238,.190,0.0,12.0,7.0,50.8,1.5,0.0,8.1,33.0,145,108
1,Kevin Huerter,Atlanta Hawks,27:20,5,8,.625,2,3,.667,2,2,1.000,0,1,1,4,1,0,1,2,14,+12,27:20,.788,.750,.375,.250,0.0,3.5,2.1,18.9,1.8,0.0,10.1,15.5,154,110
2,Clint Capela,Atlanta Hawks,25:54,2,3,.667,0,0,0,0,0,0,1,7,8,0,2,1,0,1,4,+11,25:54,.667,.667,.000,.000,5.3,25.9,17.4,0.0,3.7,3.2,0.0,5.0,149,97
3,Bogdan Bogdanović,Atlanta Hawks,25:01,5,9,.556,2,6,.333,2,2,1.000,1,2,3,1,0,0,0,1,14,+6,25:01,.709,.667,.667,.222,5.5,7.7,6.8,5.3,0.0,0.0,0.0,16.9,155,113
4,John Collins,Atlanta Hawks,23:56,9,14,.643,1,3,.333,3,5,.600,1,6,7,2,2,1,4,4,22,+12,23:56,.679,.679,.214,.357,5.7,24.1,16.5,14.4,4.0,3.5,19.8,36.1,111,96
6,Cam Reddish,Atlanta Hawks,27:16,5,14,.357,3,7,.429,4,4,1.000,1,3,4,1,3,0,2,2,17,+6,27:16,.539,.464,.500,.286,5.0,10.6,8.3,4.7,5.3,0.0,11.3,27.9,109,100
7,Delon Wright,Atlanta Hawks,18:28,1,3,.333,0,1,.000,0,0,0,1,3,4,0,1,0,0,0,2,+6,18:28,.333,.333,.333,.000,7.4,15.6,12.2,0.0,2.6,0.0,0.0,6.9,96,105
8,Lou Williams,Atlanta Hawks,17:16,3,6,.500,1,2,.500,2,2,1.000,0,2,2,2,1,1,1,0,9,+12,17:16,.654,.583,.333,.333,0.0,11.1,6.5,14.8,2.8,4.8,12.7,19.5,128,102
9,Gorgui Dieng,Atlanta Hawks,15:45,2,5,.400,1,1,1.000,1,2,.500,4,8,12,2,0,0,1,4,6,+16,15:45,.510,.500,.200,.400,34.8,48.8,43.0,15.3,0.0,0.0,14.5,18.7,126,100
10,Solomon Hill,Atlanta Hawks,14:16,0,3,.000,0,3,.000,0,0,0,1,1,2,2,0,0,1,3,0,+12,14:16,.000,.000,1.000,.000,9.6,6.7,7.9,14.6,0.0,0.0,25.0,12.0,51,113
11,Jalen Johnson,Atlanta Hawks,3:11,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-5,3:11,0,0,0,0,0.0,0.0,0.0,32.8,0.0,0.0,100.0,13.4,48,115
12,Sharife Cooper,Atlanta Hawks,3:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-5,3:11,1.000,1.000,.000,.000,0.0,30.2,17.7,0.0,0.0,0.0,0.0,13.4,200,106
13,Timothé Luwawu-Cabarrot,Atlanta Hawks,3:11,0,3,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,-5,3:11,.000,.000,.333,.000,0.0,30.2,17.7,0.0,0.0,0.0,0.0,40.3,0,106
14,Skylar Mays,Atlanta Hawks,3:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,3:11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,115
15,Team Totals,Atlanta Hawks,240,46,90,.511,12,32,.375,18,21,.857,10,39,49,24,11,3,13,19,122,0,240,.615,.578,.356,.233,28.6,78.0,57.6,52.2,11.1,5.2,11.6,100.0,123.1,105.0
