,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ McCollum,Portland Trail Blazers,32:25,7,16,.438,4,11,.364,2,2,1.000,0,4,4,4,2,1,3,2,20,-23,32:25,.592,.563,.688,.125,0.0,13.2,6.6,27.4,2.6,3.0,15.1,23.9,105,101
1,Nassir Little,Portland Trail Blazers,31:50,4,7,.571,2,4,.500,0,0,0,0,4,4,1,2,2,1,3,10,-17,31:50,.714,.714,.571,.000,0.0,13.4,6.7,5.8,2.7,6.0,12.5,9.8,121,99
2,Damian Lillard,Portland Trail Blazers,27:50,4,15,.267,0,8,.000,4,4,1.000,1,2,3,3,0,0,4,2,12,-22,27:50,.358,.267,.533,.267,3.8,7.7,5.7,20.6,0.0,0.0,19.3,29.1,68,110
3,Robert Covington,Portland Trail Blazers,23:40,0,3,.000,0,2,.000,0,0,0,0,6,6,1,3,0,4,0,0,-15,23:40,.000,.000,.667,.000,0.0,27.0,13.5,6.3,5.4,0.0,57.1,11.5,7,96
4,Jusuf Nurkić,Portland Trail Blazers,23:26,2,6,.333,0,0,0,0,0,0,2,8,10,1,0,0,6,3,4,-21,23:26,.333,.333,.000,.000,9.1,36.4,22.8,7.3,0.0,0.0,50.0,20.0,43,107
6,Anfernee Simons,Portland Trail Blazers,20:27,5,13,.385,1,6,.167,1,1,1.000,1,3,4,1,0,0,1,1,12,-21,20:27,.446,.423,.462,.077,5.2,15.6,10.4,11.6,0.0,0.0,6.9,27.6,88,109
7,Dennis Smith Jr.,Portland Trail Blazers,20:24,3,7,.429,0,0,0,1,2,.500,1,1,2,3,3,1,2,0,7,-16,20:24,.444,.429,.000,.286,5.2,5.2,5.2,28.3,6.3,4.7,20.2,18.9,85,93
8,Larry Nance Jr.,Portland Trail Blazers,18:21,2,6,.333,1,3,.333,0,0,0,1,3,4,0,0,0,3,3,5,-23,18:21,.417,.417,.500,.000,5.8,17.4,11.6,0.0,0.0,0.0,33.3,19.2,57,109
9,Cody Zeller,Portland Trail Blazers,13:03,2,4,.500,0,0,0,4,6,.667,0,3,3,0,1,0,1,1,8,-4,13:03,.602,.500,.000,1.500,0.0,24.5,12.3,0.0,3.3,0.0,13.1,22.9,107,101
10,Ben McLemore,Portland Trail Blazers,10:53,1,4,.250,0,3,.000,2,2,1.000,0,0,0,0,0,0,1,0,4,+2,10:53,.410,.250,.750,.500,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.1,72,111
11,Greg Brown III,Portland Trail Blazers,8:50,2,4,.500,0,0,0,0,1,.000,1,4,5,1,0,0,2,2,4,+5,8:50,.450,.500,.000,.250,12.1,48.3,30.2,25.7,0.0,0.0,31.1,28.5,70,105
12,CJ Elleby,Portland Trail Blazers,8:50,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,+5,8:50,0,0,0,0,0.0,24.2,12.1,0.0,0.0,0.0,100.0,8.8,0,108
13,Team Totals,Portland Trail Blazers,240,32,85,.376,8,37,.216,14,18,.778,7,40,47,15,11,4,30,18,86,0,240,.463,.424,.435,.212,15.6,88.9,52.2,46.9,9.8,8.0,24.4,100.0,76.4,103.0
0,Reggie Jackson,Los Angeles Clippers,26:41,6,20,.300,3,15,.200,3,4,.750,1,4,5,4,0,0,1,1,18,+28,26:41,.414,.375,.750,.200,4.0,16.0,10.0,21.7,0.0,0.0,4.4,34.6,87,87
1,Paul George,Los Angeles Clippers,26:35,6,16,.375,2,8,.250,0,0,0,0,0,0,5,8,1,3,3,14,+21,26:35,.438,.438,.500,.000,0.0,0.0,0.0,27.2,12.8,3.8,15.8,29.0,79,60
2,Ivica Zubac,Los Angeles Clippers,24:59,5,6,.833,0,0,0,0,0,0,0,8,8,4,2,0,1,0,10,+14,24:59,.833,.833,.000,.000,0.0,34.2,17.1,22.3,3.4,0.0,14.3,11.4,143,76
3,Eric Bledsoe,Los Angeles Clippers,22:23,2,8,.250,0,4,.000,3,4,.750,0,5,5,7,1,0,4,2,7,+14,22:23,.359,.250,.500,.500,0.0,23.8,11.9,37.8,1.9,0.0,29.1,24.9,75,81
4,Nicolas Batum,Los Angeles Clippers,22:11,1,2,.500,0,1,.000,0,0,0,0,6,6,1,2,0,2,2,2,+12,22:11,.500,.500,.500,.000,0.0,28.9,14.4,5.2,3.8,0.0,50.0,7.3,54,76
6,Terance Mann,Los Angeles Clippers,24:39,5,6,.833,1,2,.500,2,2,1.000,2,3,5,5,4,1,1,0,13,+21,24:39,.945,.917,.333,.333,8.7,13.0,10.8,28.4,6.9,4.1,12.7,13.0,172,70
7,Luke Kennard,Los Angeles Clippers,24:03,8,10,.800,6,7,.857,1,1,1.000,1,3,4,3,0,1,1,2,23,+22,24:03,1.102,1.100,.700,.100,4.4,13.3,8.9,21.4,0.0,4.2,8.7,19.3,171,85
8,Justise Winslow,Los Angeles Clippers,21:25,3,9,.333,0,1,.000,0,0,0,0,3,3,4,3,2,2,2,6,+9,21:25,.333,.333,.111,.000,0.0,14.9,7.5,24.1,6.0,9.3,18.2,20.8,70,68
9,Isaiah Hartenstein,Los Angeles Clippers,17:23,4,4,1.000,0,0,0,1,2,.500,1,4,5,2,1,1,2,6,9,+19,17:23,.922,1.000,.000,.500,6.1,24.5,15.3,16.8,2.5,5.8,29.1,16.1,124,76
10,Amir Coffey,Los Angeles Clippers,12:00,1,3,.333,1,3,.333,2,2,1.000,0,0,0,1,0,0,0,1,5,0,12:00,.644,.500,1.000,.667,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.1,135,90
11,Jay Scrubb,Los Angeles Clippers,8:50,2,6,.333,1,2,.500,1,2,.500,0,1,1,0,0,0,0,3,6,-5,8:50,.387,.333,.000,.667,0.0,12.1,6.0,14.1,0.0,0.0,0.0,17.8,89,88
12,Brandon Boston Jr.,Los Angeles Clippers,8:50,1,3,.333,0,0,0,1,2,.500,0,1,1,1,0,0,0,1,3,-5,8:50,.436,.417,.333,.333,0.0,12.1,6.0,0.0,0.0,0.0,0.0,31.6,82,87
13,Team Totals,Los Angeles Clippers,240,44,93,.473,14,43,.326,14,19,.737,5,38,43,37,21,6,17,23,116,0,240,.572,.548,.462,.204,11.1,84.4,47.8,84.1,18.7,12.5,14.4,100.0,103.0,76.4
