,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tobias Harris,Philadelphia 76ers,33:16,10,18,.556,2,6,.333,1,1,1.000,3,6,9,9,0,0,1,2,23,-11,33:16,.624,.611,.333,.056,9.8,21.1,15.3,60.2,0.0,0.0,5.1,27.1,141,129
1,Joel Embiid,Philadelphia 76ers,30:25,2,7,.286,0,2,.000,10,11,.909,1,5,6,3,1,1,5,1,14,-8,30:25,.591,.286,.286,1.571,3.6,19.2,11.1,14.4,1.8,3.2,29.7,25.7,98,123
2,Tyrese Maxey,Philadelphia 76ers,30:12,3,9,.333,0,3,.000,1,1,1.000,0,2,2,3,1,0,2,2,7,-9,30:12,.371,.333,.333,.111,0.0,7.8,3.7,15.3,1.8,0.0,17.5,17.6,77,129
3,Seth Curry,Philadelphia 76ers,29:39,2,6,.333,0,4,.000,0,0,0,0,2,2,1,0,0,3,1,4,-10,29:39,.333,.333,.667,.000,0.0,7.9,3.8,4.9,0.0,0.0,33.3,14.1,50,134
4,Danny Green,Philadelphia 76ers,23:54,4,8,.500,4,8,.500,0,0,0,0,2,2,0,2,1,0,0,12,-7,23:54,.750,.750,1.000,.000,0.0,9.8,4.7,0.0,4.5,4.0,0.0,15.5,143,120
6,Furkan Korkmaz,Philadelphia 76ers,24:58,3,12,.250,2,8,.250,1,2,.500,1,2,3,3,2,0,1,1,9,-12,24:58,.349,.333,.667,.167,4.4,9.4,6.8,19.1,4.3,0.0,7.2,25.8,85,123
7,Georges Niang,Philadelphia 76ers,22:03,5,7,.714,3,5,.600,0,0,0,1,2,3,1,1,0,0,2,13,+1,22:03,.929,.929,.714,.000,4.9,10.6,7.7,8.7,2.4,0.0,0.0,14.7,180,127
8,Matisse Thybulle,Philadelphia 76ers,19:32,3,5,.600,0,1,.000,0,0,0,0,3,3,0,1,2,0,1,6,-11,19:32,.600,.600,.200,.000,0.0,18.0,8.7,0.0,2.7,9.8,0.0,11.9,119,118
9,Andre Drummond,Philadelphia 76ers,14:23,2,5,.400,0,0,0,2,2,1.000,5,4,9,2,1,0,2,3,6,-9,14:23,.510,.400,.000,.400,37.9,32.6,35.3,22.8,3.7,0.0,25.4,25.4,113,115
10,Isaiah Joe,Philadelphia 76ers,7:00,1,4,.250,1,4,.250,0,0,0,0,0,0,1,0,0,0,0,3,+4,7:00,.375,.375,1.000,.000,0.0,0.0,0.0,23.5,0.0,0.0,0.0,26.5,95,137
11,Paul Reed,Philadelphia 76ers,3:12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,+4,3:12,0,0,0,0,34.1,0.0,17.6,41.7,0.0,0.0,0,0.0,233,137
12,Charles Bassey,Philadelphia 76ers,1:26,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+3,1:26,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,200,137
13,Team Totals,Philadelphia 76ers,240,36,82,.439,12,41,.293,15,17,.882,12,28,40,24,9,4,14,14,99,0,240,.553,.512,.500,.207,27.3,68.3,47.1,66.7,10.1,8.0,13.5,100.0,110.8,125.3
0,Julius Randle,New York Knicks,36:13,7,18,.389,2,5,.400,0,0,0,4,7,11,7,0,0,1,0,16,+8,36:13,.444,.444,.278,.000,12.9,21.1,17.2,29.2,0.0,0.0,5.3,23.8,120,113
