,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bradley Beal,Washington Wizards,35:15,7,25,.280,0,6,.000,3,3,1.000,3,7,10,2,3,1,5,3,17,0,35:15,.323,.280,.240,.120,10.8,20.7,16.2,8.1,4.2,2.4,16.0,38.2,71,102
1,Kyle Kuzma,Washington Wizards,33:04,4,11,.364,1,5,.200,3,6,.500,3,5,8,2,2,1,1,4,12,-2,33:04,.440,.409,.455,.545,11.5,15.8,13.8,7.8,3.0,2.6,6.8,19.0,106,106
2,Kentavious Caldwell-Pope,Washington Wizards,31:06,4,6,.667,3,4,.750,0,0,0,0,2,2,2,0,0,0,2,11,+2,31:06,.917,.917,.667,.000,0.0,6.7,3.7,8.4,0.0,0.0,0.0,8.3,191,117
3,Spencer Dinwiddie,Washington Wizards,29:31,8,16,.500,2,5,.400,4,4,1.000,0,3,3,3,1,0,2,3,22,-2,29:31,.619,.563,.313,.250,0.0,10.6,5.8,16.3,1.7,0.0,10.1,28.8,124,112
4,Daniel Gafford,Washington Wizards,7:08,1,1,1.000,0,0,0,1,3,.333,1,3,4,0,1,1,1,0,3,-3,7:08,.647,1.000,.000,3.000,17.7,43.9,32.0,0.0,6.9,12.0,30.1,20.0,96,83
6,Montrezl Harrell,Washington Wizards,38:12,10,13,.769,0,0,0,5,7,.714,4,7,11,1,0,2,1,1,25,+21,38:12,.777,.769,.000,.538,13.2,19.1,16.5,4.1,0.0,4.5,5.9,19.2,157,111
7,Aaron Holiday,Washington Wizards,18:46,4,6,.667,1,2,.500,0,0,0,0,2,2,3,0,1,3,3,9,+11,18:46,.750,.750,.333,.000,0.0,11.1,6.1,23.4,0.0,4.6,33.3,20.6,107,113
8,Dāvis Bertāns,Washington Wizards,17:36,3,3,1.000,1,1,1.000,0,0,0,0,3,3,1,0,0,1,2,7,+2,17:36,1.167,1.167,.333,.000,0.0,17.8,9.7,7.8,0.0,0.0,25.0,9.8,162,114
9,Deni Avdija,Washington Wizards,16:54,2,2,1.000,1,1,1.000,3,4,.750,0,2,2,2,0,1,0,2,8,+7,16:54,1.064,1.250,.500,2.000,0.0,12.3,6.8,15.2,0.0,5.1,0.0,9.6,218,112
10,Corey Kispert,Washington Wizards,12:28,0,1,.000,0,1,.000,2,2,1.000,0,2,2,2,1,0,1,0,2,+9,12:28,.532,.000,1.000,2.000,0.0,16.7,9.2,17.9,3.9,0.0,34.7,9.9,102,106
