,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cole Anthony,Orlando Magic,35:21,6,11,.545,3,4,.750,0,0,0,1,9,10,3,0,0,2,2,15,+15,35:21,.682,.682,.364,.000,3.2,24.0,14.4,13.6,0.0,0.0,15.4,16.0,124,114
1,Mo Bamba,Orlando Magic,29:27,4,5,.800,2,2,1.000,0,0,0,1,2,3,2,0,2,1,3,10,+2,29:27,1.000,1.000,.400,.000,3.8,6.4,5.2,10.4,0.0,7.1,16.7,8.8,165,120
2,Franz Wagner,Orlando Magic,28:25,8,15,.533,3,6,.500,0,0,0,1,2,3,2,1,0,1,1,19,-6,28:25,.633,.633,.400,.000,3.9,6.6,5.4,13.8,1.8,0.0,6.3,24.4,126,119
3,Jalen Suggs,Orlando Magic,26:18,3,13,.231,0,4,.000,4,4,1.000,2,3,5,6,2,1,2,1,10,+2,26:18,.339,.231,.308,.308,8.5,10.7,9.7,33.7,3.8,4.0,11.9,27.7,93,110
4,Wendell Carter Jr.,Orlando Magic,16:47,3,9,.333,1,1,1.000,1,2,.500,2,4,6,2,0,1,3,3,8,-4,16:47,.405,.389,.111,.222,13.3,22.4,18.3,19.4,0.0,6.2,23.3,33.3,80,111
6,Terrence Ross,Orlando Magic,24:59,0,5,.000,0,3,.000,3,3,1.000,0,3,3,1,1,2,1,1,3,-22,24:59,.237,.000,.600,.600,0.0,11.3,6.1,5.1,2.0,8.4,13.7,12.7,58,112
7,R.J. Hampton,Orlando Magic,19:13,4,7,.571,1,2,.500,2,2,1.000,1,2,3,2,0,0,0,2,11,-6,19:13,.698,.643,.286,.286,5.8,9.8,8.0,17.8,0.0,0.0,0.0,17.8,158,121
8,Gary Harris,Orlando Magic,17:32,2,5,.400,0,1,.000,0,0,0,2,1,3,1,0,0,3,1,4,-23,17:32,.400,.400,.200,.000,12.7,5.4,8.7,8.4,0.0,0.0,37.5,19.8,68,123
9,Moritz Wagner,Orlando Magic,17:09,4,7,.571,4,6,.667,1,4,.250,0,5,5,1,0,0,0,5,13,+9,17:09,.742,.857,.857,.571,0.0,27.4,14.9,10.4,0.0,0.0,0.0,22.2,145,111
10,Chuma Okeke,Orlando Magic,14:00,1,3,.333,0,1,.000,0,0,0,0,1,1,1,1,0,3,0,2,-14,14:00,.333,.333,.333,.000,0.0,6.7,3.6,9.9,3.6,0.0,50.0,18.6,42,114
