,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Trae Young,Atlanta Hawks,31:43,5,16,.313,1,4,.250,2,4,.500,0,2,2,10,0,0,3,2,13,-23,31:43,.366,.344,.250,.250,0.0,8.9,3.5,53.2,0.0,0.0,14.5,25.7,91,128
1,John Collins,Atlanta Hawks,30:36,3,9,.333,2,4,.500,0,0,0,2,5,7,3,2,0,1,2,8,-22,30:36,.444,.444,.444,.000,6.0,23.1,12.8,15.0,3.2,0.0,10.0,12.8,106,119
2,Bogdan Bogdanović,Atlanta Hawks,29:22,6,11,.545,1,1,1.000,0,0,0,2,2,4,1,2,0,3,1,13,-18,29:22,.591,.591,.091,.000,6.3,9.6,7.6,6.2,3.3,0.0,21.4,18.7,97,120
3,Clint Capela,Atlanta Hawks,27:58,4,11,.364,0,0,0,3,4,.750,8,4,12,0,0,1,0,5,11,-19,27:58,.431,.364,.000,.364,26.4,20.2,23.9,0.0,0.0,3.6,0.0,17.9,119,124
4,De'Andre Hunter,Atlanta Hawks,23:00,3,10,.300,0,2,.000,1,2,.500,0,3,3,0,0,0,3,1,7,-8,23:00,.322,.300,.200,.200,0.0,18.4,7.3,0.0,0.0,0.0,21.6,23.7,56,127
6,Gorgui Dieng,Atlanta Hawks,20:02,1,4,.250,0,1,.000,0,0,0,4,3,7,2,0,0,1,2,2,-9,20:02,.250,.250,.250,.000,18.4,21.1,19.5,14.3,0.0,0.0,20.0,9.8,86,127
7,Cam Reddish,Atlanta Hawks,19:47,7,14,.500,2,5,.400,0,0,0,1,1,2,1,1,0,1,0,16,-20,19:47,.571,.571,.357,.000,4.7,7.1,5.6,12.8,2.5,0.0,6.7,29.7,115,123
8,Kevin Huerter,Atlanta Hawks,13:25,1,5,.200,1,2,.500,0,0,0,1,4,5,3,0,0,1,1,3,-10,13:25,.300,.300,.400,.000,6.9,42.1,20.8,33.1,0.0,0.0,16.7,17.5,85,125
9,Danilo Gallinari,Atlanta Hawks,12:11,2,6,.333,0,1,.000,0,0,0,1,3,4,1,0,0,3,1,4,-6,12:11,.333,.333,.167,.000,7.6,34.8,18.3,14.0,0.0,0.0,33.3,29.0,55,125
10,Lou Williams,Atlanta Hawks,11:04,1,3,.333,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,1,5,-5,11:04,.644,.500,.333,.667,0.0,12.8,5.0,0.0,0.0,0.0,0.0,13.8,154,128
11,Skylar Mays,Atlanta Hawks,5:13,2,3,.667,0,1,.000,3,3,1.000,0,0,0,0,0,0,0,0,7,0,5:13,.694,.500,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,161,129
12,Jalen Johnson,Atlanta Hawks,5:13,1,2,.500,0,0,0,2,2,1.000,0,0,0,0,0,0,0,0,4,0,5:13,.568,0,0,0,0.0,27.1,10.7,25.6,0.0,0.0,53.2,14.1,70,126
13,Timothé Luwawu-Cabarrot,Atlanta Hawks,5:13,0,0,0,0,0,0,1,2,.500,0,1,1,1,0,0,1,0,1,0,5:13,.810,.667,.333,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,179,129
