,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kevin Porter Jr.,Houston Rockets,39:49,5,14,.357,1,6,.167,0,1,.000,1,4,5,8,4,1,5,2,11,-1,39:49,.381,.393,.429,.071,2.8,12.7,7.4,23.0,4.5,1.8,25.7,19.5,84,106
1,Jalen Green,Houston Rockets,37:50,9,15,.600,5,10,.500,1,2,.500,2,0,2,5,0,0,7,4,24,0,37:50,.756,.767,.667,.133,5.9,0.0,3.1,17.3,0.0,0.0,30.6,24.1,109,120
2,Christian Wood,Houston Rockets,37:00,11,19,.579,3,9,.333,1,5,.200,1,15,16,3,1,0,1,4,26,+3,37:00,.613,.658,.474,.263,3.0,51.2,25.6,11.5,1.2,0.0,4.5,23.9,123,107
3,Jae'Sean Tate,Houston Rockets,35:12,9,15,.600,2,4,.500,0,0,0,4,1,5,2,1,2,3,4,20,+1,35:12,.667,.667,.267,.000,12.7,3.6,8.4,7.6,1.3,4.0,16.7,20.4,120,113
4,Alperen Şengün,Houston Rockets,25:45,3,7,.429,0,1,.000,0,0,0,2,2,4,4,1,0,5,4,6,-2,25:45,.429,.429,.143,.000,8.7,9.8,9.2,17.6,1.8,0.0,41.7,18.6,75,114
6,Kenyon Martin Jr.,Houston Rockets,28:04,6,8,.750,2,3,.667,0,0,0,1,3,4,3,0,0,2,1,14,+4,28:04,.875,.875,.375,.000,4.0,13.5,8.4,13.6,0.0,0.0,20.0,14.2,141,117
7,David Nwaba,Houston Rockets,13:55,2,6,.333,0,3,.000,1,2,.500,0,1,1,0,1,1,0,1,5,-14,13:55,.363,.333,.500,.333,0.0,9.1,4.3,0.0,3.2,5.1,0.0,19.7,80,107
8,D.J. Augustin,Houston Rockets,13:24,2,3,.667,2,3,.667,1,1,1.000,0,1,1,1,0,0,1,1,7,-4,13:24,1.017,1.000,1.000,.333,0.0,9.4,4.4,8.8,0.0,0.0,22.5,13.2,150,118
9,Armoni Brooks,Houston Rockets,9:01,1,4,.250,1,3,.333,1,1,1.000,0,0,0,1,0,0,0,0,4,+3,9:01,.450,.375,.750,.250,0.0,0.0,0.0,12.5,0.0,0.0,0.0,19.7,112,120
10,Eric Gordon,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Josh Christopher,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Usman Garuba,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Houston Rockets,240,48,91,.527,16,42,.381,5,12,.417,11,27,38,27,8,4,24,21,117,0,240,.608,.615,.462,.132,25.6,71.1,46.9,56.3,7.5,5.9,20.0,100.0,110.2,112.1
0,Russell Westbrook,Los Angeles Lakers,37:11,10,21,.476,0,4,.000,7,8,.875,5,4,9,7,0,0,3,1,27,-6,37:11,.551,.476,.190,.381,17.0,12.0,14.3,25.0,0.0,0.0,10.9,29.9,121,116
1,LeBron James,Los Angeles Lakers,36:16,13,21,.619,2,4,.500,2,2,1.000,0,4,4,10,2,0,4,3,30,+8,36:16,.686,.667,.190,.095,0.0,12.3,6.5,41.6,2.5,0.0,15.5,28.8,128,110
2,Anthony Davis,Los Angeles Lakers,32:02,11,18,.611,0,3,.000,5,8,.625,1,8,9,3,3,3,4,2,27,-1,32:02,.627,.611,.167,.444,3.9,27.9,16.6,13.8,4.2,9.2,15.7,32.2,112,97
3,Avery Bradley,Los Angeles Lakers,28:31,1,6,.167,0,3,.000,0,0,0,1,2,3,2,1,0,1,0,2,+2,28:31,.167,.167,.500,.000,4.4,7.8,6.2,7.1,1.6,0.0,14.3,9.9,59,114
4,Kent Bazemore,Los Angeles Lakers,26:43,3,7,.429,1,3,.333,0,0,0,1,3,4,1,2,0,0,5,7,+2,26:43,.500,.500,.429,.000,4.7,12.5,8.9,4.1,3.4,0.0,0.0,10.6,119,107
6,Carmelo Anthony,Los Angeles Lakers,29:21,6,9,.667,3,5,.600,0,0,0,0,2,2,1,0,0,0,2,15,+1,29:21,.833,.833,.556,.000,0.0,7.6,4.0,4.2,0.0,0.0,0.0,12.4,169,117
7,Austin Reaves,Los Angeles Lakers,20:48,1,3,.333,0,2,.000,0,0,0,0,2,2,0,1,1,1,3,2,+2,20:48,.333,.333,.667,.000,0.0,10.7,5.7,0.0,2.2,4.7,25.0,7.8,52,108
