,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jalen Brunson,Dallas Mavericks,36:26,9,17,.529,1,4,.250,12,15,.800,1,9,10,3,2,0,2,2,31,+13,36:26,.657,.559,.235,.882,2.6,25.8,13.7,14.0,2.5,0.0,7.8,27.0,134,101
1,Luka Dončić,Dallas Mavericks,36:11,10,25,.400,3,12,.250,0,2,.000,0,12,12,7,2,0,4,1,23,-17,36:11,.444,.460,.480,.080,0.0,34.6,16.6,34.7,2.5,0.0,13.4,31.8,91,100
2,Tim Hardaway Jr.,Dallas Mavericks,35:41,7,17,.412,3,9,.333,6,6,1.000,0,6,6,3,2,0,1,2,23,+18,35:41,.586,.500,.529,.353,0.0,17.5,8.4,13.2,2.5,0.0,4.8,22.3,127,102
3,Dorian Finney-Smith,Dallas Mavericks,35:35,2,8,.250,0,4,.000,0,0,0,2,1,3,2,3,1,0,4,4,-12,35:35,.250,.250,.500,.000,5.4,2.9,4.2,7.2,3.8,2.0,0.0,8.6,82,98
4,Dwight Powell,Dallas Mavericks,22:55,3,4,.750,0,0,0,0,0,0,5,1,6,0,0,1,3,3,6,-1,22:55,.750,.750,.000,.000,20.9,4.6,13.1,0.0,0.0,3.1,42.9,11.8,99,105
6,Sterling Brown,Dallas Mavericks,19:18,1,3,.333,1,2,.500,0,0,0,1,4,5,3,1,1,3,2,3,+7,19:18,.500,.500,.667,.000,5.0,21.6,13.0,19.9,2.3,3.7,50.0,12.0,73,98
7,Frank Ntilikina,Dallas Mavericks,16:08,0,6,.000,0,2,.000,2,2,1.000,2,2,4,1,0,0,1,2,2,-15,16:08,.145,.000,.333,.333,11.9,12.9,12.4,7.4,0.0,0.0,12.7,18.8,53,108
8,Boban Marjanović,Dallas Mavericks,14:46,8,10,.800,0,0,0,1,4,.250,2,3,5,0,0,1,4,5,17,+17,14:46,.723,.800,.000,.400,13.0,21.2,16.9,0.0,0.0,4.9,25.4,41.1,95,101
9,Willie Cauley-Stein,Dallas Mavericks,10:00,0,1,.000,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,-13,10:00,.000,.000,.000,.000,9.6,10.4,10.0,12.0,0.0,0.0,0.0,3.8,89,108
10,Reggie Bullock,Dallas Mavericks,7:21,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,1,0,0,-2,7:21,.000,.000,1.000,.000,0.0,14.2,6.8,0.0,0.0,0.0,50.0,10.5,0,108
11,Josh Green,Dallas Mavericks,5:39,0,1,.000,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,+10,5:39,.000,.000,.000,.000,17.0,18.5,17.7,21.2,0.0,0.0,0.0,6.8,89,107
12,Trey Burke,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eugene Omoruyi,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Moses Brown,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Dallas Mavericks,240,40,93,.430,8,34,.235,21,29,.724,15,41,56,21,10,4,19,23,109,0,240,.515,.473,.366,.312,30.0,89.1,58.3,52.5,9.4,6.0,15.2,100.0,102.7,101.7
0,Derrick White,San Antonio Spurs,36:14,6,10,.600,1,2,.500,6,6,1.000,1,2,3,3,1,1,3,4,19,+4,36:14,.752,.650,.200,.600,2.9,5.3,4.1,11.3,1.2,2.2,19.2,18.5,125,108
1,Dejounte Murray,San Antonio Spurs,34:26,8,18,.444,2,7,.286,5,6,.833,0,9,9,8,2,1,3,4,23,-8,34:26,.557,.500,.389,.333,0.0,25.1,13.1,35.0,2.6,2.4,12.7,29.5,107,98
2,Keldon Johnson,San Antonio Spurs,30:52,7,18,.389,0,2,.000,2,4,.500,1,5,6,1,1,0,2,2,16,-1,30:52,.405,.389,.111,.222,3.4,15.6,9.7,4.8,1.5,0.0,9.2,30.3,76,105
3,Doug McDermott,San Antonio Spurs,25:48,1,2,.500,0,0,0,0,0,0,0,1,1,1,1,0,2,6,2,-5,25:48,.500,.500,.000,.000,0.0,3.7,1.9,4.5,1.8,0.0,50.0,6.7,55,108
4,Drew Eubanks,San Antonio Spurs,19:22,4,10,.400,0,0,0,2,4,.500,0,5,5,1,0,3,1,2,10,-13,19:22,.425,.400,.000,.400,0.0,24.8,12.9,7.5,0.0,12.6,7.8,28.3,80,98
6,Devin Vassell,San Antonio Spurs,30:32,9,12,.750,3,6,.500,0,0,0,0,3,3,1,0,2,2,1,21,+10,30:32,.875,.875,.500,.000,0.0,9.4,4.9,5.4,0.0,5.3,14.3,19.7,133,108
7,Lonnie Walker IV,San Antonio Spurs,22:31,2,5,.400,1,2,.500,0,0,0,1,3,4,6,2,1,0,1,5,+12,22:31,.500,.500,.400,.000,4.6,12.8,8.9,33.0,4.0,3.6,0.0,9.5,134,99
8,Thaddeus Young,San Antonio Spurs,22:14,4,8,.500,0,1,.000,0,0,0,2,4,6,3,2,2,2,2,8,+10,22:14,.500,.500,.125,.000,9.4,17.3,13.5,18.8,4.1,7.3,20.0,19.3,96,95
9,Bryn Forbes,San Antonio Spurs,11:06,1,3,.333,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,2,-13,11:06,.333,.333,.333,.000,0.0,8.6,4.5,0.0,0.0,0.0,0.0,11.6,65,110
10,Keita Bates-Diop,San Antonio Spurs,4:40,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,-4,4:40,0,0,0,0,0.0,41.1,21.4,0.0,0.0,0.0,0,0.0,0,98
11,Tre Jones,San Antonio Spurs,2:15,1,2,.500,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,+3,2:15,.500,.500,.000,.000,0.0,0.0,0.0,98.5,20.1,0.0,0.0,38.2,116,71
12,Joshua Primo,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jock Landale,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
