,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Paul George,Los Angeles Clippers,37:50,4,20,.200,0,7,.000,13,14,.929,0,10,10,6,3,0,6,4,21,+18,37:50,.401,.200,.350,.700,0.0,23.5,12.2,24.6,3.7,0.0,18.7,34.3,82,78
1,Reggie Jackson,Los Angeles Clippers,36:54,8,16,.500,2,8,.250,2,2,1.000,1,3,4,4,0,0,2,2,20,+14,36:54,.592,.563,.500,.125,2.6,7.2,5.0,20.3,0.0,0.0,10.6,20.6,118,92
2,Ivica Zubac,Los Angeles Clippers,30:54,5,7,.714,0,0,0,4,6,.667,4,10,14,0,2,1,5,2,14,+11,30:54,.726,.714,.000,.857,12.4,28.8,20.9,0.0,3.0,4.2,34.2,19.1,99,76
3,Eric Bledsoe,Los Angeles Clippers,29:14,2,13,.154,0,4,.000,5,5,1.000,1,5,6,4,3,0,0,2,9,+2,29:14,.296,.154,.308,.385,3.3,15.2,9.5,20.1,4.8,0.0,0.0,21.0,87,78
4,Nicolas Batum,Los Angeles Clippers,29:06,5,7,.714,2,4,.500,0,1,.000,2,6,8,1,1,0,0,2,12,+15,29:06,.806,.857,.571,.143,6.6,18.3,12.7,5.9,1.6,0.0,0.0,10.3,166,84
6,Terance Mann,Los Angeles Clippers,30:08,6,12,.500,0,2,.000,1,2,.500,3,3,6,1,1,0,1,1,13,+9,30:08,.505,.500,.167,.167,9.6,8.8,9.2,6.0,1.5,0.0,7.2,18.6,108,87
7,Luke Kennard,Los Angeles Clippers,20:57,3,5,.600,2,3,.667,0,0,0,0,4,4,1,0,0,1,1,8,+15,20:57,.800,.800,.600,.000,0.0,17.0,8.8,7.9,0.0,0.0,16.7,11.5,131,89
8,Isaiah Hartenstein,Los Angeles Clippers,15:06,3,6,.500,0,0,0,1,2,.500,4,3,7,0,1,3,0,2,7,+10,15:06,.509,.500,.000,.333,25.4,17.7,21.4,0.0,3.1,25.8,0.0,18.4,126,66
9,Brandon Boston Jr.,Los Angeles Clippers,3:17,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+2,3:17,.000,.000,.000,.000,0.0,0.0,0.0,0.0,14.2,0.0,0.0,12.3,0,59
10,Amir Coffey,Los Angeles Clippers,3:17,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,+2,3:17,.000,.000,.000,.000,0.0,27.1,14.1,0.0,0.0,0.0,50.0,24.6,0,86
11,Justise Winslow,Los Angeles Clippers,3:17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,+2,3:17,0,0,0,0,0.0,54.1,28.1,40.6,0.0,0.0,100.0,12.3,37,78
12,Team Totals,Los Angeles Clippers,240,36,88,.409,6,28,.214,26,32,.813,15,47,62,18,12,4,17,16,104,0,240,.509,.443,.318,.364,30.0,87.0,59.6,50.0,11.7,10.8,14.3,100.0,101.0,81.6
0,Karl-Anthony Towns,Minnesota Timberwolves,31:49,7,11,.636,3,5,.600,3,3,1.000,1,7,8,0,1,0,6,5,20,-28,31:49,.812,.773,.455,.273,2.8,21.1,11.6,0.0,1.5,0.0,32.8,24.4,97,100
1,Anthony Edwards,Minnesota Timberwolves,31:38,7,22,.318,3,12,.250,0,1,.000,0,1,1,3,2,3,2,4,17,+1,31:38,.379,.386,.545,.045,0.0,3.0,1.5,22.3,2.9,7.6,8.2,32.8,74,100
2,Patrick Beverley,Minnesota Timberwolves,27:21,2,6,.333,1,2,.500,0,0,0,0,4,4,3,0,0,2,6,5,-23,27:21,.417,.417,.333,.000,0.0,14.0,6.8,19.2,0.0,0.0,25.0,12.4,76,106
3,Taurean Prince,Minnesota Timberwolves,24:10,2,8,.250,1,5,.200,0,0,0,2,5,7,2,0,0,1,3,5,-13,24:10,.313,.313,.625,.000,7.4,19.9,13.4,14.7,0.0,0.0,11.1,15.8,75,104
4,Jaden McDaniels,Minnesota Timberwolves,12:56,2,3,.667,1,1,1.000,0,0,0,1,1,2,1,0,1,1,6,5,0,12:56,.833,.833,.333,.000,6.9,7.4,7.1,15.7,0.0,6.2,25.0,13.1,126,105
6,Malik Beasley,Minnesota Timberwolves,35:54,6,18,.333,6,16,.375,0,0,0,0,1,1,1,1,0,1,1,18,-28,35:54,.500,.500,.889,.000,0.0,2.7,1.3,5.8,1.3,0.0,5.3,22.5,92,108
7,Jarred Vanderbilt,Minnesota Timberwolves,22:19,1,3,.333,0,1,.000,0,0,0,3,5,8,0,1,2,3,5,2,-7,22:19,.333,.333,.333,.000,11.9,21.5,16.5,0.0,2.1,7.2,50.0,11.4,54,95
8,Jordan McLaughlin,Minnesota Timberwolves,18:35,1,7,.143,0,4,.000,0,0,0,0,3,3,5,1,0,2,0,2,-2,18:35,.143,.143,.571,.000,0.0,15.5,7.5,45.4,2.5,0.0,22.2,20.6,51,100
9,Naz Reid,Minnesota Timberwolves,16:11,3,6,.500,2,3,.667,0,1,.000,0,5,5,2,0,1,2,3,8,+8,16:11,.621,.667,.500,.167,0.0,29.7,14.3,26.8,0.0,4.9,23.7,22.1,95,97
10,Jaylen Nowell,Minnesota Timberwolves,9:16,0,3,.000,0,1,.000,0,0,0,0,0,0,0,1,0,0,0,0,-2,9:16,.000,.000,.333,.000,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.7,0,101
11,Nathan Knight,Minnesota Timberwolves,3:17,0,0,0,0,0,0,2,2,1.000,0,1,1,0,0,0,0,0,2,-2,3:17,.000,.000,1.000,.000,0.0,29.2,14.1,0.0,0.0,0.0,33.3,38.8,0,100
12,Leandro Bolmaro,Minnesota Timberwolves,3:17,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,1,0,0,-2,3:17,1.136,0,0,0,0.0,29.2,14.1,0.0,0.0,0.0,0.0,11.4,250,100
13,Jake Layman,Minnesota Timberwolves,3:17,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-2,3:17,0,0,0,0,0.0,29.2,14.1,0.0,14.2,0.0,0,0.0,0,69
