,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Miles Bridges,Charlotte Hornets,37:06,4,14,.286,1,5,.200,1,5,.200,1,4,5,2,1,0,0,3,10,-30,37:06,.309,.321,.357,.357,2.6,15.2,7.7,6.8,1.3,0.0,0.0,18.8,71,140
1,Gordon Hayward,Charlotte Hornets,34:42,10,17,.588,3,6,.500,2,2,1.000,0,2,2,2,0,0,1,1,25,-20,34:42,.699,.676,.353,.118,0.0,8.1,3.3,9.5,0.0,0.0,5.3,23.5,126,145
2,Terry Rozier,Charlotte Hornets,30:54,3,14,.214,1,7,.143,2,2,1.000,0,1,1,4,0,0,0,0,9,-16,30:54,.302,.250,.500,.143,0.0,4.6,1.8,16.2,0.0,0.0,0.0,20.8,76,146
3,LaMelo Ball,Charlotte Hornets,30:42,9,14,.643,4,8,.500,2,2,1.000,1,2,3,13,0,0,2,1,24,-16,30:42,.806,.786,.571,.143,3.1,9.2,5.6,70.3,0.0,0.0,11.8,23.7,153,145
4,Mason Plumlee,Charlotte Hornets,21:51,2,2,1.000,0,0,0,1,5,.200,1,5,6,4,1,1,0,6,5,-13,21:51,.595,1.000,.000,2.500,4.4,32.3,15.7,22.8,2.2,5.1,0.0,8.3,143,131
6,Cody Martin,Charlotte Hornets,20:04,5,5,1.000,0,0,0,2,2,1.000,0,1,1,1,2,2,1,0,12,-14,20:04,1.020,1.000,.000,.400,0.0,7.0,2.8,7.7,4.7,11.1,14.5,14.8,168,129
7,Nick Richards,Charlotte Hornets,18:42,2,5,.400,0,0,0,3,3,1.000,2,0,2,2,3,1,1,3,7,-12,18:42,.554,.400,.000,.600,10.3,0.0,6.1,13.6,7.6,6.0,13.7,16.9,118,126
8,Jalen McDaniels,Charlotte Hornets,14:40,3,5,.600,1,3,.333,0,0,0,1,2,3,0,1,0,1,2,7,+2,14:40,.700,.700,.600,.000,6.5,19.3,11.7,0.0,3.2,0.0,16.7,17.7,108,134
9,Kelly Oubre Jr.,Charlotte Hornets,13:49,4,10,.400,1,5,.200,0,0,0,1,3,4,0,0,0,1,2,9,-14,13:49,.450,.450,.500,.000,6.9,30.7,16.5,0.0,0.0,0.0,9.1,34.4,80,139
10,Ish Smith,Charlotte Hornets,12:03,1,3,.333,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,-11,12:03,.333,.333,.000,.000,0.0,11.7,4.7,10.2,0.0,9.3,40.0,17.9,47,140
11,James Bouknight,Charlotte Hornets,3:31,0,3,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,-5,3:31,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0,147
12,Kai Jones,Charlotte Hornets,1:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1:56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.3,0,147
