,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tyrese Maxey,Philadelphia 76ers,44:13,5,9,.556,0,1,.000,0,0,0,0,3,3,8,1,1,1,1,10,+3,44:13,.556,.556,.111,.000,0.0,6.1,3.7,23.1,1.2,1.7,10.0,10.5,129,116
1,Shake Milton,Philadelphia 76ers,35:31,4,10,.400,0,2,.000,5,5,1.000,1,6,7,6,2,1,0,2,13,+6,35:31,.533,.400,.200,.500,4.0,15.3,10.9,21.6,2.9,2.1,0.0,16.0,135,107
2,Joel Embiid,Philadelphia 76ers,34:02,11,19,.579,4,5,.800,4,7,.571,1,15,16,3,0,2,6,1,30,+16,34:02,.679,.684,.263,.368,4.1,39.9,25.9,15.4,0.0,4.5,21.4,38.3,107,99
3,Seth Curry,Philadelphia 76ers,33:14,5,11,.455,0,3,.000,1,1,1.000,0,1,1,1,1,0,2,1,11,+13,33:14,.481,.455,.273,.091,0.0,2.7,1.7,4.0,1.5,0.0,14.9,18.8,85,118
4,Paul Reed,Philadelphia 76ers,21:35,5,6,.833,0,0,0,0,0,0,4,1,5,0,1,1,2,4,10,-14,21:35,.833,.833,.000,.000,26.2,4.2,12.8,0.0,2.4,3.5,25.0,17.2,134,113
6,Furkan Korkmaz,Philadelphia 76ers,32:26,9,13,.692,7,9,.778,0,0,0,0,6,6,1,0,0,2,3,25,+16,32:26,.962,.962,.692,.000,0.0,16.8,10.2,5.0,0.0,0.0,13.3,21.5,151,113
7,Georges Niang,Philadelphia 76ers,25:01,3,10,.300,2,6,.333,4,4,1.000,0,1,1,2,1,0,0,5,12,+12,25:01,.510,.400,.600,.400,0.0,3.6,2.2,10.3,2.0,0.0,0.0,21.8,116,116
8,Andre Drummond,Philadelphia 76ers,13:58,1,3,.333,0,0,0,1,2,.500,0,2,2,1,0,0,1,5,3,-7,13:58,.387,.333,.000,.667,0.0,13.0,7.9,8.7,0.0,0.0,20.5,16.2,74,115
9,Aaron Henry,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Charles Bassey,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jaden Springer,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Philadelphia 76ers,240,43,81,.531,13,26,.500,15,19,.789,6,35,41,22,6,5,14,22,114,0,240,.638,.611,.321,.235,17.6,66.0,47.1,51.2,6.4,7.9,13.5,100.0,121.0,111.4
0,Zach LaVine,Chicago Bulls,38:03,12,26,.462,3,10,.300,5,8,.625,1,8,9,3,0,0,4,2,32,-14,38:03,.542,.519,.385,.308,2.4,29.7,13.0,17.3,0.0,0.0,11.9,37.0,105,123
1,Lonzo Ball,Chicago Bulls,38:00,3,9,.333,2,5,.400,0,0,0,1,4,5,5,1,0,2,4,8,-3,38:00,.444,.444,.556,.000,2.4,14.9,7.3,19.0,1.3,0.0,18.2,12.2,97,122
2,Nikola Vučević,Chicago Bulls,35:40,5,16,.313,1,7,.143,0,0,0,2,9,11,2,0,0,0,3,11,-9,35:40,.344,.344,.438,.000,5.1,35.6,17.0,8.9,0.0,0.0,0.0,18.9,92,122
3,DeMar DeRozan,Chicago Bulls,35:15,7,15,.467,1,1,1.000,10,12,.833,2,2,4,4,2,0,0,2,25,-1,35:15,.616,.500,.067,.800,5.1,8.0,6.3,19.8,2.9,0.0,0.0,24.2,146,119
4,Javonte Green,Chicago Bulls,18:13,1,5,.200,0,1,.000,0,0,0,2,1,3,0,2,0,0,0,2,-7,18:13,.200,.200,.200,.000,9.9,7.7,9.1,0.0,5.6,0.0,0.0,11.5,72,113
6,Alex Caruso,Chicago Bulls,32:13,3,7,.429,0,3,.000,3,4,.750,2,1,3,4,1,0,2,3,9,-14,32:13,.514,.429,.429,.571,5.6,4.4,5.1,18.3,1.6,0.0,18.6,14.0,107,123
7,Derrick Jones Jr.,Chicago Bulls,17:36,3,4,.750,0,1,.000,6,6,1.000,3,1,4,0,0,1,0,1,12,+4,17:36,.904,.750,.250,1.500,15.4,8.0,12.5,0.0,0.0,5.0,0.0,15.9,199,121
8,Ayo Dosunmu,Chicago Bulls,12:40,1,5,.200,0,1,.000,0,0,0,0,0,0,1,1,0,1,4,2,-1,12:40,.200,.200,.200,.000,0.0,0.0,0.0,11.4,4.0,0.0,16.7,19.9,47,117
9,Tony Bradley,Chicago Bulls,12:20,2,5,.400,0,0,0,0,0,0,5,2,7,1,0,0,0,0,4,0,12:20,.400,.400,.000,.000,36.7,22.9,31.3,13.3,0.0,0.0,0.0,17.0,128,124
10,Troy Brown Jr.,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alize Johnson,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tyler Cook,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Matt Thomas,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Chicago Bulls,240,37,92,.402,7,29,.241,24,30,.800,18,28,46,20,7,1,9,19,105,0,240,.499,.440,.315,.326,34.0,82.4,52.9,54.1,7.4,1.8,7.9,100.0,111.4,121.0
