,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Giannis Antetokounmpo,Milwaukee Bucks,39:11,12,26,.462,0,4,.000,5,12,.417,6,12,18,5,3,1,3,4,29,-6,39:11,.464,.462,.154,.462,13.6,39.7,24.2,27.5,3.8,2.3,8.8,36.9,102,97
1,Grayson Allen,Milwaukee Bucks,34:05,6,12,.500,3,8,.375,4,4,1.000,0,1,1,2,4,0,1,0,19,-2,34:05,.690,.625,.667,.333,0.0,3.8,1.5,9.9,5.8,0.0,6.8,18.2,140,99
2,George Hill,Milwaukee Bucks,32:53,3,10,.300,0,5,.000,0,0,0,0,0,0,3,0,0,2,1,6,0,32:53,.300,.300,.500,.000,0.0,0.0,0.0,13.4,0.0,0.0,16.7,15.4,66,112
3,Bobby Portis,Milwaukee Bucks,30:40,6,17,.353,1,3,.333,0,0,0,5,8,13,2,4,2,2,1,13,+10,30:40,.382,.382,.176,.000,14.5,33.8,22.4,11.3,6.4,5.8,10.5,26.1,89,89
4,Jrue Holiday,Milwaukee Bucks,29:53,6,16,.375,2,7,.286,0,0,0,1,4,5,4,1,0,2,1,14,0,29:53,.438,.438,.438,.000,3.0,17.4,8.8,23.5,1.6,0.0,11.1,25.4,94,107
6,Pat Connaughton,Milwaukee Bucks,28:41,2,8,.250,2,6,.333,1,2,.500,1,4,5,1,2,0,2,1,7,-8,28:41,.394,.375,.750,.250,3.1,18.1,9.2,5.0,3.4,0.0,18.4,16.0,77,103
7,Semi Ojeleye,Milwaukee Bucks,17:40,1,1,1.000,1,1,1.000,0,0,0,3,1,4,0,0,0,0,0,3,-9,17:40,1.500,1.500,1.000,.000,15.1,7.3,11.9,0.0,0.0,0.0,0.0,2.4,257,111
8,Jordan Nwora,Milwaukee Bucks,13:21,1,3,.333,1,2,.500,0,0,0,0,2,2,0,0,0,0,1,3,-5,13:21,.500,.500,.667,.000,0.0,19.4,7.9,0.0,0.0,0.0,0.0,9.5,111,110
9,Justin Robinson,Milwaukee Bucks,7:36,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-8,7:36,.000,.000,.000,.000,0.0,17.1,6.9,0.0,0.0,0.0,0.0,5.5,0,109
10,Thanasis Antetokounmpo,Milwaukee Bucks,5:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,5:58,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
11,Georgios Kalaitzakis,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Rodney Hood,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Milwaukee Bucks,240,37,94,.394,10,36,.278,10,18,.556,16,33,49,17,14,3,12,10,94,0,240,.461,.447,.383,.191,29.6,89.2,53.8,45.9,14.3,5.6,10.5,100.0,96.1,103.2
0,Bradley Beal,Washington Wizards,37:23,14,22,.636,2,3,.667,0,1,.000,0,5,5,8,0,1,6,2,30,+7,37:23,.668,.682,.136,.045,0.0,11.9,7.1,44.6,0.0,2.2,21.1,34.5,108,102
1,Kyle Kuzma,Washington Wizards,29:43,6,11,.545,3,8,.375,0,0,0,0,10,10,5,0,1,3,2,15,+2,29:43,.682,.682,.727,.000,0.0,29.9,17.8,25.8,0.0,2.8,21.4,21.4,110,93
2,Spencer Dinwiddie,Washington Wizards,26:28,2,8,.250,2,5,.400,0,0,0,1,1,2,4,0,0,1,4,6,+6,26:28,.375,.375,.625,.000,4.9,3.4,4.0,19.4,0.0,0.0,11.1,15.4,90,106
3,Kentavious Caldwell-Pope,Washington Wizards,25:46,2,6,.333,1,2,.500,0,1,.000,0,2,2,0,4,0,2,1,5,+6,25:46,.388,.417,.333,.167,0.0,6.9,4.1,0.0,7.6,0.0,23.7,14.9,55,89
4,Daniel Gafford,Washington Wizards,21:39,5,6,.833,0,0,0,1,2,.500,2,6,8,0,0,2,0,1,11,-2,21:39,.799,.833,.000,.333,12.0,24.6,19.5,0.0,0.0,7.6,0.0,14.4,162,93
6,Deni Avdija,Washington Wizards,27:23,1,3,.333,1,2,.500,0,0,0,1,8,9,4,1,1,0,2,3,+10,27:23,.500,.500,.667,.000,4.7,26.0,17.3,17.9,1.8,3.0,0.0,5.0,143,90
7,Montrezl Harrell,Washington Wizards,26:05,5,7,.714,0,0,0,5,5,1.000,0,4,4,1,1,2,3,2,15,+7,26:05,.815,.714,.000,.714,0.0,13.6,8.1,5.8,1.9,6.3,24.6,21.2,120,94
8,Raul Neto,Washington Wizards,22:21,2,8,.250,0,2,.000,0,0,0,0,1,1,0,1,0,2,1,4,+4,22:21,.250,.250,.250,.000,0.0,4.0,2.4,0.0,2.2,0.0,20.0,20.3,39,102
9,Corey Kispert,Washington Wizards,11:46,2,5,.400,1,3,.333,0,0,0,0,0,0,0,0,0,1,0,5,-4,11:46,.500,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,23.2,76,110
10,Aaron Holiday,Washington Wizards,11:25,2,5,.400,1,2,.500,2,4,.500,0,1,1,2,1,1,1,1,7,-1,11:25,.518,.500,.400,.800,0.0,7.8,4.6,25.8,4.3,7.2,12.9,30.9,99,91
11,Anthony Gill,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Joel Ayayi,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Isaiah Todd,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Washington Wizards,240,41,81,.506,11,27,.407,8,13,.615,4,38,42,24,8,8,19,16,101,0,240,.582,.574,.333,.160,10.8,70.4,46.2,58.5,8.2,13.8,18.0,100.0,103.2,96.1
