,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tyler Herro,Miami Heat,37:29,10,23,.435,1,7,.143,6,6,1.000,0,8,8,2,1,0,4,3,27,+8,37:29,.527,.457,.304,.261,0.0,21.8,11.9,8.8,1.3,0.0,13.5,34.2,102,107
1,Bam Adebayo,Miami Heat,36:45,4,11,.364,0,0,0,5,5,1.000,3,4,7,7,1,1,1,4,13,-1,36:45,.492,.364,.000,.455,10.0,11.1,10.6,24.9,1.4,4.1,7.0,16.7,132,109
2,Kyle Lowry,Miami Heat,35:01,8,14,.571,2,6,.333,3,3,1.000,0,6,6,4,2,0,5,3,21,-2,35:01,.685,.643,.429,.214,0.0,17.5,9.6,17.7,2.8,0.0,24.6,25.1,111,105
3,Duncan Robinson,Miami Heat,34:01,8,14,.571,6,11,.545,0,0,0,0,4,4,4,1,0,1,5,22,+20,34:01,.786,.786,.786,.000,0.0,12.0,6.6,18.4,1.5,0.0,6.7,19.1,156,110
4,P.J. Tucker,Miami Heat,33:13,5,6,.833,3,3,1.000,0,0,0,5,6,11,3,0,0,4,3,13,+14,33:13,1.083,1.083,.500,.000,18.5,18.4,18.5,12.5,0.0,0.0,40.0,13.0,133,111
6,Max Strus,Miami Heat,22:45,1,3,.333,1,2,.500,0,0,0,0,5,5,1,0,1,1,1,3,-6,22:45,.500,.500,.667,.000,0.0,22.4,12.3,5.3,0.0,6.6,25.0,7.6,90,108
7,Gabe Vincent,Miami Heat,14:50,1,4,.250,0,1,.000,0,0,0,2,1,3,1,1,0,2,4,2,0,14:50,.250,.250,.250,.000,16.6,6.9,11.3,8.3,3.4,0.0,33.3,17.5,64,107
8,Caleb Martin,Miami Heat,14:47,3,8,.375,0,3,.000,0,2,.000,1,0,1,0,0,1,0,1,6,-8,14:47,.338,.375,.375,.250,8.3,0.0,3.8,0.0,0.0,10.1,0.0,26.0,81,115
9,Dewayne Dedmon,Miami Heat,11:09,2,2,1.000,0,0,0,0,0,0,2,1,3,1,0,0,1,1,4,+5,11:09,1.000,1.000,.000,.000,22.1,9.2,15.0,12.9,0.0,0.0,33.3,11.6,144,115
10,KZ Okpala,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Udonis Haslem,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Omer Yurtseven,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Miami Heat,240,42,85,.494,13,33,.394,14,16,.875,13,35,48,23,6,3,19,25,111,0,240,.603,.571,.388,.188,33.3,74.5,55.8,54.8,6.2,9.4,17.1,100.0,115.4,109.1
0,Donovan Mitchell,Utah Jazz,37:07,8,19,.421,3,10,.300,3,5,.600,1,5,6,4,5,0,3,5,22,+5,37:07,.519,.500,.526,.263,2.8,16.6,9.0,21.0,6.7,0.0,12.4,27.9,101,106
1,Rudy Gobert,Utah Jazz,34:55,5,7,.714,0,0,0,4,5,.800,4,9,13,0,3,0,1,1,14,+8,34:55,.761,.714,.000,.714,11.7,31.7,20.8,0.0,4.3,0.0,9.8,12.5,148,107
2,Royce O'Neale,Utah Jazz,34:44,3,7,.429,1,5,.200,0,0,0,2,0,2,3,2,2,1,1,7,-8,34:44,.500,.500,.714,.000,5.9,0.0,3.2,13.4,2.9,5.3,12.5,9.9,113,117
3,Bojan Bogdanović,Utah Jazz,28:25,8,19,.421,6,13,.462,4,4,1.000,2,4,6,3,0,0,3,4,26,-7,28:25,.626,.579,.684,.211,7.2,17.3,11.8,23.6,0.0,0.0,12.6,35.8,116,121
4,Mike Conley,Utah Jazz,27:00,2,7,.286,2,5,.400,0,0,0,0,1,1,8,0,0,1,0,6,-14,27:00,.429,.429,.714,.000,0.0,4.6,2.1,45.2,0.0,0.0,12.5,12.7,119,125
6,Jordan Clarkson,Utah Jazz,32:24,8,17,.471,4,13,.308,5,5,1.000,0,3,3,3,2,0,4,2,25,+5,32:24,.651,.588,.765,.294,0.0,11.4,5.2,19.2,3.1,0.0,17.2,30.7,111,116
7,Joe Ingles,Utah Jazz,23:13,1,5,.200,1,4,.250,1,2,.500,0,1,1,2,0,0,1,2,4,-3,23:13,.340,.300,.800,.400,0.0,5.3,2.4,12.6,0.0,0.0,14.5,12.7,78,125
8,Hassan Whiteside,Utah Jazz,12:55,0,1,.000,0,0,0,0,2,.000,2,3,5,0,1,0,0,3,0,-14,12:55,.000,.000,.000,2.000,15.8,28.6,21.6,0.0,3.9,0.0,0.0,6.2,61,109
9,Eric Paschall,Utah Jazz,9:17,0,3,.000,0,3,.000,1,2,.500,1,0,1,0,0,0,2,1,1,-2,9:17,.129,.000,1.000,.667,11.0,0.0,6.0,0.0,0.0,0.0,34.0,27.1,30,127
10,Elijah Hughes,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
