,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Alex Caruso,Chicago Bulls,38:40,2,11,.182,1,5,.200,2,2,1.000,3,6,9,5,3,1,1,4,7,+16,38:40,.295,.227,.455,.182,8.9,15.8,12.6,17.5,3.8,2.6,7.8,14.9,87,87
1,Zach LaVine,Chicago Bulls,37:57,11,27,.407,6,13,.462,1,1,1.000,0,8,8,2,0,0,4,1,29,+12,37:57,.528,.519,.481,.037,0.0,21.5,11.4,10.5,0.0,0.0,12.7,37.1,92,96
2,DeMar DeRozan,Chicago Bulls,37:45,12,16,.750,1,1,1.000,10,11,.909,1,6,7,5,0,0,2,3,35,+14,37:45,.840,.781,.063,.688,3.0,16.2,10.0,28.0,0.0,0.0,8.8,27.1,160,98
3,Lonzo Ball,Chicago Bulls,33:55,4,14,.286,2,6,.333,0,0,0,1,4,5,3,3,0,2,4,10,+7,33:55,.357,.357,.429,.000,3.4,12.0,8.0,13.1,4.3,0.0,12.5,21.1,75,89
4,Tony Bradley,Chicago Bulls,23:45,2,5,.400,0,0,0,0,0,0,1,4,5,0,1,1,2,3,4,+10,23:45,.400,.400,.000,.000,4.8,17.2,11.4,0.0,2.1,4.3,28.6,13.2,63,90
6,Javonte Green,Chicago Bulls,22:13,4,6,.667,1,2,.500,0,0,0,1,0,1,1,0,1,0,1,9,+9,22:13,.750,.750,.333,.000,5.1,0.0,2.4,7.4,0.0,4.6,0.0,12.1,154,101
7,Ayo Dosunmu,Chicago Bulls,18:36,2,4,.500,0,1,.000,0,0,0,0,4,4,2,1,0,2,2,4,-8,18:36,.500,.500,.250,.000,0.0,22.0,11.6,15.7,2.6,0.0,33.3,14.4,77,90
8,Derrick Jones Jr.,Chicago Bulls,18:00,1,2,.500,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,-6,18:00,.500,.500,.000,.000,0.0,5.7,3.0,7.5,2.7,5.7,50.0,10.0,57,91
9,Troy Brown Jr.,Chicago Bulls,9:09,0,1,.000,0,1,.000,0,0,0,0,5,5,0,0,0,0,0,0,-4,9:09,.000,.000,1.000,.000,0.0,55.8,29.5,0.0,0.0,0.0,0.0,4.9,0,84
10,Alize Johnson,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Marko Simonovic,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Matt Thomas,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
