,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bradley Beal,Washington Wizards,35:07,9,20,.450,5,11,.455,1,1,1.000,0,3,3,7,2,0,2,3,24,-9,35:07,.587,.575,.550,.050,0.0,7.7,3.8,46.2,2.9,0.0,8.9,28.7,111,105
1,Kyle Kuzma,Washington Wizards,30:28,2,12,.167,1,8,.125,0,0,0,1,4,5,3,1,2,1,1,5,-14,30:28,.208,.208,.667,.000,2.9,11.9,7.4,15.8,1.7,4.9,7.7,19.1,55,103
2,Spencer Dinwiddie,Washington Wizards,28:34,0,5,.000,0,4,.000,0,0,0,0,3,3,2,0,0,2,1,0,-5,28:34,.000,.000,.800,.000,0.0,9.5,4.7,10.2,0.0,0.0,28.6,11.0,14,111
3,Kentavious Caldwell-Pope,Washington Wizards,27:41,1,6,.167,0,5,.000,1,1,1.000,1,5,6,2,1,0,1,0,3,+2,27:41,.233,.167,.833,.167,3.2,16.4,9.7,11.1,1.9,0.0,13.4,12.1,61,104
4,Daniel Gafford,Washington Wizards,24:21,9,12,.750,0,0,0,2,5,.400,2,7,9,1,2,1,1,4,20,-2,24:21,.704,.750,.000,.417,7.3,26.0,16.6,12.9,4.2,3.1,6.6,28.0,126,91
6,Deni Avdija,Washington Wizards,24:59,2,9,.222,1,7,.143,4,4,1.000,2,9,11,0,0,1,0,1,9,-10,24:59,.418,.278,.778,.444,7.1,32.6,19.8,0.0,0.0,3.0,0.0,19.3,98,98
7,Montrezl Harrell,Washington Wizards,22:12,6,9,.667,0,0,0,3,3,1.000,5,4,9,2,0,1,0,0,15,-11,22:12,.727,.667,.000,.333,20.0,16.3,18.2,21.6,0.0,3.4,0.0,20.8,159,106
8,Raul Neto,Washington Wizards,17:59,1,6,.167,0,2,.000,0,0,0,0,0,0,3,0,0,3,2,2,-8,17:59,.167,.167,.333,.000,0.0,0.0,0.0,26.4,0.0,0.0,33.3,22.4,37,115
9,Aaron Holiday,Washington Wizards,12:53,1,6,.167,1,3,.333,0,0,0,0,0,0,1,1,0,0,0,3,-1,12:53,.250,.250,.500,.000,0.0,0.0,0.0,12.7,4.0,0.0,0.0,20.9,60,107
10,Corey Kispert,Washington Wizards,11:25,2,4,.500,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,0,6,-1,11:25,.615,.500,.500,.500,0.0,7.9,3.9,17.1,0.0,0.0,0.0,19.2,132,112
