,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Malcolm Brogdon,Indiana Pacers,35:07,8,17,.471,3,9,.333,1,2,.500,0,5,5,4,0,0,5,3,20,+11,35:07,.559,.559,.529,.118,0.0,15.5,8.0,24.8,0.0,0.0,21.9,29.7,92,106
1,Domantas Sabonis,Indiana Pacers,34:59,4,7,.571,0,1,.000,7,10,.700,3,8,11,1,0,1,5,0,15,+2,34:59,.658,.571,.143,1.429,10.0,24.9,17.8,5.0,0.0,2.6,30.5,21.4,100,102
2,Myles Turner,Indiana Pacers,30:51,2,8,.250,1,5,.200,1,2,.500,1,3,4,0,1,1,4,2,6,0,30:51,.338,.313,.625,.250,3.8,10.6,7.3,0.0,1.6,3.0,31.1,19.0,51,102
3,Caris LeVert,Indiana Pacers,30:31,7,18,.389,3,10,.300,1,1,1.000,0,3,3,1,1,0,1,2,18,-8,30:31,.488,.472,.556,.056,0.0,10.7,5.6,7.2,1.7,0.0,5.1,29.0,95,104
4,Kelan Martin,Indiana Pacers,27:29,1,7,.143,0,3,.000,0,0,0,2,2,4,2,1,2,1,5,2,-9,27:29,.143,.143,.429,.000,8.5,7.9,8.2,11.2,1.8,6.7,12.5,13.3,54,99
6,T.J. McConnell,Indiana Pacers,26:34,2,6,.333,0,0,0,2,2,1.000,0,4,4,4,2,1,0,2,6,-11,26:34,.436,.333,.000,.333,0.0,16.4,8.5,24.6,3.8,3.5,0.0,11.8,113,95
7,Justin Holiday,Indiana Pacers,21:27,3,7,.429,1,5,.200,0,0,0,1,4,5,1,0,0,2,3,7,-16,21:27,.500,.500,.714,.000,5.5,20.3,13.2,8.5,0.0,0.0,22.2,19.1,85,105
8,Torrey Craig,Indiana Pacers,19:05,5,7,.714,0,2,.000,0,0,0,0,5,5,0,0,0,0,3,10,-4,19:05,.714,.714,.286,.000,0.0,28.6,14.8,0.0,0.0,0.0,0.0,16.7,139,103
9,Jeremy Lamb,Indiana Pacers,9:30,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,0,5,-1,9:30,.868,.750,1.000,1.000,0.0,11.5,5.9,18.1,0.0,0.0,0.0,13.8,186,107
10,Goga Bitadze,Indiana Pacers,4:27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,-4,4:27,0,0,0,0,0.0,24.5,12.7,0.0,0.0,0.0,0,0.0,0,103
11,Brad Wanamaker,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Oshae Brissett,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Indiana Pacers,240,33,79,.418,9,37,.243,14,19,.737,7,36,43,14,5,5,18,22,89,0,240,.509,.475,.468,.241,17.1,81.8,50.6,42.4,5.3,9.6,17.1,100.0,93.5,101.9
0,Jerami Grant,Detroit Pistons,34:01,5,14,.357,0,5,.000,9,12,.750,1,2,3,0,2,0,2,1,19,+2,34:01,.493,.357,.357,.857,3.2,6.9,5.0,0.0,3.0,0.0,9.4,28.8,96,97
1,Cade Cunningham,Detroit Pistons,33:32,6,18,.333,1,8,.125,3,4,.750,0,8,8,6,2,1,1,2,16,+3,33:32,.405,.361,.444,.222,0.0,27.9,13.5,33.8,3.0,3.4,4.8,28.5,93,90
2,Saddiq Bey,Detroit Pistons,33:21,5,14,.357,3,4,.750,2,4,.500,2,4,6,0,2,0,3,2,15,-1,33:21,.476,.464,.286,.286,6.5,14.0,10.2,0.0,3.0,0.0,16.0,25.9,85,95
3,Isaiah Stewart,Detroit Pistons,31:40,2,5,.400,0,0,0,3,3,1.000,3,8,11,2,0,2,1,5,7,+2,31:40,.554,.400,.000,.600,10.3,29.6,19.6,9.8,0.0,7.2,13.7,10.6,122,94
4,Killian Hayes,Detroit Pistons,19:45,2,2,1.000,0,0,0,0,0,0,1,3,4,4,3,1,3,4,4,-2,19:45,1.000,1.000,.000,.000,5.5,17.8,11.4,33.4,7.7,5.8,60.0,11.6,101,80
6,Cory Joseph,Detroit Pistons,30:45,7,11,.636,1,3,.333,3,4,.750,0,5,5,2,1,0,1,2,18,+14,30:45,.705,.682,.273,.364,0.0,19.0,9.2,13.5,1.6,0.0,7.3,20.6,133,97
