,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Paul George,Los Angeles Clippers,31:13,9,18,.500,5,9,.556,0,0,0,1,4,5,6,0,1,1,1,23,-18,31:13,.639,.639,.500,.000,3.7,15.8,9.5,32.8,0.0,2.2,5.3,27.4,130,127
1,Reggie Jackson,Los Angeles Clippers,30:22,7,16,.438,4,8,.500,0,0,0,0,2,2,5,1,0,3,1,18,-13,30:22,.563,.563,.500,.000,0.0,8.1,3.9,25.5,1.6,0.0,15.8,28.2,102,127
2,Amir Coffey,Los Angeles Clippers,28:58,2,8,.250,2,6,.333,2,2,1.000,1,2,3,1,0,1,3,2,8,+1,28:58,.450,.375,.750,.250,3.9,8.5,6.1,4.3,0.0,2.4,25.3,18.5,76,129
3,Ivica Zubac,Los Angeles Clippers,26:53,5,8,.625,0,0,0,3,3,1.000,2,5,7,2,0,1,1,3,13,-10,26:53,.697,.625,.000,.375,8.5,22.9,15.4,10.8,0.0,2.6,9.7,17.3,139,125
4,Eric Bledsoe,Los Angeles Clippers,24:55,1,2,.500,0,1,.000,2,2,1.000,1,3,4,3,1,0,1,1,4,-2,24:55,.694,.500,.500,1.000,4.6,14.8,9.5,14.4,2.0,0.0,25.8,7.0,138,125
6,Terance Mann,Los Angeles Clippers,24:29,2,9,.222,1,5,.200,0,0,0,1,1,2,1,0,0,0,2,5,-8,24:29,.278,.278,.556,.000,4.7,5.0,4.8,5.1,0.0,0.0,0.0,16.6,72,132
7,Luke Kennard,Los Angeles Clippers,24:16,6,8,.750,3,4,.750,0,0,0,0,2,2,1,1,0,1,1,15,-15,24:16,.938,.938,.500,.000,0.0,10.1,4.9,6.6,2.1,0.0,11.1,16.7,152,126
8,Brandon Boston Jr.,Los Angeles Clippers,20:18,2,9,.222,0,2,.000,0,0,0,0,2,2,1,2,1,1,1,4,-3,20:18,.222,.222,.222,.000,0.0,12.1,5.8,6.3,4.9,3.4,10.0,22.2,48,116
9,Isaiah Hartenstein,Los Angeles Clippers,20:07,5,6,.833,0,0,0,1,1,1.000,1,5,6,4,1,2,1,3,11,+2,20:07,.854,.833,.000,.167,5.7,30.6,17.7,31.7,2.5,6.8,13.4,16.7,160,114
10,Jay Scrubb,Los Angeles Clippers,8:29,3,6,.500,1,4,.250,0,0,0,0,1,1,0,0,0,1,0,7,+6,8:29,.583,.583,.667,.000,0.0,14.5,7.0,0.0,0.0,0.0,14.3,37.2,88,129
11,Nicolas Batum,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Los Angeles Clippers,240,42,90,.467,16,39,.410,8,8,1.000,7,27,34,24,6,6,13,15,108,0,240,.577,.556,.433,.089,16.7,69.2,42.0,57.1,6.2,8.6,12.2,100.0,112.2,124.6
0,Ja Morant,Memphis Grizzlies,31:15,13,21,.619,2,5,.400,0,0,0,0,5,5,5,1,0,1,1,28,+3,31:15,.667,.667,.238,.000,0.0,18.3,9.5,24.0,1.6,0.0,4.5,30.8,138,114
1,Jaren Jackson Jr.,Memphis Grizzlies,29:26,7,16,.438,3,7,.429,1,1,1.000,2,4,6,1,0,4,1,2,18,+17,29:26,.547,.531,.438,.063,8.4,15.5,12.1,4.0,0.0,12.8,5.7,25.9,118,108
2,Desmond Bane,Memphis Grizzlies,28:44,7,11,.636,2,3,.667,0,0,0,1,4,5,2,1,1,1,2,16,+2,28:44,.727,.727,.273,.000,4.3,15.9,10.3,8.3,1.7,3.3,8.3,18.3,141,112
3,Steven Adams,Memphis Grizzlies,26:48,1,4,.250,0,0,0,0,0,0,5,5,10,5,0,1,4,3,2,+15,26:48,.250,.250,.000,.000,23.0,21.3,22.1,17.8,0.0,3.5,50.0,13.1,87,115
4,Dillon Brooks,Memphis Grizzlies,26:35,7,14,.500,1,3,.333,3,3,1.000,0,1,1,2,1,0,1,3,18,+22,26:35,.587,.536,.214,.214,0.0,4.3,2.2,9.2,1.9,0.0,6.1,26.9,122,116
6,De'Anthony Melton,Memphis Grizzlies,22:51,2,5,.400,2,3,.667,0,0,0,1,4,5,3,2,0,1,2,6,-4,22:51,.600,.600,.600,.000,5.4,20.0,13.0,13.2,4.4,0.0,16.7,11.5,126,108
7,Kyle Anderson,Memphis Grizzlies,21:45,3,6,.500,0,1,.000,0,0,0,1,2,3,3,1,1,1,1,6,-12,21:45,.500,.500,.167,.000,5.7,10.5,8.2,14.6,2.3,4.3,14.3,14.1,113,111
8,Brandon Clarke,Memphis Grizzlies,14:41,7,9,.778,0,0,0,0,0,0,1,4,5,1,1,0,0,1,14,+6,14:41,.778,.778,.000,.000,8.4,31.1,20.2,11.2,3.4,0.0,0.0,26.8,161,108
9,Tyus Jones,Memphis Grizzlies,14:35,2,2,1.000,1,1,1.000,1,2,.500,0,4,4,6,1,0,0,0,6,+12,14:35,1.042,1.250,.500,1.000,0.0,31.3,16.3,43.5,3.4,0.0,0.0,8.6,213,108
10,Ziaire Williams,Memphis Grizzlies,12:30,2,4,.500,0,2,.000,0,0,0,1,0,1,0,0,0,1,2,4,+14,12:30,.500,.500,.500,.000,9.8,0.0,4.7,0.0,0.0,0.0,20.0,17.5,91,122
11,Xavier Tillman Sr.,Memphis Grizzlies,2:10,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,2:10,.000,.000,.000,.000,0.0,52.7,27.4,0.0,0.0,0.0,0.0,20.2,0,112
12,Santi Aldama,Memphis Grizzlies,2:10,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3,2:10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,122
13,John Konchar,Memphis Grizzlies,2:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2:10,.000,.000,1.000,.000,0.0,52.7,27.4,0.0,0.0,0.0,0.0,20.2,0,112
14,Sam Merrill,Memphis Grizzlies,2:10,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,-3,2:10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,122
15,Killian Tillie,Memphis Grizzlies,2:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2:10,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,103,122
16,Team Totals,Memphis Grizzlies,240,52,96,.542,11,26,.423,5,6,.833,12,35,47,28,8,7,11,17,120,0,240,.608,.599,.271,.063,30.8,83.3,58.0,53.8,8.3,13.7,10.0,100.0,124.6,112.2
