,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,35:58,5,20,.250,2,12,.167,5,7,.714,1,5,6,3,1,0,2,3,17,-14,35:58,.368,.300,.600,.350,2.3,13.9,7.6,15.8,1.3,0.0,8.0,29.8,78,99
1,Darius Bazley,Oklahoma City Thunder,33:03,2,7,.286,0,3,.000,0,1,.000,0,7,7,0,0,3,1,1,4,-11,33:03,.269,.286,.429,.143,0.0,21.2,9.6,0.0,0.0,10.4,11.8,10.9,48,94
2,Luguentz Dort,Oklahoma City Thunder,32:23,4,13,.308,2,7,.286,0,0,0,0,6,6,1,1,0,1,4,10,-13,32:23,.385,.385,.538,.000,0.0,18.5,8.4,5.7,1.5,0.0,7.1,18.5,75,98
3,Josh Giddey,Oklahoma City Thunder,31:54,6,12,.500,0,3,.000,2,4,.500,6,6,12,4,0,0,2,0,14,-16,31:54,.509,.500,.250,.333,15.6,18.8,17.0,26.2,0.0,0.0,12.7,21.1,110,101
4,Jeremiah Robinson-Earl,Oklahoma City Thunder,27:53,3,7,.429,1,4,.250,0,1,.000,0,2,2,0,3,0,2,3,7,-20,27:53,.470,.500,.571,.143,0.0,7.2,3.2,0.0,5.2,0.0,21.2,14.5,69,92
6,Mike Muscala,Oklahoma City Thunder,20:18,4,9,.444,4,6,.667,2,2,1.000,0,9,9,0,0,1,1,2,14,+14,20:18,.709,.667,.667,.222,0.0,44.3,20.1,0.0,0.0,5.6,9.2,22.9,122,92
7,Kenrich Williams,Oklahoma City Thunder,17:49,2,9,.222,2,6,.333,1,2,.500,1,1,2,4,0,0,1,2,7,0,17:49,.354,.333,.667,.222,4.6,5.6,5.1,40.5,0.0,0.0,9.2,26.1,85,104
8,Ty Jerome,Oklahoma City Thunder,14:35,3,8,.375,1,4,.250,3,4,.750,2,2,4,1,1,0,1,2,10,+12,14:35,.512,.438,.500,.500,11.3,13.7,12.4,14.9,3.3,0.0,9.3,31.6,105,95
9,Aaron Wiggins,Oklahoma City Thunder,14:19,1,3,.333,0,2,.000,0,0,0,0,1,1,2,0,0,0,2,2,+5,14:19,.333,.333,.667,.000,0.0,7.0,3.2,23.4,0.0,0.0,0.0,9.0,94,104
10,Aleksej Pokusevski,Oklahoma City Thunder,11:48,2,3,.667,0,1,.000,0,0,0,1,3,4,2,0,0,1,3,4,+8,11:48,.667,.667,.333,.000,7.0,25.4,15.4,34.1,0.0,0.0,25.0,14.5,116,100
11,Isaiah Roby,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gabriel Deck,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Oklahoma City Thunder,240,32,91,.352,12,48,.250,13,21,.619,11,42,53,17,6,4,12,22,89,0,240,.444,.418,.527,.231,19.0,87.5,50.0,53.1,6.1,9.5,10.7,100.0,90.0,97.0
0,Jrue Holiday,Milwaukee Bucks,35:51,4,11,.364,1,4,.250,1,2,.500,0,2,2,4,3,0,2,2,10,+7,35:51,.421,.409,.364,.182,0.0,4.6,2.5,20.9,4.1,0.0,14.4,17.5,81,91
1,Giannis Antetokounmpo,Milwaukee Bucks,35:45,6,16,.375,0,4,.000,9,11,.818,0,19,19,7,2,4,5,5,21,+23,35:45,.504,.375,.250,.688,0.0,44.0,24.1,41.0,2.7,12.5,19.3,32.6,93,71
2,Khris Middleton,Milwaukee Bucks,31:59,5,13,.385,3,8,.375,3,3,1.000,0,8,8,4,1,0,4,1,16,+12,31:59,.559,.500,.615,.231,0.0,20.7,11.3,25.5,1.5,0.0,21.8,25.8,90,90
3,Bobby Portis,Milwaukee Bucks,31:03,5,13,.385,3,6,.500,4,4,1.000,4,9,13,1,2,0,0,3,17,+6,31:03,.576,.500,.462,.308,12.9,24.0,19.0,6.6,3.1,0.0,0.0,21.4,125,85
4,Grayson Allen,Milwaukee Bucks,29:09,4,9,.444,2,5,.400,1,1,1.000,0,2,2,1,0,0,0,1,11,+14,29:09,.583,.556,.556,.111,0.0,5.7,3.1,6.7,0.0,0.0,0.0,14.6,113,100
6,Pat Connaughton,Milwaukee Bucks,29:57,3,9,.333,1,6,.167,2,3,.667,1,6,7,1,1,0,1,0,9,-6,29:57,.436,.389,.667,.333,3.3,16.6,10.6,6.1,1.6,0.0,8.8,17.0,86,92
7,George Hill,Milwaukee Bucks,25:43,4,6,.667,2,3,.667,2,2,1.000,1,1,2,0,0,0,0,4,12,-10,25:43,.872,.833,.500,.333,3.9,3.2,3.5,0.0,0.0,0.0,0.0,12.1,167,100
8,Semi Ojeleye,Milwaukee Bucks,17:31,0,4,.000,0,3,.000,0,0,0,0,0,0,1,0,1,0,1,0,-16,17:31,.000,.000,.750,.000,0.0,0.0,0.0,8.8,0.0,6.4,0.0,10.3,14,98
9,Justin Robinson,Milwaukee Bucks,3:02,0,2,.000,0,2,.000,0,0,0,0,0,0,2,0,0,0,1,0,+5,3:02,.000,.000,1.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.7,48,100
10,Rodney Hood,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jordan Nwora,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Thanasis Antetokounmpo,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Milwaukee Bucks,240,31,83,.373,12,41,.293,22,26,.846,6,47,53,21,9,5,12,18,96,0,240,.508,.446,.494,.313,12.5,81.0,50.0,67.7,9.1,11.6,11.3,100.0,97.0,90.0
