,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Saddiq Bey,Detroit Pistons,33:05,4,11,.364,3,8,.375,2,4,.500,0,7,7,1,0,0,1,3,13,-18,33:05,.509,.500,.727,.364,0.0,22.6,10.2,5.1,0.0,0.0,7.3,17.9,96,117
1,Cade Cunningham,Detroit Pistons,29:54,3,10,.300,2,6,.333,1,2,.500,0,8,8,7,0,0,4,1,9,-23,29:54,.414,.400,.600,.200,0.0,28.5,12.8,38.5,0.0,0.0,26.9,21.5,77,116
2,Jerami Grant,Detroit Pistons,28:20,5,13,.385,1,6,.167,2,2,1.000,1,3,4,1,2,0,1,3,13,-17,28:20,.468,.423,.462,.154,3.1,11.3,6.8,6.6,3.4,0.0,6.7,22.6,93,112
3,Luka Garza,Detroit Pistons,22:35,2,7,.286,0,2,.000,2,2,1.000,2,3,5,0,0,0,0,1,6,-22,22:35,.381,.286,.286,.286,7.7,14.2,10.6,0.0,0.0,0.0,0.0,15.0,92,119
4,Cory Joseph,Detroit Pistons,7:20,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,-16,7:20,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,17.6,0,123
6,Saben Lee,Detroit Pistons,29:06,5,15,.333,2,7,.286,0,2,.000,1,4,5,5,4,0,0,1,12,0,29:06,.378,.400,.467,.133,3.0,14.7,8.2,32.0,6.7,0.0,0.0,23.5,91,103
7,Frank Jackson,Detroit Pistons,23:29,3,10,.300,0,5,.000,0,0,0,0,2,2,1,0,0,0,0,6,+1,23:29,.300,.300,.500,.000,0.0,9.1,4.1,7.3,0.0,0.0,0.0,18.4,66,121
8,Trey Lyles,Detroit Pistons,22:34,7,15,.467,2,8,.250,3,3,1.000,4,3,7,0,0,0,1,3,19,+3,22:34,.582,.533,.533,.200,15.5,14.2,14.9,0.0,0.0,0.0,5.8,33.1,116,119
9,Josh Jackson,Detroit Pistons,20:10,2,6,.333,1,2,.500,4,4,1.000,0,1,1,1,0,0,0,1,9,-1,20:10,.580,.417,.333,.667,0.0,5.3,2.4,8.1,0.0,0.0,0.0,16.6,126,121
10,Hamidou Diallo,Detroit Pistons,20:07,3,6,.500,0,0,0,0,0,0,1,4,5,0,1,1,0,5,6,-10,20:07,.500,.500,.000,.000,4.3,21.2,11.9,0.0,2.4,4.7,0.0,12.9,106,108
