,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Damian Lillard,Portland Trail Blazers,39:49,7,18,.389,3,12,.250,15,16,.938,2,4,6,10,0,0,2,3,32,-1,39:49,.639,.472,.667,.889,5.7,11.0,8.4,33.9,0.0,0.0,7.4,27.6,145,130
1,CJ McCollum,Portland Trail Blazers,36:21,6,20,.300,1,6,.167,0,0,0,4,1,5,6,1,0,4,5,13,-17,36:21,.325,.325,.300,.000,12.6,3.0,7.7,22.0,1.3,0.0,16.7,26.9,82,129
2,Norman Powell,Portland Trail Blazers,35:10,8,16,.500,5,10,.500,1,2,.500,0,2,2,0,2,0,1,3,22,-6,35:10,.652,.656,.625,.125,0.0,6.2,3.2,0.0,2.7,0.0,5.6,20.7,123,125
3,Jusuf Nurkić,Portland Trail Blazers,31:54,12,17,.706,0,2,.000,4,5,.800,3,14,17,5,1,0,2,6,28,-1,31:54,.729,.706,.118,.294,10.7,47.9,29.7,29.0,1.5,0.0,9.4,27.0,144,115
4,Robert Covington,Portland Trail Blazers,15:16,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,15:16,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.3,0,133
6,Nassir Little,Portland Trail Blazers,27:16,7,10,.700,2,3,.667,0,0,0,2,1,3,1,1,1,1,3,16,-2,27:16,.800,.800,.300,.000,8.4,4.0,6.1,5.6,1.8,3.3,9.1,16.4,147,126
7,Dennis Smith Jr.,Portland Trail Blazers,19:51,1,5,.200,0,1,.000,1,2,.500,0,2,2,4,2,0,2,1,3,+10,19:51,.255,.200,.200,.400,0.0,11.0,5.6,23.3,4.8,0.0,25.4,16.1,68,119
8,Larry Nance Jr.,Portland Trail Blazers,19:34,2,5,.400,1,4,.250,0,0,0,1,3,4,0,1,0,0,1,5,+8,19:34,.500,.500,.800,.000,5.8,16.7,11.4,0.0,2.5,0.0,0.0,10.4,117,123
9,Cody Zeller,Portland Trail Blazers,10:04,1,2,.500,0,0,0,0,0,0,1,3,4,1,1,0,0,4,2,-5,10:04,.500,.500,.000,.000,11.4,32.5,22.2,12.2,4.8,0.0,0.0,8.1,141,111
10,Tony Snell,Portland Trail Blazers,4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4:45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,133
11,Greg Brown III,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ben McLemore,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Trendon Watford,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CJ Elleby,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Portland Trail Blazers,240,44,94,.468,12,38,.316,21,25,.840,13,30,43,27,9,1,13,26,121,0,240,.576,.532,.404,.266,31.0,68.2,50.0,61.4,9.0,1.9,11.0,100.0,121.0,124.9
0,Tyrese Haliburton,Sacramento Kings,32:46,2,9,.222,1,6,.167,1,2,.500,1,3,4,6,3,1,2,0,6,+5,32:46,.304,.278,.667,.222,3.3,10.5,6.8,20.9,4.4,2.6,16.8,15.1,89,114
1,Harrison Barnes,Sacramento Kings,28:54,4,7,.571,1,3,.333,4,7,.571,0,3,3,1,0,0,1,0,13,+5,28:54,.645,.643,.429,1.000,0.0,11.9,5.8,4.3,0.0,0.0,9.0,16.0,125,125
2,De'Aaron Fox,Sacramento Kings,27:29,8,13,.615,1,3,.333,4,4,1.000,0,2,2,6,1,0,5,3,21,+5,27:29,.711,.654,.231,.308,0.0,8.3,4.1,33.8,1.7,0.0,25.3,30.0,118,122
3,Maurice Harkless,Sacramento Kings,24:17,5,9,.556,1,4,.250,1,2,.500,1,3,4,0,0,1,1,1,12,+8,24:17,.607,.611,.444,.222,4.5,14.1,9.2,0.0,0.0,3.5,9.2,18.7,117,122
4,Alex Len,Sacramento Kings,17:14,5,6,.833,1,2,.500,1,1,1.000,0,3,3,2,0,1,0,4,12,+14,17:14,.932,.917,.333,.167,0.0,19.9,9.7,17.9,0.0,5.0,0.0,15.6,194,119
6,Davion Mitchell,Sacramento Kings,30:08,6,11,.545,0,1,.000,4,6,.667,2,0,2,3,0,0,0,4,16,-8,30:08,.587,.545,.091,.545,7.2,0.0,3.7,13.5,0.0,0.0,0.0,18.9,141,128
7,Buddy Hield,Sacramento Kings,29:45,6,15,.400,5,11,.455,5,6,.833,0,4,4,0,0,1,3,0,22,+2,29:45,.624,.567,.733,.400,0.0,15.4,7.5,0.0,0.0,2.9,14.5,29.0,112,122
8,Marvin Bagley III,Sacramento Kings,18:41,4,6,.667,2,3,.667,0,1,.000,3,5,8,0,0,0,2,3,10,-1,18:41,.776,.833,.500,.167,17.5,30.6,23.9,0.0,0.0,0.0,23.7,18.9,122,119
9,Damian Jones,Sacramento Kings,18:22,3,5,.600,0,0,0,3,5,.600,3,2,5,2,0,0,0,4,9,+6,18:22,.625,.600,.000,1.000,17.8,12.4,15.2,14.1,0.0,0.0,0.0,16.4,154,124
10,Tristan Thompson,Sacramento Kings,12:24,2,5,.400,0,0,0,0,0,0,4,4,8,1,0,0,0,2,4,-16,12:24,.400,.400,.000,.000,35.2,36.9,36.0,10.4,0.0,0.0,0.0,16.8,132,117
11,Louis King,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Chimezie Metu,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Terence Davis,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,45,86,.523,12,33,.364,23,34,.676,14,29,43,21,4,4,14,21,125,0,240,.619,.593,.384,.395,31.8,69.0,50.0,46.7,4.0,7.1,12.2,100.0,124.9,121.0
