,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Giannis Antetokounmpo,Milwaukee Bucks,32:40,10,15,.667,0,2,.000,6,10,.600,4,9,13,3,0,1,5,1,26,+12,32:40,.670,.667,.133,.667,12.8,25.9,19.7,14.1,0.0,3.1,20.5,31.8,114,101
1,Jrue Holiday,Milwaukee Bucks,31:00,11,21,.524,1,7,.143,0,0,0,2,5,7,9,1,0,1,1,23,+23,31:00,.548,.548,.333,.000,6.7,15.2,11.2,48.1,1.6,0.0,4.5,30.2,127,103
2,Grayson Allen,Milwaukee Bucks,30:08,3,5,.600,2,4,.500,0,0,0,0,2,2,4,1,1,0,1,8,+17,30:08,.800,.800,.800,.000,0.0,6.2,3.3,15.5,1.6,3.4,0.0,7.1,173,104
3,Khris Middleton,Milwaukee Bucks,29:36,6,13,.462,1,5,.200,1,1,1.000,0,5,5,5,2,0,3,3,14,+14,29:36,.521,.500,.385,.077,0.0,15.9,8.4,22.4,3.3,0.0,18.2,23.7,98,98
4,Bobby Portis,Milwaukee Bucks,26:26,5,10,.500,1,3,.333,4,4,1.000,1,5,6,2,0,1,1,3,15,+6,26:26,.638,.550,.300,.400,3.9,17.8,11.2,9.8,0.0,3.9,7.8,20.6,131,103
6,Pat Connaughton,Milwaukee Bucks,29:28,6,11,.545,1,6,.167,1,1,1.000,2,5,7,2,1,0,0,2,14,+6,29:28,.612,.591,.545,.091,7.1,16.0,11.8,9.0,1.7,0.0,0.0,16.5,139,102
7,George Hill,Milwaukee Bucks,29:04,3,8,.375,1,5,.200,6,6,1.000,2,4,6,2,2,0,2,3,13,+16,29:04,.611,.438,.625,.750,7.2,13.0,10.2,8.0,3.4,0.0,15.8,18.5,121,99
8,Rodney Hood,Milwaukee Bucks,21:39,1,4,.250,1,2,.500,0,0,0,1,3,4,0,0,0,0,0,3,-2,21:39,.375,.375,.500,.000,4.8,13.0,9.1,0.0,0.0,0.0,0.0,7.9,98,107
9,Jordan Nwora,Milwaukee Bucks,5:27,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,-4,5:27,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,23.4,0,112
10,Sandro Mamukelashvili,Milwaukee Bucks,3:24,1,1,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,+2,3:24,1.000,1.000,.000,.000,30.7,27.7,29.1,0.0,0.0,0.0,0.0,12.5,206,102
11,Georgios Kalaitzakis,Milwaukee Bucks,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
12,Justin Robinson,Milwaukee Bucks,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
13,Thanasis Antetokounmpo,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Milwaukee Bucks,240,46,90,.511,8,35,.229,18,22,.818,13,39,52,27,7,3,13,14,118,0,240,.592,.556,.389,.244,28.3,76.5,53.6,58.7,7.1,6.4,11.5,100.0,120.2,101.9
0,Malcolm Brogdon,Indiana Pacers,33:46,5,12,.417,2,8,.250,4,4,1.000,1,2,3,2,0,0,1,1,16,-10,33:46,.581,.500,.667,.333,2.8,6.2,4.4,9.2,0.0,0.0,6.8,18.7,120,125
1,Caris LeVert,Indiana Pacers,26:38,9,13,.692,4,5,.800,1,2,.500,0,2,2,1,0,0,3,4,23,-8,26:38,.829,.846,.385,.154,0.0,7.8,3.7,8.3,0.0,0.0,17.8,27.2,122,125
2,Justin Holiday,Indiana Pacers,25:10,4,11,.364,2,8,.250,0,0,0,0,2,2,2,0,2,0,3,10,-13,25:10,.455,.455,.727,.000,0.0,8.3,3.9,12.6,0.0,6.9,0.0,18.7,102,120
3,Myles Turner,Indiana Pacers,22:38,1,4,.250,0,3,.000,0,0,0,2,6,8,1,0,0,1,3,2,-9,22:38,.250,.250,.750,.000,8.3,27.7,17.5,5.9,0.0,0.0,20.0,9.5,71,119
4,Domantas Sabonis,Indiana Pacers,21:45,1,8,.125,0,2,.000,2,3,.667,2,8,10,5,0,0,3,2,4,-11,21:45,.215,.125,.250,.375,8.7,38.4,22.8,30.8,0.0,0.0,24.4,24.3,64,116
6,Chris Duarte,Indiana Pacers,30:12,4,10,.400,2,6,.333,0,0,0,0,4,4,4,3,0,1,0,10,-15,30:12,.500,.500,.600,.000,0.0,13.8,6.6,20.1,4.9,0.0,9.1,15.6,105,113
7,T.J. McConnell,Indiana Pacers,16:26,4,9,.444,0,2,.000,2,2,1.000,3,2,5,1,0,0,0,2,10,-10,16:26,.506,.444,.222,.222,17.2,12.7,15.1,11.1,0.0,0.0,0.0,25.8,121,123
8,Kelan Martin,Indiana Pacers,15:13,3,6,.500,0,1,.000,1,2,.500,0,2,2,0,1,0,2,2,7,-16,15:13,.509,.500,.167,.333,0.0,13.7,6.5,0.0,3.2,0.0,22.5,25.0,76,116
9,Jeremy Lamb,Indiana Pacers,12:52,0,4,.000,0,3,.000,0,0,0,0,2,2,1,1,0,0,1,0,+3,12:52,.000,.000,.750,.000,0.0,16.2,7.7,9.8,3.8,0.0,0.0,13.3,17,114
10,Isaiah Jackson,Indiana Pacers,9:15,2,4,.500,0,0,0,0,0,0,2,1,3,0,0,0,0,2,4,+2,9:15,.500,.500,.000,.000,20.3,11.3,16.0,0.0,0.0,0.0,0.0,18.5,120,124
11,Torrey Craig,Indiana Pacers,6:56,1,3,.333,1,2,.500,0,0,0,1,0,1,0,0,0,1,0,3,-9,6:56,.500,.500,.667,.000,13.6,0.0,7.1,0.0,0.0,0.0,25.0,24.7,83,127
12,Oshae Brissett,Indiana Pacers,6:51,3,5,.600,1,3,.333,1,2,.500,1,0,1,2,0,0,1,0,8,+1,6:51,.680,.700,.600,.400,13.7,0.0,7.2,82.5,0.0,0.0,14.5,43.0,127,127
13,Brad Wanamaker,Indiana Pacers,6:51,1,2,.500,0,1,.000,1,1,1.000,0,1,1,2,1,0,0,1,3,+1,6:51,.615,.500,.500,.500,0.0,15.2,7.2,45.2,7.1,0.0,0.0,15.3,152,107
14,Goga Bitadze,Indiana Pacers,5:27,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,+4,5:27,.000,.000,1.000,.000,0.0,19.1,9.1,0.0,0.0,0.0,0.0,7.9,0,122
15,Team Totals,Indiana Pacers,240,38,92,.413,12,45,.267,12,16,.750,12,33,45,21,6,2,13,21,100,0,240,.505,.478,.489,.174,23.5,71.7,46.4,55.3,6.1,3.6,11.6,100.0,101.9,120.2
