,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandon Ingram,New Orleans Pelicans,34:14,12,18,.667,1,2,.500,2,4,.500,1,6,7,4,0,0,1,2,27,+27,34:14,.683,.694,.111,.222,3.1,22.7,12.0,18.0,0.0,0.0,4.8,26.9,138,119
1,Herbert Jones,New Orleans Pelicans,33:50,6,10,.600,0,1,.000,4,4,1.000,2,2,4,1,2,1,0,4,16,+14,33:50,.680,.600,.100,.400,6.3,7.7,6.9,3.6,3.1,3.9,0.0,15.4,154,110
2,Josh Hart,New Orleans Pelicans,33:08,1,9,.111,0,5,.000,2,2,1.000,1,11,12,9,2,0,3,3,4,+28,33:08,.202,.111,.556,.222,3.2,43.1,21.2,28.0,3.2,0.0,23.3,17.3,80,110
3,Jonas Valančiūnas,New Orleans Pelicans,32:22,15,24,.625,7,8,.875,2,2,1.000,7,8,15,3,2,0,1,2,39,+22,32:22,.784,.771,.333,.083,23.1,32.1,27.1,17.3,3.2,0.0,3.9,35.5,160,111
4,Devonte' Graham,New Orleans Pelicans,29:36,3,8,.375,2,7,.286,0,0,0,0,1,1,3,3,0,1,3,8,+12,29:36,.500,.500,.875,.000,0.0,4.4,2.0,11.3,5.3,0.0,11.1,13.5,107,108
6,Nickeil Alexander-Walker,New Orleans Pelicans,24:12,3,11,.273,1,6,.167,0,0,0,1,0,1,2,1,0,0,1,7,-4,24:12,.318,.318,.545,.000,4.4,0.0,2.4,9.4,2.2,0.0,0.0,20.2,90,116
7,Willy Hernangómez,New Orleans Pelicans,15:38,4,6,.667,0,0,0,1,2,.500,2,4,6,0,0,0,1,3,9,-3,15:38,.654,.667,.000,.333,13.6,33.2,22.5,0.0,0.0,0.0,12.7,22.4,122,118
8,Kira Lewis Jr.,New Orleans Pelicans,12:06,0,2,.000,0,1,.000,2,2,1.000,0,0,0,3,0,0,0,0,2,+3,12:06,.347,.000,.500,1.000,0.0,0.0,0.0,24.8,0.0,0.0,0.0,10.6,128,121
9,Tomáš Satoranský,New Orleans Pelicans,10:15,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,+4,10:15,0,0,0,0,0.0,12.7,5.7,29.3,0.0,0.0,0,0.0,229,120
10,Garrett Temple,New Orleans Pelicans,9:49,2,4,.500,2,4,.500,0,0,0,0,0,0,0,1,0,0,1,6,-8,9:49,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,5.3,0.0,0.0,18.1,148,109
