,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tyus Jones,Memphis Grizzlies,34:08,2,10,.200,0,3,.000,0,0,0,0,3,3,6,3,0,2,0,4,+1,34:08,.200,.200,.300,.000,0.0,9.0,4.3,25.4,4.3,0.0,16.7,14.3,65,94
1,Jaren Jackson Jr.,Memphis Grizzlies,34:03,8,14,.571,4,7,.571,5,6,.833,1,5,6,1,0,5,2,5,25,+21,34:03,.751,.714,.500,.429,2.8,15.0,8.6,5.7,0.0,13.6,10.7,22.2,142,93
2,Dillon Brooks,Memphis Grizzlies,33:25,5,18,.278,1,5,.200,6,6,1.000,1,3,4,1,4,1,5,4,17,+12,33:25,.412,.306,.278,.333,2.8,9.2,5.9,5.0,5.9,2.8,19.5,31.1,79,89
3,Desmond Bane,Memphis Grizzlies,33:04,8,16,.500,5,9,.556,2,3,.667,2,5,7,2,0,0,4,1,23,+7,33:04,.664,.656,.563,.188,5.7,15.4,10.4,11.9,0.0,0.0,18.8,26.1,115,101
4,Steven Adams,Memphis Grizzlies,26:25,2,3,.667,0,0,0,0,0,0,3,5,8,2,2,0,2,0,4,-3,26:25,.667,.667,.000,.000,10.7,19.3,14.8,11.2,3.7,0.0,40.0,7.7,103,92
6,Kyle Anderson,Memphis Grizzlies,19:22,2,5,.400,0,1,.000,2,2,1.000,2,3,5,0,1,2,0,1,6,-11,19:22,.510,.400,.200,.400,9.7,15.8,12.6,0.0,2.5,9.5,0.0,12.3,129,90
7,De'Anthony Melton,Memphis Grizzlies,17:14,4,13,.308,0,4,.000,1,2,.500,4,6,10,2,1,0,1,0,9,-5,17:14,.324,.308,.308,.154,21.8,35.6,28.4,22.4,2.8,0.0,6.7,35.0,87,88
8,Brandon Clarke,Memphis Grizzlies,16:09,3,6,.500,0,0,0,0,0,0,3,2,5,2,1,2,1,3,6,+7,16:09,.500,.500,.000,.000,17.5,12.6,15.2,21.9,3.0,11.4,14.3,17.6,113,88
9,Santi Aldama,Memphis Grizzlies,14:48,1,6,.167,0,4,.000,0,0,0,2,2,4,1,0,0,0,1,2,-4,14:48,.167,.167,.667,.000,12.7,13.8,13.2,9.9,0.0,0.0,0.0,16.4,68,102
10,John Konchar,Memphis Grizzlies,11:20,1,2,.500,0,1,.000,0,0,0,0,2,2,1,1,0,0,0,2,+10,11:20,.500,.500,.500,.000,0.0,18.0,8.6,13.3,4.3,0.0,0.0,7.2,128,91
