,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Lonzo Ball,Chicago Bulls,39:52,3,10,.300,2,7,.286,0,0,0,2,8,10,7,2,3,3,1,8,0,39:52,.400,.400,.700,.000,5.1,17.5,11.8,22.5,2.4,4.2,23.1,14.6,90,102
1,DeMar DeRozan,Chicago Bulls,38:26,13,24,.542,1,2,.500,2,4,.500,0,6,6,3,0,0,2,3,29,-1,38:26,.563,.563,.083,.167,0.0,13.6,7.3,15.1,0.0,0.0,7.2,32.4,105,112
2,Zach LaVine,Chicago Bulls,37:25,9,20,.450,2,9,.222,11,13,.846,0,8,8,6,0,1,0,1,31,-4,37:25,.603,.500,.450,.650,0.0,18.7,10.1,26.1,0.0,1.5,0.0,30.9,132,109
3,Nikola Vučević,Chicago Bulls,34:40,5,13,.385,1,3,.333,0,0,0,0,5,5,2,1,0,0,1,11,-3,34:40,.423,.423,.231,.000,0.0,12.6,6.8,8.1,1.4,0.0,0.0,16.8,91,110
4,Alex Caruso,Chicago Bulls,7:59,2,4,.500,2,4,.500,0,0,0,1,0,1,0,1,0,0,0,6,-6,7:59,.750,.750,1.000,.000,12.8,0.0,5.9,0.0,6.0,0.0,0.0,22.5,144,105
6,Derrick Jones Jr.,Chicago Bulls,32:34,2,4,.500,2,3,.667,2,2,1.000,1,2,3,1,0,4,1,3,8,+2,32:34,.820,.750,.750,.500,3.1,5.4,4.3,3.9,0.0,6.9,17.0,8.1,139,110
7,Ayo Dosunmu,Chicago Bulls,23:05,5,6,.833,0,1,.000,1,4,.250,1,2,3,0,0,2,1,2,11,+16,23:05,.709,.833,.167,.667,4.4,7.6,6.1,0.0,0.0,4.8,11.4,17.0,120,110
8,Troy Brown Jr.,Chicago Bulls,12:51,1,4,.250,0,2,.000,3,4,.750,0,6,6,3,0,0,1,1,5,+7,12:51,.434,.250,.500,1.000,0.0,40.7,22.0,30.1,0.0,0.0,14.8,23.6,95,101
9,Alize Johnson,Chicago Bulls,6:38,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,+4,6:38,0,0,0,0,15.4,13.2,14.2,0.0,0.0,0.0,100.0,6.8,63,112
10,Tony Bradley,Chicago Bulls,6:30,1,1,1.000,0,0,0,0,0,0,1,2,3,0,0,0,0,0,2,+5,6:30,1.000,1.000,.000,.000,15.7,26.9,21.7,0.0,0.0,0.0,0.0,6.9,207,107
11,Devon Dotson,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Marko Simonovic,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
