,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandon Ingram,New Orleans Pelicans,37:40,15,28,.536,3,10,.300,7,8,.875,1,4,5,4,1,1,0,4,40,-3,37:40,.635,.589,.357,.286,2.5,13.1,7.1,24.4,1.4,3.3,0.0,35.9,151,134
1,Devonte' Graham,New Orleans Pelicans,33:39,3,13,.231,3,11,.273,0,0,0,1,2,3,4,1,0,0,1,9,-9,33:39,.346,.346,.846,.000,2.8,7.3,4.8,16.0,1.6,0.0,0.0,16.6,111,137
2,Garrett Temple,New Orleans Pelicans,31:57,2,6,.333,1,3,.333,0,0,0,2,4,6,0,2,1,1,4,5,+1,31:57,.417,.417,.500,.000,5.9,15.4,10.0,0.0,3.4,3.9,14.3,9.4,96,128
3,Jonas Valančiūnas,New Orleans Pelicans,31:45,7,11,.636,0,1,.000,3,6,.500,4,6,10,3,1,3,1,4,17,-12,31:45,.623,.636,.091,.545,11.9,23.3,16.8,15.4,1.7,11.6,6.8,19.8,137,126
4,Herbert Jones,New Orleans Pelicans,22:27,2,4,.500,0,0,0,1,1,1.000,1,0,1,0,1,3,2,6,5,-3,22:27,.563,.500,.000,.250,4.2,0.0,2.4,0.0,2.4,16.4,31.1,12.3,86,128
6,Nickeil Alexander-Walker,New Orleans Pelicans,27:37,3,13,.231,3,8,.375,1,2,.500,0,1,1,5,0,1,2,2,10,-8,27:37,.360,.346,.615,.154,0.0,4.5,1.9,25.0,0.0,4.5,12.6,24.6,93,139
7,Willy Hernangómez,New Orleans Pelicans,15:38,4,7,.571,0,0,0,2,4,.500,8,5,13,1,2,0,0,3,10,+2,15:38,.571,.571,.000,.571,48.2,39.4,44.3,11.1,6.9,0.0,0.0,24.0,151,115
8,Trey Murphy III,New Orleans Pelicans,15:29,0,6,.000,0,4,.000,0,0,0,3,3,6,0,1,0,0,2,0,-11,15:29,.000,.000,.667,.000,18.2,23.8,20.7,0.0,3.5,0.0,0.0,16.6,38,127
9,Tomáš Satoranský,New Orleans Pelicans,12:29,1,1,1.000,0,0,0,2,2,1.000,1,2,3,0,0,0,1,0,4,-9,12:29,1.064,1.000,.000,2.000,7.5,19.7,12.8,0.0,0.0,0.0,34.7,9.9,139,137
10,Kira Lewis Jr.,New Orleans Pelicans,11:19,3,5,.600,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,0,8,+2,11:19,.680,.600,.200,.400,8.3,10.9,9.4,31.1,0.0,0.0,0.0,22.3,166,139
11,Jaxson Hayes,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gary Clark,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Naji Marshall,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jose Alvarado,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,New Orleans Pelicans,240,40,94,.426,10,38,.263,18,25,.720,22,28,50,19,9,9,7,26,108,0,240,.514,.479,.404,.266,43.1,71.8,55.6,47.5,10.1,23.1,6.3,100.0,120.9,132.1
0,Eric Gordon,Houston Rockets,33:01,7,14,.500,3,7,.429,6,6,1.000,0,0,0,5,0,0,2,1,23,+4,33:01,.691,.607,.500,.429,0.0,0.0,0.0,25.2,0.0,0.0,10.7,25.6,139,132
1,Jae'Sean Tate,Houston Rockets,32:05,5,8,.625,1,2,.500,0,0,0,0,5,5,7,0,0,5,5,11,+4,32:05,.688,.688,.250,.000,0.0,14.7,8.3,33.2,0.0,0.0,38.5,18.4,103,121
2,Christian Wood,Houston Rockets,31:53,7,13,.538,5,6,.833,4,8,.500,3,5,8,2,0,2,2,3,23,+4,31:53,.696,.731,.462,.615,11.6,14.8,13.4,10.6,0.0,5.4,10.8,26.4,132,120
3,Garrison Mathews,Houston Rockets,31:15,4,6,.667,4,6,.667,1,1,1.000,0,7,7,0,0,0,0,1,13,+3,31:15,1.009,1.000,1.000,.167,0.0,21.1,11.9,0.0,0.0,0.0,0.0,9.4,195,118
4,Daniel Theis,Houston Rockets,16:51,4,6,.667,2,4,.500,2,2,1.000,1,2,3,1,0,0,1,2,12,0,16:51,.872,.833,.667,.333,7.3,11.2,9.5,10.3,0.0,0.0,12.7,21.2,154,124
6,Armoni Brooks,Houston Rockets,21:44,1,7,.143,0,5,.000,0,0,0,0,2,2,1,2,0,0,0,2,+13,21:44,.143,.143,.714,.000,0.0,8.7,4.9,6.0,4.9,0.0,0.0,14.6,47,115
7,Danuel House Jr.,Houston Rockets,20:04,1,3,.333,0,2,.000,4,4,1.000,1,1,2,3,0,0,3,2,6,+13,20:04,.630,.333,.667,1.333,6.1,4.7,5.3,19.6,0.0,0.0,38.7,17.6,105,128
8,Alperen Şengün,Houston Rockets,16:59,3,7,.429,0,2,.000,4,4,1.000,3,1,4,1,1,1,1,5,10,+2,16:59,.571,.429,.286,.571,21.7,5.5,12.6,9.3,3.2,5.0,10.2,26.1,129,118
9,D.J. Augustin,Houston Rockets,16:27,3,8,.375,2,5,.400,1,2,.500,0,3,3,4,0,0,0,0,9,+5,16:27,.507,.500,.625,.250,0.0,17.2,9.7,38.6,0.0,0.0,0.0,24.5,130,120
10,Kenyon Martin Jr.,Houston Rockets,15:39,4,6,.667,0,0,0,1,2,.500,3,3,6,0,0,0,0,4,9,+6,15:39,.654,.667,.000,.333,23.6,18.0,20.4,0.0,0.0,0.0,0.0,20.0,148,119
11,Josh Christopher,Houston Rockets,4:02,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-4,4:02,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0,132
12,Daishen Nix,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,David Nwaba,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Houston Rockets,240,39,79,.494,17,40,.425,23,29,.793,11,29,40,24,3,3,14,23,118,0,240,.643,.601,.506,.367,28.2,56.9,44.4,61.5,3.4,5.4,13.2,100.0,132.1,120.9
