,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dejounte Murray,San Antonio Spurs,33:49,7,12,.583,2,2,1.000,1,2,.500,1,5,6,14,2,0,4,2,17,-10,33:49,.660,.667,.167,.167,3.3,15.1,9.5,66.1,2.8,0.0,23.7,20.6,121,106
1,Jakob Poeltl,San Antonio Spurs,32:18,7,11,.636,0,0,0,0,0,0,3,8,11,2,0,1,3,3,14,-13,32:18,.636,.636,.000,.000,10.4,25.3,18.2,10.0,0.0,2.3,21.4,17.9,103,107
2,Keldon Johnson,San Antonio Spurs,31:22,4,10,.400,1,3,.333,4,6,.667,1,5,6,0,1,0,2,2,13,-8,31:22,.514,.450,.300,.600,3.6,16.3,10.2,0.0,1.5,0.0,13.7,19.3,92,108
3,Doug McDermott,San Antonio Spurs,25:46,5,9,.556,3,5,.600,1,1,1.000,0,2,2,2,0,0,1,1,14,-9,25:46,.742,.722,.556,.111,0.0,7.9,4.1,12.1,0.0,0.0,9.6,16.7,127,115
4,Derrick White,San Antonio Spurs,25:32,4,12,.333,1,8,.125,3,5,.600,1,2,3,4,0,1,0,2,12,-17,25:32,.423,.375,.667,.417,4.4,8.0,6.3,23.2,0.0,2.9,0.0,22.9,103,113
6,Bryn Forbes,San Antonio Spurs,23:38,6,13,.462,1,2,.500,2,3,.667,0,3,3,1,0,0,1,1,15,+15,23:38,.524,.500,.154,.231,0.0,13.0,6.8,7.3,0.0,0.0,6.5,26.7,97,113
7,Lonnie Walker IV,San Antonio Spurs,19:54,2,6,.333,2,4,.500,0,0,0,0,1,1,3,1,0,1,1,6,-1,19:54,.500,.500,.667,.000,0.0,5.1,2.7,20.6,2.4,0.0,14.3,14.5,97,110
8,Joshua Primo,San Antonio Spurs,17:48,2,5,.400,1,3,.333,0,0,0,0,2,2,0,3,4,0,1,5,+8,17:48,.500,.500,.600,.000,0.0,11.5,6.0,0.0,7.9,16.6,0.0,11.6,97,86
9,Tre Jones,San Antonio Spurs,14:11,1,8,.125,0,1,.000,0,0,0,2,0,2,3,4,0,1,1,2,+6,14:11,.125,.125,.125,.000,15.7,0.0,7.5,27.7,13.2,0.0,11.1,26.2,55,88
10,Thaddeus Young,San Antonio Spurs,7:52,1,4,.250,0,1,.000,0,0,0,0,1,1,2,1,0,1,2,2,0,7:52,.250,.250,.250,.000,0.0,13.0,6.8,36.0,6.0,0.0,20.0,26.2,60,99
