,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luguentz Dort,Oklahoma City Thunder,38:04,8,18,.444,4,10,.400,2,4,.500,2,4,6,3,0,1,2,4,22,-3,38:04,.557,.556,.556,.222,6.3,11.0,8.8,13.6,0.0,2.4,9.2,25.9,107,119
1,Shai Gilgeous-Alexander,Oklahoma City Thunder,36:38,6,17,.353,2,6,.333,12,12,1.000,0,2,2,9,1,0,2,1,26,-3,36:38,.583,.412,.353,.706,0.0,5.7,3.0,39.1,1.4,0.0,8.2,30.1,127,120
2,Darius Bazley,Oklahoma City Thunder,32:14,7,8,.875,1,2,.500,0,0,0,0,5,5,0,2,1,0,1,15,-8,32:14,.938,.938,.250,.000,0.0,16.2,8.7,0.0,3.1,2.9,0.0,11.3,177,111
3,Josh Giddey,Oklahoma City Thunder,30:51,5,12,.417,3,5,.600,0,0,0,0,4,4,8,0,1,5,3,13,+6,30:51,.542,.542,.417,.000,0.0,13.5,7.2,41.2,0.0,3.0,29.4,25.0,92,118
4,Jeremiah Robinson-Earl,Oklahoma City Thunder,18:07,1,2,.500,0,1,.000,3,4,.750,1,5,6,1,0,0,0,3,5,+5,18:07,.665,.500,.500,2.000,6.6,28.8,18.5,7.5,0.0,0.0,0.0,9.4,158,114
6,Kenrich Williams,Oklahoma City Thunder,21:24,3,4,.750,3,4,.750,0,0,0,1,2,3,4,4,0,1,1,9,+4,21:24,1.125,1.125,1.000,.000,5.6,9.8,7.8,28.7,9.3,0.0,20.0,10.6,174,100
7,Tre Mann,Oklahoma City Thunder,17:50,1,6,.167,1,3,.333,0,0,0,0,0,0,1,2,0,1,1,3,+10,17:50,.250,.250,.500,.000,0.0,0.0,0.0,7.6,5.6,0.0,14.3,17.8,52,112
8,Derrick Favors,Oklahoma City Thunder,16:50,4,6,.667,0,0,0,0,0,0,3,6,9,1,1,0,1,2,8,+10,16:50,.667,.667,.000,.000,21.4,37.2,29.8,10.7,3.0,0.0,14.3,18.9,128,105
9,Mike Muscala,Oklahoma City Thunder,15:16,2,6,.333,2,6,.333,0,0,0,0,1,1,1,0,0,0,1,6,-15,15:16,.500,.500,1.000,.000,0.0,6.8,3.7,9.9,0.0,0.0,0.0,17.8,103,122
10,Aleksej Pokusevski,Oklahoma City Thunder,9:56,1,4,.250,1,2,.500,0,0,0,0,3,3,0,2,0,0,1,3,+4,9:56,.375,.375,.500,.000,0.0,31.5,16.9,0.0,10.0,0.0,0.0,18.3,74,91
11,Paul Watson,Oklahoma City Thunder,2:50,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,1,0,0,-5,2:50,.000,.000,1.000,.000,0.0,36.8,19.7,0.0,0.0,0.0,50.0,32.0,0,112
12,Isaiah Roby,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Gabriel Deck,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Théo Maledon,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ty Jerome,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Oklahoma City Thunder,240,38,84,.452,17,40,.425,17,20,.850,7,33,40,28,12,3,13,18,110,0,240,.593,.554,.476,.238,17.5,71.7,46.5,73.7,12.4,5.8,12.3,100.0,114.0,113.0
0,Fred VanVleet,Toronto Raptors,39:15,6,20,.300,5,13,.385,2,4,.500,0,8,8,9,1,0,2,3,19,+2,39:15,.437,.425,.650,.200,0.0,24.5,11.4,31.8,1.3,0.0,8.4,25.8,103,114
1,Scottie Barnes,Toronto Raptors,38:53,8,17,.471,2,7,.286,0,0,0,3,5,8,5,1,2,1,1,18,-8,38:53,.529,.529,.412,.000,8.1,15.4,11.5,19.2,1.3,5.6,5.6,19.7,121,112
2,Gary Trent Jr.,Toronto Raptors,38:43,10,17,.588,4,8,.500,0,0,0,0,4,4,3,2,0,0,3,24,+8,38:43,.706,.706,.471,.000,0.0,12.4,5.8,12.6,2.6,0.0,0.0,18.7,147,114
3,Pascal Siakam,Toronto Raptors,38:11,10,15,.667,2,2,1.000,1,3,.333,3,8,11,5,0,0,5,2,23,+8,38:11,.705,.733,.133,.200,8.2,25.1,16.1,21.4,0.0,0.0,23.5,23.8,114,117
4,Chris Boucher,Toronto Raptors,22:15,4,9,.444,0,2,.000,3,3,1.000,5,2,7,0,0,2,1,2,11,-2,22:15,.533,.444,.222,.333,23.4,10.8,17.6,0.0,0.0,9.8,8.8,21.7,120,113
6,Yuta Watanabe,Toronto Raptors,18:56,1,4,.250,1,4,.250,1,2,.500,0,2,2,3,0,0,0,1,4,-2,18:56,.410,.375,1.000,.500,0.0,12.7,5.9,19.3,0.0,0.0,0.0,11.0,117,120
7,Isaac Bonga,Toronto Raptors,13:45,1,3,.333,1,1,1.000,2,2,1.000,0,0,0,1,0,1,0,3,5,-9,13:45,.644,.500,.333,.667,0.0,0.0,0.0,9.1,0.0,7.9,0.0,12.0,151,117
8,Justin Champagnie,Toronto Raptors,12:00,2,2,1.000,0,0,0,1,1,1.000,1,1,2,0,0,0,0,1,5,+10,12:00,1.025,1.000,.000,.500,8.7,10.0,9.3,0.0,0.0,0.0,0.0,8.7,215,120
9,Dalano Banton,Toronto Raptors,10:59,0,3,.000,0,2,.000,0,0,0,1,2,3,1,1,0,1,1,0,-11,10:59,.000,.000,.667,.000,9.5,21.9,15.2,10.4,4.5,0.0,25.0,15.5,34,107
10,Svi Mykhailiuk,Toronto Raptors,7:03,0,3,.000,0,2,.000,0,0,0,0,1,1,0,1,0,3,2,0,-1,7:03,.000,.000,.667,.000,0.0,17.0,7.9,0.0,7.1,0.0,50.0,36.3,0,102
11,David Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Malachi Flynn,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Goran Dragić,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Toronto Raptors,240,42,93,.452,15,41,.366,10,15,.667,13,33,46,27,6,5,13,19,109,0,240,.547,.532,.441,.161,28.3,82.5,53.5,64.3,6.2,11.4,11.5,100.0,113.0,114.0
