,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Davis,Los Angeles Lakers,38:08,9,18,.500,1,4,.250,3,4,.750,1,7,8,1,1,1,2,1,22,-2,38:08,.557,.528,.222,.222,3.1,16.9,10.9,5.1,1.3,2.4,9.2,25.5,101,111
1,LeBron James,Los Angeles Lakers,37:24,7,15,.467,1,6,.167,5,5,1.000,0,10,10,11,4,2,5,1,20,+2,37:24,.581,.500,.400,.333,0.0,24.7,14.0,52.3,5.2,4.9,22.5,26.5,109,97
2,Russell Westbrook,Los Angeles Lakers,33:20,3,9,.333,2,3,.667,1,4,.250,0,6,6,7,0,1,6,4,9,-16,33:20,.418,.444,.333,.444,0.0,16.6,9.4,31.8,0.0,2.8,35.8,22.5,70,113
3,Avery Bradley,Los Angeles Lakers,28:42,4,5,.800,2,2,1.000,0,0,0,0,3,3,0,2,1,0,1,10,+7,28:42,1.000,1.000,.400,.000,0.0,9.6,5.5,0.0,3.4,3.2,0.0,7.8,182,108
4,Talen Horton-Tucker,Los Angeles Lakers,27:11,5,10,.500,0,1,.000,0,0,0,1,1,2,5,0,0,1,2,10,-11,27:11,.500,.500,.100,.000,4.4,3.4,3.8,32.5,0.0,0.0,9.1,18.1,110,120
6,Malik Monk,Los Angeles Lakers,22:49,2,7,.286,2,5,.400,0,0,0,0,4,4,2,1,1,3,1,6,-16,22:49,.429,.429,.714,.000,0.0,16.2,9.1,13.2,2.1,4.0,30.0,19.6,65,108
7,Carmelo Anthony,Los Angeles Lakers,21:53,2,5,.400,1,3,.333,2,4,.500,4,5,9,0,0,0,3,3,7,-16,21:53,.518,.500,.600,.800,21.9,21.1,21.5,0.0,0.0,0.0,30.7,19.9,86,113
8,Wayne Ellington,Los Angeles Lakers,20:05,2,6,.333,2,5,.400,0,0,0,0,0,0,0,0,0,2,1,6,-14,20:05,.500,.500,.833,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.8,67,121
9,Dwight Howard,Los Angeles Lakers,10:28,2,3,.667,1,1,1.000,0,0,0,1,2,3,0,0,0,0,1,5,+1,10:28,.833,.833,.333,.000,11.5,17.6,15.0,0.0,0.0,0.0,0.0,12.8,157,114
10,Austin Reaves,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DeAndre Jordan,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kent Bazemore,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Lakers,240,36,78,.462,12,30,.400,11,17,.647,7,38,45,26,8,6,22,15,95,0,240,.556,.538,.385,.218,17.5,73.1,48.9,72.2,8.2,11.5,20.5,100.0,97.0,110.3
0,Tyus Jones,Memphis Grizzlies,35:18,5,14,.357,2,6,.333,0,0,0,0,4,4,6,2,0,2,1,12,+4,35:18,.429,.429,.429,.000,0.0,13.6,5.9,23.9,2.8,0.0,12.5,19.3,94,101
1,Desmond Bane,Memphis Grizzlies,31:06,9,20,.450,5,11,.455,0,0,0,0,3,3,3,2,1,1,1,23,+4,31:06,.575,.575,.550,.000,0.0,11.6,5.0,17.1,3.2,3.2,4.8,28.7,113,98
2,Steven Adams,Memphis Grizzlies,30:15,1,3,.333,0,0,0,2,6,.333,8,5,13,2,0,0,3,0,4,-6,30:15,.355,.333,.000,2.000,24.4,19.8,22.4,8.1,0.0,0.0,34.7,12.1,95,106
3,Jaren Jackson Jr.,Memphis Grizzlies,29:10,9,18,.500,2,8,.250,5,6,.833,0,5,5,0,3,0,3,3,25,+7,29:10,.606,.556,.444,.333,0.0,20.6,8.9,0.0,5.0,0.0,12.7,34.5,104,94
4,De'Anthony Melton,Memphis Grizzlies,29:04,4,9,.444,2,6,.333,2,2,1.000,2,2,4,6,2,0,1,1,12,-1,29:04,.607,.556,.667,.222,6.4,8.3,7.2,28.8,3.4,0.0,9.2,15.9,136,101
6,John Konchar,Memphis Grizzlies,18:56,2,4,.500,0,1,.000,3,4,.750,3,3,6,3,3,0,0,1,7,+14,18:56,.608,.500,.250,1.000,14.6,19.0,16.5,21.2,7.8,0.0,0.0,12.9,157,89
7,Xavier Tillman Sr.,Memphis Grizzlies,17:45,2,6,.333,1,2,.500,0,0,0,1,2,3,1,4,0,0,2,5,+19,17:45,.417,.417,.333,.000,5.2,13.5,8.8,7.6,11.0,0.0,0.0,14.4,103,82
8,Killian Tillie,Memphis Grizzlies,17:23,2,7,.286,1,5,.200,0,0,0,0,2,2,1,0,1,1,2,5,+4,17:23,.357,.357,.714,.000,0.0,13.8,6.0,7.8,0.0,5.8,12.5,19.6,71,103
9,Jarrett Culver,Memphis Grizzlies,15:43,4,6,.667,0,1,.000,0,0,0,0,3,3,2,2,1,0,2,8,+13,15:43,.667,.667,.167,.000,0.0,22.9,10.0,21.2,6.2,6.4,0.0,16.2,142,86
10,Kyle Anderson,Memphis Grizzlies,15:20,3,7,.429,1,2,.500,0,0,0,0,4,4,4,0,2,0,1,7,+7,15:20,.500,.500,.286,.000,0.0,31.3,13.6,39.6,0.0,13.0,0.0,19.4,126,95
11,Yves Pons,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Santi Aldama,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Memphis Grizzlies,240,41,94,.436,14,42,.333,12,18,.667,14,33,47,28,18,5,11,14,108,0,240,.530,.511,.447,.191,26.9,82.5,51.1,68.3,18.4,10.4,9.7,100.0,110.3,97.0
