,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,De'Aaron Fox,Sacramento Kings,32:10,11,20,.550,1,5,.200,6,7,.857,1,1,2,3,2,0,2,2,29,-18,32:10,.628,.575,.250,.350,2.6,3.6,3.0,20.7,3.0,0.0,8.0,31.1,127,123
1,Harrison Barnes,Sacramento Kings,21:55,1,9,.111,1,5,.200,0,0,0,0,4,4,2,0,0,1,0,3,-9,21:55,.167,.167,.556,.000,0.0,20.9,8.8,12.2,0.0,0.0,10.0,18.2,49,127
2,Tyrese Haliburton,Sacramento Kings,21:42,1,2,.500,1,1,1.000,0,0,0,0,2,2,4,1,2,1,1,3,-16,21:42,.750,.750,.500,.000,0.0,10.5,4.5,24.7,2.2,6.6,33.3,5.5,129,117
3,Chimezie Metu,Sacramento Kings,21:41,2,7,.286,0,1,.000,0,0,0,1,5,6,1,0,1,2,3,4,-11,21:41,.286,.286,.143,.000,3.9,26.4,13.4,6.6,0.0,3.3,22.2,16.6,59,122
4,Alex Len,Sacramento Kings,21:35,4,8,.500,0,0,0,4,6,.667,8,0,8,0,0,0,3,3,12,-7,21:35,.564,.500,.000,.750,31.2,0.0,18.0,0.0,0.0,0.0,22.0,25.2,108,129
6,Buddy Hield,Sacramento Kings,27:05,5,13,.385,4,11,.364,0,0,0,1,0,1,3,1,0,2,1,14,-12,27:05,.538,.538,.846,.000,3.1,0.0,1.8,18.2,1.8,0.0,13.3,22.1,107,126
7,Marvin Bagley III,Sacramento Kings,26:19,5,12,.417,1,5,.200,1,2,.500,3,8,11,0,0,1,0,2,12,-12,26:19,.466,.458,.417,.167,9.6,34.7,20.3,0.0,0.0,2.7,0.0,19.5,111,122
8,Davion Mitchell,Sacramento Kings,26:04,3,7,.429,2,3,.667,0,0,0,0,4,4,6,0,0,1,1,8,-8,26:04,.571,.571,.429,.000,0.0,17.5,7.4,34.0,0.0,0.0,12.5,12.3,128,127
9,Terence Davis,Sacramento Kings,17:03,2,5,.400,1,3,.333,0,0,0,0,6,6,2,1,0,2,1,5,-5,17:03,.500,.500,.600,.000,0.0,40.2,17.1,17.4,2.8,0.0,28.6,16.4,83,117
10,Tristan Thompson,Sacramento Kings,12:29,4,7,.571,0,0,0,3,6,.500,3,4,7,0,0,0,2,1,11,-7,12:29,.571,.571,.000,.857,20.2,36.6,27.2,0.0,0.0,0.0,17.2,37.2,101,124
11,Damian Jones,Sacramento Kings,9:11,0,3,.000,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,-13,9:11,.000,.000,.000,.000,18.3,0.0,10.6,0.0,0.0,0.0,25.0,17.4,28,129
12,Louis King,Sacramento Kings,2:46,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3,2:46,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0,130
13,Maurice Harkless,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,38,94,.404,11,34,.324,14,21,.667,19,34,53,21,5,4,17,16,101,0,240,.489,.463,.362,.223,33.3,81.0,53.5,55.3,5.0,6.0,14.1,100.0,100.9,123.8
0,Scottie Barnes,Toronto Raptors,32:01,6,14,.429,1,2,.500,3,4,.750,0,3,3,2,0,5,0,4,16,+19,32:01,.508,.464,.143,.286,0.0,7.9,4.5,6.8,0.0,12.5,0.0,21.4,110,103
