,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Marcus Morris,Los Angeles Clippers,32:22,10,20,.500,2,6,.333,2,3,.667,1,7,8,1,0,0,2,1,24,-22,32:22,.563,.550,.300,.150,3.4,24.7,13.8,5.9,0.0,0.0,8.6,31.5,102,129
1,Luke Kennard,Los Angeles Clippers,31:28,4,12,.333,2,6,.333,0,0,0,0,2,2,3,0,0,1,3,10,-25,31:28,.417,.417,.500,.000,0.0,7.3,3.5,13.5,0.0,0.0,7.7,18.1,87,132
2,Terance Mann,Los Angeles Clippers,28:44,1,4,.250,0,2,.000,1,2,.500,3,2,5,2,0,0,2,3,3,-28,28:44,.307,.250,.500,.500,11.4,8.0,9.7,8.7,0.0,0.0,29.1,10.5,80,131
3,Reggie Jackson,Los Angeles Clippers,25:18,6,16,.375,1,4,.250,2,3,.667,0,5,5,9,0,1,2,3,15,-9,25:18,.433,.406,.250,.188,0.0,22.6,11.0,59.7,0.0,3.6,10.4,33.4,99,126
4,Ivica Zubac,Los Angeles Clippers,18:08,2,4,.500,0,0,0,0,0,0,2,4,6,0,2,1,1,3,4,-15,18:08,.500,.500,.000,.000,12.0,25.2,18.5,0.0,5.4,5.1,20.0,12.1,95,112
6,Eric Bledsoe,Los Angeles Clippers,31:10,8,10,.800,4,5,.800,1,3,.333,0,5,5,8,1,0,1,1,21,-1,31:10,.928,1.000,.500,.300,0.0,18.3,9.0,44.5,1.6,0.0,8.1,17.3,171,126
7,Isaiah Hartenstein,Los Angeles Clippers,24:34,6,9,.667,0,0,0,3,3,1.000,2,3,5,1,1,2,2,1,15,-1,24:34,.727,.667,.000,.333,8.9,14.0,11.4,6.9,2.0,7.5,16.2,21.9,125,120
8,Justise Winslow,Los Angeles Clippers,18:42,1,1,1.000,1,1,1.000,0,0,0,0,2,2,0,1,1,3,3,3,+1,18:42,1.500,1.500,1.000,.000,0.0,12.2,6.0,0.0,2.6,4.9,75.0,9.4,41,121
9,Brandon Boston Jr.,Los Angeles Clippers,16:16,1,5,.200,0,4,.000,2,2,1.000,0,3,3,0,0,0,0,3,4,+7,16:16,.340,.200,.800,.400,0.0,21.1,10.3,0.0,0.0,0.0,0.0,15.8,75,129
10,Keon Johnson,Los Angeles Clippers,4:26,1,1,1.000,0,0,0,1,2,.500,0,0,0,0,0,0,0,1,3,-4,4:26,.266,.000,.000,2.000,0.0,25.8,12.6,0.0,0.0,0.0,0.0,18.5,60,129
